z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.06,-0.04,1076.1,265,0.675,0.516,0.214,0.266,69.887,-11.443,0.042
0.06,-0.02,971.5,210.2,0.577,0.53,0.165,0.221,66.364,10.803,0.041
0.06,0,979.6,203.4,0.676,0.402,-0.017,0.198,42.817,-6.096,0.005
0.06,0.02,992.8,220.4,0.551,0.519,-0.124,0.197,55.49,-3.657,-0.036
0.06,0.04,1065.8,274.7,0.673,0.528,-0.192,0.233,90.964,3.428,-0.029
0.06,0.06,1031.5,310.1,0.701,0.51,-0.293,0.245,120.249,-1.271,-0.022
0.06,0.08,975.1,320.8,0.692,0.5,-0.35,0.249,130.615,7.123,0.012
0.06,0.1,983.8,351.2,0.698,0.461,-0.328,0.251,111.668,22.838,0.064
0.06,0.12,689.2,305.7,0.332,0.374,-0.262,0.212,65.443,6.965,0.034
0.06,0.14,330.6,55.6,0.053,0.143,-0.214,0.172,0.405,-1.266,0
0.06,0.16,298,0.1,0.057,0.078,-0.184,0.104,-0.001,-0.001,-0.002
