z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.14,-0.04,958.2,368.6,1.391,0.898,0.118,0.264,269.152,-19.863,-0.036
0.14,-0.02,1045.3,315.9,1.477,0.988,0.104,0.226,215.252,-15.761,-0.021
0.14,0,1178.4,244.8,1.739,0.884,0.056,0.233,52.075,0.407,0
0.14,0.02,1118.6,266.5,1.589,0.928,-0.071,0.244,140.604,6.09,0.01
0.14,0.04,972.6,355.2,1.423,0.906,-0.103,0.269,250.084,13.342,0.041
0.14,0.06,865.7,344,1.246,0.819,-0.122,0.308,227.233,22.516,0.059
0.14,0.08,838.5,341.4,1.094,0.664,-0.102,0.399,172.098,38.741,0.106
0.14,0.1,774.2,368.8,0.797,0.581,-0.106,0.395,153.75,51.155,0.095
0.14,0.12,629.1,323.8,0.467,0.444,-0.123,0.386,101.53,34.765,0.077
0.14,0.14,456.5,229.7,0.249,0.292,-0.143,0.329,46.591,10.676,0.032
0.14,0.16,346.6,112.6,0.102,0.182,-0.167,0.226,10.937,-4.097,-0.002
