,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,6.0,-4.0,1184.5,219.2,0.774,0.478,0.157,0.256,45.354,2.5989999999999998,0.05
1,6.0,-2.0,1057.2,247.1,0.745,0.396,0.08900000000000001,0.212,40.244,0.40399999999999997,0.026000000000000002
2,6.0,0.0,952.5,228.1,0.647,0.373,-0.042,0.19,38.351,-10.29,-0.003
3,6.0,2.0,1141.4,217.5,0.7559999999999999,0.42700000000000005,-0.175,0.218,34.965,-3.154,-0.015
4,6.0,4.0,1101.6,294.4,0.682,0.5920000000000001,-0.22699999999999998,0.237,128.254,-20.693,-0.063
5,6.0,6.0,955.1,298.2,0.537,0.5820000000000001,-0.225,0.272,134.27100000000002,-33.427,-0.061
6,6.0,8.0,947.8,255.6,0.589,0.46299999999999997,-0.26899999999999996,0.295,80.52600000000001,3.722,0.027999999999999997
7,6.0,10.0,942.7,320.6,0.63,0.512,-0.32299999999999995,0.28300000000000003,116.65799999999999,33.542,0.061
8,6.0,12.0,740.6,326.7,0.425,0.42100000000000004,-0.302,0.22899999999999998,86.963,19.046,0.039
9,6.0,14.000000000000002,433.4,218.3,0.159,0.215,-0.258,0.179,22.293000000000003,-0.451,0.011000000000000001
10,6.0,16.0,322.3,94.3,0.086,0.095,-0.212,0.135,0.621,-1.088,-0.002
