,z(cm),T-avg(K),T-rms(K),Uz-avg(m/s),Uz-rms(m/s),Uz'T'(m-K/s)
0,2.0,713.8,198.1,0.06,0.18,19.0
1,4.0,895.6,256.5,0.33,0.3,41.0
2,6.0,985.9,275.8,0.69,0.43,61.8
3,8.0,1072.0,277.9,1.03,0.53,63.0
4,10.0,1127.9,276.4,1.32,0.66,58.6
5,12.0,1156.9,268.2,1.55,0.79,69.7
6,14.000000000000002,1193.7,254.2,1.76,0.89,70.2
7,16.0,1230.0,262.0,1.95,0.98,78.3
8,18.0,1238.2,273.8,2.07,1.09,106.9
9,20.0,1213.8,285.6,2.15,1.16,143.2
10,30.0,1019.0,301.0,2.37,1.21,234.3
