,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,20.0,-4.0,1030.0,311.7,1.756,0.9309999999999999,-0.046,0.47100000000000003,188.75400000000002,-47.583999999999996,-0.111
1,20.0,-2.0,1200.0,275.1,2.128,1.102,-0.085,0.405,126.164,-29.19,-0.045
2,20.0,0.0,1213.8,285.6,2.151,1.156,-0.068,0.36,143.24200000000002,8.91,0.051
3,20.0,2.0,1092.9,332.0,1.9469999999999998,1.125,0.006999999999999999,0.402,252.658,28.665,0.11900000000000001
4,20.0,4.0,913.3,330.0,1.608,1.008,-0.005,0.461,253.418,41.873999999999995,0.12
5,20.0,6.0,914.7,313.5,1.5,0.8170000000000001,-0.02,0.525,184.304,56.816,0.128
6,20.0,8.0,886.0,308.2,1.298,0.7040000000000001,-0.04,0.502,134.013,52.582,0.10099999999999999
7,20.0,10.0,766.9,271.7,1.097,0.564,-0.044000000000000004,0.48200000000000004,72.445,43.924,0.075
8,20.0,12.0,674.9,260.6,0.8490000000000001,0.488,-0.051,0.45299999999999996,60.588,41.92100000000001,0.07
9,20.0,14.000000000000002,602.1,222.1,0.5760000000000001,0.369,-0.1,0.45299999999999996,43.272,9.822000000000001,0.038
10,20.0,16.0,478.5,189.4,0.243,0.26899999999999996,-0.127,0.39299999999999996,17.09,-0.775,0.017
