z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.16,-0.04,1080.2,313.3,1.559,0.909,-0.021,0.404,189.467,-37.683,-0.079
0.16,-0.02,1232.2,259.1,1.884,0.973,-0.04,0.345,83.374,-11.742,-0.011
0.16,0,1230,262,1.946,0.983,-0.051,0.314,78.347,5.567,0.035
0.16,0.02,1156,328.2,1.765,1.056,-0.007,0.339,207.631,19.735,0.063
0.16,0.04,975.9,338.9,1.444,0.969,0.005,0.421,251.054,26.876,0.09
0.16,0.06,954.8,307.5,1.33,0.758,-0.047,0.472,166.567,48.282,0.09
0.16,0.08,935.5,321.2,1.208,0.629,-0.072,0.494,123.816,55.284,0.093
0.16,0.1,859.7,319.1,1.037,0.555,-0.08,0.486,93.528,61.297,0.091
0.16,0.12,748.9,284.4,0.771,0.45,-0.077,0.459,64.205,45.956,0.077
0.16,0.14,619.8,264.3,0.447,0.336,-0.117,0.433,40.975,15,0.032
0.16,0.16,491.4,235.6,0.185,0.255,-0.152,0.358,13.347,-3.158,0.01
