,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,2.0,-4.0,949.8,253.4,0.20800000000000002,0.179,0.151,0.18,24.226999999999997,13.453,0.011000000000000001
1,2.0,-2.0,807.7,270.2,0.102,0.187,0.022000000000000002,0.146,26.358,4.212,0.006999999999999999
2,2.0,0.0,713.8,198.1,0.062,0.17800000000000002,-0.04,0.11900000000000001,19.022000000000002,1.124,0.004
3,2.0,2.0,846.3,268.2,0.145,0.16899999999999998,-0.106,0.14400000000000002,24.701999999999998,-6.0520000000000005,-0.004
4,2.0,4.0,1100.6,271.8,0.205,0.213,-0.217,0.19399999999999998,24.305,-15.865,-0.012
5,2.0,6.0,1091.3,265.2,0.165,0.282,-0.217,0.28300000000000003,37.51,-8.129,-0.035
6,2.0,8.0,1072.4,293.9,0.20600000000000002,0.268,-0.17,0.326,45.581,-6.515,-0.017
7,2.0,10.0,1025.7,260.9,0.225,0.275,-0.19699999999999998,0.28800000000000003,43.067,-0.256,0.015
8,2.0,12.0,1041.4,258.3,0.212,0.278,-0.281,0.265,39.163000000000004,11.337,0.028999999999999998
9,2.0,14.000000000000002,876.9,301.9,0.12,0.196,-0.322,0.192,30.079,20.156,0.02
10,2.0,16.0,303.0,23.6,0.19,0.079,-0.27,0.09699999999999999,-0.242,-0.43200000000000005,-0.004
