z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.14,-0.04,1099.6,312.7,1.449,0.883,0.001,0.367,179.986,-30.555,-0.044
0.14,-0.02,1258.4,246.2,1.759,0.889,-0.013,0.328,70.362,-13.682,0.005
0.14,0,1193.7,254.2,1.756,0.894,-0.044,0.286,70.213,6.541,0.032
0.14,0.02,1190.9,313.1,1.658,1.013,-0.027,0.312,187.65,17.256,0.036
0.14,0.04,1020.8,335.7,1.347,0.939,-0.025,0.403,244.191,18.278,0.056
0.14,0.06,969.5,300,1.221,0.737,-0.066,0.448,163.904,41.907,0.08
0.14,0.08,952.5,322.5,1.154,0.609,-0.094,0.497,128.787,60.278,0.098
0.14,0.1,881.7,333.6,1.002,0.544,-0.106,0.472,106.033,61.466,0.097
0.14,0.12,786.9,320,0.725,0.452,-0.103,0.456,71.581,46.273,0.083
0.14,0.14,650.4,290.4,0.393,0.344,-0.129,0.435,41.892,20.861,0.045
0.14,0.16,472.4,245.4,0.156,0.243,-0.165,0.334,17.132,-2.603,0.01
