z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.08,-0.04,1056.7,290.1,0.899,0.626,0.181,0.249,103.367,-10.322,0.036
0.08,-0.02,1023.4,203.5,0.86,0.633,0.137,0.232,69.466,3.759,0.042
0.08,0,1022.6,184.5,0.954,0.552,-0.014,0.208,45.471,-4.58,0.002
0.08,0.02,1032,225.5,0.84,0.627,-0.13,0.193,70.075,0.632,-0.028
0.08,0.04,1011.1,294.2,0.873,0.648,-0.17,0.237,131.862,2.779,-0.026
0.08,0.06,950.2,312,0.881,0.611,-0.273,0.23,152.372,0.569,-0.001
0.08,0.08,912.7,320.5,0.815,0.561,-0.277,0.27,144.148,10.873,0.043
0.08,0.1,946.1,350.1,0.783,0.522,-0.249,0.306,112.497,25.966,0.088
0.08,0.12,603,270.7,0.319,0.378,-0.203,0.251,56.953,7.861,0.037
0.08,0.14,317.5,27.1,0.057,0.143,-0.189,0.186,-0.03,-1.386,-0.001
0.08,0.16,298.1,0.2,0.047,0.098,-0.167,0.126,-0.001,-0.008,-0.002
