,z(cm),T-avg(K),T-rms(K),Uz-avg(m/s),Uz-rms(m/s),Uz'T'(m-K/s)
0,2.0,751.0,220.9,0.13,0.18,17.9
1,4.0,911.4,224.4,0.37,0.3,39.0
2,6.0,1013.9,241.9,0.67,0.44,51.3
3,8.0,1079.1,245.1,0.98,0.56,51.8
4,10.0,1133.6,238.0,1.28,0.65,39.3
5,12.0,1168.4,240.7,1.53,0.76,36.8
6,14.000000000000002,1178.4,244.8,1.74,0.88,52.1
7,16.0,1190.7,233.3,1.93,0.97,49.2
8,18.0,1205.0,231.9,2.1,1.05,49.1
9,20.0,1232.1,236.6,2.27,1.09,56.6
10,30.0,1223.1,291.1,2.82,1.3,222.4
