z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.08,-0.04,1093.6,261.8,0.954,0.664,0.112,0.265,114.473,7.727,0.049
0.08,-0.02,1116.5,222.6,1.054,0.537,0.056,0.237,32.274,-0.371,0.038
0.08,0,1006.5,235.9,0.98,0.471,-0.048,0.218,40.726,-12.652,0.006
0.08,0.02,1201,214.3,1.07,0.577,-0.133,0.234,38.856,0.556,-0.018
0.08,0.04,1076.5,308.6,0.909,0.707,-0.174,0.237,160.704,-11.855,-0.041
0.08,0.06,936.7,279.2,0.745,0.64,-0.195,0.305,136.983,-17.636,-0.019
0.08,0.08,934,259.5,0.785,0.512,-0.234,0.356,89.04,19.972,0.058
0.08,0.1,905.7,307.1,0.74,0.546,-0.251,0.347,113.899,40.673,0.093
0.08,0.12,698.8,318.5,0.463,0.442,-0.224,0.318,89.478,32.639,0.067
0.08,0.14,445.6,208.4,0.171,0.236,-0.226,0.234,15.831,-0.472,0.011
0.08,0.16,320.9,74.2,0.079,0.13,-0.202,0.161,3.508,-1.008,-0.002
