z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.06,-0.04,1265.9,237.2,0.841,0.491,0.167,0.251,42.941,6.059,0.061
0.06,-0.02,1132.6,263.7,0.792,0.416,0.103,0.211,41.706,7.037,0.039
0.06,0,985.9,275.8,0.688,0.427,-0.05,0.171,61.847,3.798,0.004
0.06,0.02,1220.5,226.3,0.833,0.503,-0.18,0.211,36.943,-4.776,-0.033
0.06,0.04,1175.6,309.3,0.676,0.634,-0.186,0.265,131.744,-14.379,-0.07
0.06,0.06,1019.4,291.1,0.546,0.563,-0.174,0.292,121.714,-23.14,-0.031
0.06,0.08,1045,287.2,0.628,0.5,-0.271,0.307,98.651,6.233,0.028
0.06,0.1,999.5,344.1,0.66,0.53,-0.313,0.279,126.503,41.314,0.076
0.06,0.12,814.8,366.6,0.469,0.457,-0.319,0.239,118.241,23.015,0.045
0.06,0.14,528.4,299.5,0.196,0.242,-0.27,0.207,36.917,3.623,0.018
0.06,0.16,325.4,88.9,0.083,0.103,-0.224,0.146,-0.923,-2.355,-0.002
