z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.08,-0.04,1014.1,327.8,0.834,0.708,0.223,0.214,169.8,-2.728,0.036
0.08,-0.02,1063.8,273.9,0.866,0.702,0.184,0.187,122.368,-1.804,0.032
0.08,0,1079.1,245.1,0.978,0.555,0.043,0.191,51.756,-3.214,-0.005
0.08,0.02,1068.3,268.2,0.914,0.681,-0.136,0.192,112.179,-4.391,-0.032
0.08,0.04,1083.6,326.3,0.923,0.687,-0.221,0.223,160.848,-6.06,-0.037
0.08,0.06,1033.3,365,0.897,0.645,-0.288,0.224,195.303,-7.218,-0.011
0.08,0.08,1029.9,384,0.905,0.564,-0.281,0.263,169.21,13.093,0.031
0.08,0.1,890.1,368.1,0.663,0.51,-0.228,0.299,137.121,20.916,0.052
0.08,0.12,694.7,373.3,0.364,0.401,-0.192,0.284,95.707,16.93,0.045
0.08,0.14,347.7,83.5,0.08,0.153,-0.198,0.198,0.025,-4.498,0
0.08,0.16,298.5,2.1,0.052,0.109,-0.175,0.137,-0.046,-0.067,-0.003
