m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,K,m,K,m,K,m,K,m,kW/m2,m,kW/m2,m,m/s,m,m/s
co-z,co,co2-z,co2,h20-z,h20,o2-z,o2,ch3oh-z,ch3oh,soot-z,soot,n2-z,n2,tc_40_60-z,tc_40_60,tc_rms-z,tc_rms,temp_falksmith_2021a_mean-z,temp_falksmith_2021a_mean,temp_falksmith_2021a_rms-z,temp_falksmith_2021a_rms,hf_z_1cm-x,hf_z_1cm,hf_r_60cm-z,hf_r_60cm,w_mean-z,w_mean,w_rms-z,w_rms
1.00E+00,3.09E-02,1.00E+00,3.55E-02,1.00E+00,1.37E-01,1.00E+00,2.07E-02,1.00E+00,3.82E-01,1.00E+00,0.00E+00,1.00E+00,3.94E-01,8.00E-03,6.94E+02,8.00E-03,1.26E+02,0.00E+00,6.94E+02,0.00E+00,1.37E+02,1.61E+01,3.18E+00,1.00E+00,8.08E-01,4.00E-02,5.72E-01,4.00E-02,1.69E-01
2.00E+00,3.39E-02,2.00E+00,3.99E-02,2.00E+00,1.53E-01,2.00E+00,2.44E-02,2.00E+00,3.05E-01,2.00E+00,0.00E+00,2.00E+00,4.44E-01,3.80E-02,1.00E+03,3.80E-02,1.74E+02,1.00E+00,8.45E+02,1.00E+00,1.57E+02,1.90E+01,2.27E+00,1.10E+01,9.79E-01,6.00E-02,9.97E-01,6.00E-02,2.38E-01
3.00E+00,3.70E-02,3.00E+00,4.50E-02,3.00E+00,1.70E-01,3.00E+00,2.71E-02,3.00E+00,2.26E-01,3.00E+00,0.00E+00,3.00E+00,4.95E-01,8.30E-02,1.17E+03,8.30E-02,1.70E+02,2.00E+00,9.49E+02,2.00E+00,1.84E+02,2.19E+01,1.87E+00,2.10E+01,9.97E-01,1.00E-01,1.75E+00,1.00E-01,4.14E-01
6.00E+00,3.79E-02,6.00E+00,4.85E-02,6.00E+00,1.79E-01,6.00E+00,2.94E-02,6.00E+00,1.79E-01,6.00E+00,0.00E+00,6.00E+00,5.26E-01,1.58E-01,1.23E+03,1.58E-01,1.90E+02,4.00E+00,1.07E+03,4.00E+00,2.10E+02,2.30E+01,1.56E+00,3.10E+01,9.08E-01,2.00E-01,2.89E+00,2.00E-01,9.58E-01
1.00E+01,3.59E-02,1.00E+01,5.27E-02,1.00E+01,1.83E-01,1.00E+01,3.71E-02,1.00E+01,1.19E-01,1.00E+01,0.00E+00,1.00E+01,5.72E-01,2.33E-01,1.16E+03,2.33E-01,2.54E+02,6.00E+00,1.15E+03,6.00E+00,2.11E+02,3.00E+01,9.86E-01,4.10E+01,8.17E-01,3.00E-01,3.39E+00,3.00E-01,1.24E+00
1.40E+01,3.11E-02,1.40E+01,5.52E-02,1.40E+01,1.79E-01,1.40E+01,4.74E-02,1.40E+01,8.04E-02,1.40E+01,0.00E+00,1.40E+01,6.06E-01,3.08E-01,1.06E+03,3.08E-01,2.87E+02,8.00E+00,1.20E+03,8.00E+00,2.08E+02,3.88E+01,5.62E-01,5.10E+01,6.88E-01,4.20E-01,3.54E+00,4.20E-01,1.29E+00
2.00E+01,2.26E-02,2.00E+01,5.48E-02,2.00E+01,1.62E-01,2.00E+01,6.74E-02,2.00E+01,4.59E-02,2.00E+01,0.00E+00,2.00E+01,6.47E-01,4.58E-01,8.15E+02,4.58E-01,2.88E+02,1.10E+01,1.24E+03,1.10E+01,2.19E+02,4.72E+01,3.50E-01,6.10E+01,5.99E-01,6.30E-01,3.28E+00,6.30E-01,1.23E+00
3.00E+01,1.22E-02,3.00E+01,4.78E-02,3.00E+01,1.28E-01,3.00E+01,1.01E-01,3.00E+01,1.75E-02,3.00E+01,0.00E+00,3.00E+01,6.94E-01,6.05E-01,6.19E+02,6.05E-01,2.09E+02,1.40E+01,1.25E+03,1.40E+01,2.43E+02,5.65E+01,2.32E-01,7.10E+01,4.84E-01,9.30E-01,2.78E+00,9.30E-01,9.85E-01
6.00E+01,5.74E-04,6.00E+01,2.03E-02,6.00E+01,5.02E-02,6.00E+01,1.71E-01,6.00E+01,3.17E-04,6.00E+01,0.00E+00,6.00E+01,7.58E-01,NaN,NaN,NaN,NaN,1.50E+01,1.25E+03,1.50E+01,2.43E+02,6.62E+01,1.55E-01,8.10E+01,3.81E-01,1.13E+00,2.49E+00,1.13E+00,8.47E-01
