cm,mol/mol,cm,mol/mol,cm,mol/mol,cm,mol/mol,cm,mol/mol,cm,mol/mol,cm,mol/mol,cm,K,cm,K,cm,K,cm,K,cm,kW/m2,cm,kW/m2,cm,m/s
co-z,co,co2-z,co2,h2o-z,h2o,o2-z,o2,ch3oh-z,ch3oh,soot-z,soot,n2-z,n2,tc_mean-z,tc_mean,tc_rms-z,tc_rms,temp_falksmith_2021a_mean-z,temp_falksmith_2021a_mean,temp_falksmith_2021a_rms-z,temp_falksmith_2021a_rms,hf_z_1cm-x,hf_z_1cm,hf_r_60cm-z,hf_r_60cm,w_mean-z,w_mean
1.00E+00,3.52E-02,1.00E+00,3.55E-02,1.00E+00,1.47E-01,1.00E+00,3.97E-02,1.00E+00,2.60E-01,1.00E+00,0.00E+00,1.00E+00,4.82E-01,8.00E-01,1.03E+03,8.00E-01,9.38E+01,0.00E+00,1.05E+03,0.00E+00,1.04E+02,1.61E+01,2.79E+00,1.00E+00,9.58E-01,4.00E+00,8.88E-01
2.00E+00,3.77E-02,2.00E+00,3.85E-02,2.00E+00,1.58E-01,2.00E+00,4.24E-02,2.00E+00,2.05E-01,2.00E+00,0.00E+00,2.00E+00,5.18E-01,3.80E+00,1.11E+03,3.80E+00,1.15E+02,1.00E+00,1.05E+03,1.00E+00,1.04E+02,1.90E+01,2.23E+00,1.10E+01,1.19E+00,6.00E+00,1.27E+00
4.00E+00,3.95E-02,4.00E+00,4.15E-02,4.00E+00,1.68E-01,4.00E+00,4.54E-02,4.00E+00,1.52E-01,4.00E+00,0.00E+00,4.00E+00,5.53E-01,8.30E+00,1.25E+03,8.30E+00,1.45E+02,2.00E+00,1.13E+03,2.00E+00,1.31E+02,2.19E+01,2.11E+00,2.10E+01,1.16E+00,1.00E+01,1.94E+00
6.00E+00,3.96E-02,6.00E+00,4.40E-02,6.00E+00,1.74E-01,6.00E+00,4.85E-02,6.00E+00,1.15E-01,6.00E+00,0.00E+00,6.00E+00,5.79E-01,1.58E+01,1.26E+03,1.58E+01,1.93E+02,4.00E+00,1.21E+03,4.00E+00,1.47E+02,2.30E+01,2.08E+00,3.10E+01,1.06E+00,2.00E+01,3.01E+00
1.00E+01,3.64E-02,1.00E+01,4.78E-02,1.00E+01,1.75E-01,1.00E+01,5.58E-02,1.00E+01,6.87E-02,1.00E+01,0.00E+00,1.00E+01,6.16E-01,2.33E+01,1.17E+03,2.33E+01,2.51E+02,6.00E+00,1.26E+03,6.00E+00,1.59E+02,3.00E+01,1.32E+00,4.10E+01,9.07E-01,3.00E+01,3.46E+00
1.40E+01,3.10E-02,1.40E+01,5.02E-02,1.40E+01,1.69E-01,1.40E+01,6.46E-02,1.40E+01,4.24E-02,1.40E+01,0.00E+00,1.40E+01,6.42E-01,3.08E+01,1.05E+03,3.08E+01,2.80E+02,8.00E+00,1.28E+03,8.00E+00,1.76E+02,3.88E+01,7.14E-01,5.10E+01,7.54E-01,4.20E+01,3.53E+00
2.00E+01,2.17E-02,2.00E+01,5.14E-02,2.00E+01,1.54E-01,2.00E+01,8.02E-02,2.00E+01,2.05E-02,2.00E+01,0.00E+00,2.00E+01,6.73E-01,4.58E+01,8.06E+02,4.58E+01,2.39E+02,1.10E+01,1.29E+03,1.10E+01,1.95E+02,4.72E+01,4.63E-01,6.10E+01,6.06E-01,6.30E+01,3.22E+00
3.00E+01,8.68E-03,3.00E+01,4.70E-02,3.00E+01,1.19E-01,3.00E+01,1.10E-01,3.00E+01,5.37E-03,3.00E+01,0.00E+00,3.00E+01,7.10E-01,6.05E+01,6.16E+02,6.05E+01,1.58E+02,1.40E+01,1.29E+03,1.40E+01,2.34E+02,5.65E+01,2.88E-01,7.10E+01,4.79E-01,9.30E+01,2.80E+00
6.00E+01,1.46E-04,6.00E+01,2.08E-02,6.00E+01,5.03E-02,6.00E+01,1.70E-01,6.00E+01,6.62E-05,6.00E+01,0.00E+00,6.00E+01,7.58E-01,NaN,NaN,NaN,NaN,1.50E+01,1.29E+03,1.50E+01,2.34E+02,6.62E+01,1.89E-01,8.10E+01,3.74E-01,1.13E+02,2.59E+00
