m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,mol/mol,m,K,m,K,m,K,m,K,m,kW/m2,m,kW/m2,m,m/s,m,m/s
co-z,co,co2-z,co2,h20-z,h20,o2-z,o2,ch3oh-z,ch3oh,soot-z,soot,n2-z,n2,tc_40_60-z,tc_40_60,tc_rms-z,tc_rms,temp_falksmith_2021a_mean-z,temp_falksmith_2021a_mean,temp_falksmith_2021a_rms-z,temp_falksmith_2021a_rms,hf_z_1cm-x,hf_z_1cm,hf_r_60cm-z,hf_r_60cm,w_mean-z,w_mean,w_rms-z,w_rms
1.00E+00,4.02E-02,1.00E+00,4.94E-02,1.00E+00,1.85E-01,1.00E+00,2.89E-02,1.00E+00,1.58E-01,1.00E+00,0.00E+00,1.00E+00,5.38E-01,8.00E-03,1.18E+03,8.00E-03,8.87E+01,0.00E+00,1.21E+03,0.00E+00,1.01E+02,1.61E+01,1.66E+00,1.00E+00,7.95E-01,4.00E-02,9.31E-01,4.00E-02,1.85E-01
2.00E+00,4.09E-02,2.00E+00,5.16E-02,2.00E+00,1.91E-01,2.00E+00,3.14E-02,2.00E+00,1.22E-01,2.00E+00,0.00E+00,2.00E+00,5.63E-01,3.80E-02,1.24E+03,3.80E-02,9.36E+01,1.00E+00,1.21E+03,1.00E+00,1.01E+02,1.90E+01,1.73E+00,1.10E+01,1.05E+00,6.00E-02,1.33E+00,6.00E-02,2.43E-01
3.00E+00,3.98E-02,3.00E+00,5.39E-02,3.00E+00,1.94E-01,3.00E+00,3.60E-02,3.00E+00,8.74E-02,3.00E+00,0.00E+00,3.00E+00,5.89E-01,8.30E-02,1.30E+03,8.30E-02,1.41E+02,2.00E+00,1.27E+03,2.00E+00,1.09E+02,2.19E+01,1.62E+00,2.10E+01,1.01E+00,1.00E-01,2.00E+00,1.00E-01,4.05E-01
6.00E+00,3.69E-02,6.00E+00,5.56E-02,6.00E+00,1.92E-01,6.00E+00,4.21E-02,6.00E+00,6.33E-02,6.00E+00,0.00E+00,6.00E+00,6.10E-01,1.58E-01,1.24E+03,1.58E-01,2.10E+02,4.00E+00,1.32E+03,4.00E+00,1.19E+02,2.30E+01,1.45E+00,3.10E+01,9.11E-01,2.00E-01,2.95E+00,2.00E-01,7.83E-01
1.00E+01,2.88E-02,1.00E+01,5.69E-02,1.00E+01,1.79E-01,1.00E+01,5.69E-02,1.00E+01,3.54E-02,1.00E+01,0.00E+00,1.00E+01,6.43E-01,2.33E-01,1.11E+03,2.33E-01,2.52E+02,6.00E+00,1.34E+03,6.00E+00,1.48E+02,3.00E+01,9.76E-01,4.10E+01,7.71E-01,3.00E-01,3.30E+00,3.00E-01,1.03E+00
1.40E+01,2.13E-02,1.40E+01,5.64E-02,1.40E+01,1.63E-01,1.40E+01,7.15E-02,1.40E+01,2.06E-02,1.40E+01,0.00E+00,1.40E+01,6.67E-01,3.08E-01,9.60E+02,3.08E-01,2.52E+02,8.00E+00,1.34E+03,8.00E+00,1.73E+02,3.88E+01,5.20E-01,5.10E+01,6.28E-01,4.20E-01,3.39E+00,4.20E-01,1.12E+00
2.00E+01,1.23E-02,2.00E+01,5.32E-02,2.00E+01,1.39E-01,2.00E+01,9.25E-02,2.00E+01,9.02E-03,2.00E+01,0.00E+00,2.00E+01,6.94E-01,4.58E-01,7.45E+02,4.58E-01,1.90E+02,1.10E+01,1.32E+03,1.10E+01,2.03E+02,4.72E+01,3.34E-01,6.10E+01,5.03E-01,6.30E-01,3.22E+00,6.30E-01,1.13E+00
3.00E+01,3.83E-03,3.00E+01,4.35E-02,3.00E+01,1.03E-01,3.00E+01,1.24E-01,3.00E+01,2.06E-03,3.00E+01,0.00E+00,3.00E+01,7.24E-01,6.05E-01,5.87E+02,6.05E-01,1.26E+02,1.40E+01,1.27E+03,1.40E+01,2.55E+02,5.65E+01,2.05E-01,7.10E+01,3.97E-01,9.30E-01,2.76E+00,9.30E-01,1.03E+00
6.00E+01,4.78E-05,6.00E+01,1.92E-02,6.00E+01,4.69E-02,6.00E+01,1.73E-01,6.00E+01,2.37E-05,6.00E+01,0.00E+00,6.00E+01,7.60E-01,NaN,NaN,NaN,NaN,1.50E+01,1.27E+03,1.50E+01,2.55E+02,6.62E+01,1.34E-01,8.10E+01,3.11E-01,1.13E+00,2.56E+00,1.13E+00,8.59E-01
