r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0.5,14.297,0.93646,15.234
2,15.274,1.1735,16.448
4,16.631,1.428,18.059
6,18.736,2.1201,20.857
8,20.577,5.696,26.273
10,20.788,8.6663,29.454
12,20.537,8.804,29.341
14,21.371,6.9019,28.273
15,20.855,4.7329,25.588
