r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0.5,10.949,2.1932,13.142
2,11.478,2.4761,13.954
4,11.615,2.7617,14.377
6,11.591,3.1369,14.728
8,11.443,5.8623,17.306
10,12.294,8.9141,21.208
12,18.029,9.3335,27.362
14,32.236,7.7395,39.975
15,36.628,5.7798,42.408
