r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0,14.141,12.212,26.353
2,14.941,12.42,27.361
4,15.39,13.573,28.963
6,15.737,16.319,32.056
8,14.807,17.485,32.292
10,12.466,17.036,29.502
12,9.4854,14.707,24.193
14,6.9551,9.4634,16.418
15,4.58,1.6638,6.2438
