r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0,9.7901,14.398,24.189
2,10.052,14.69,24.742
4,9.8831,16.101,25.984
6,9.3093,19.357,28.666
8,8.3392,20.983,29.322
10,7.0247,20.752,27.776
12,5.5741,17.991,23.565
14,4.0358,11.775,15.81
15,2.3483,2.4778,4.826
