r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0,11.761,14.485,26.246
2,12.011,14.902,26.913
4,11.768,15.871,27.639
6,11.059,17.664,28.723
8,9.8272,19.032,28.859
10,8.4359,20.009,28.445
12,6.7069,18.42,25.127
14,4.9072,12.448,17.355
15,2.9318,2.5654,5.4972
