r(cm),Qrad(kW/m2),Qconv(kW/m2),Qtot(kW/m2)
0,12.709,14.391,27.1
2,13.014,15.009,28.024
4,12.846,16.209,29.055
6,12.244,18.492,30.736
8,11.225,19.744,30.969
10,9.6652,19.519,29.184
12,7.7306,17.499,25.229
14,5.7339,11.649,17.383
15,3.5226,2.5004,6.023
