z-position,avgTimeRange_2.4,avgTimeRange_7.3,avgTimeRange_11.9,avgTimeRange_16.7,avgTimeRange_21.4,avgTimeRange_26.2,avgTimeRange_30.9,avgTimeRange_35.5,avgTimeRange_40.3,avgTimeRange_45.0,avgTimeRange_49.8,avgTimeRange_54.6,avgTimeRange_59.3,avgTimeRange_64.0,avgTimeRange_68.8
0.1016,869.213942598,860.6034542353333,856.5514547928,861.4090641739999,860.647242939111,860.520573778,861.0791917152308,862.2121044114667,860.8242154732941,870.0992065263158,871.5374152078095,870.9220256204346,870.3305559263201,864.8263717488147,863.9578129251036
0.127,858.114590054,850.3386380233334,846.19821398,851.5298201305714,850.5183479004446,850.5318103958183,851.2001089104615,852.2748311214666,850.792364481647,859.4757022251578,860.812042772095,860.3670930479132,859.8772211659199,854.3481820044443,853.492574874
0.1524,894.2298829879999,888.9354707413333,884.543387926,889.0961775274286,888.4081732393335,888.3627592816363,889.0270724361537,890.0975426696001,888.743467342353,897.0751642577894,898.2885299822858,897.7103448503478,897.3465782481599,891.8654693845186,890.8058748269656
0.1778,919.8477672320001,915.6590710126667,911.095132962,915.3863074468571,915.1185446391111,914.9392893205455,915.5438507850769,916.5910964136001,915.2785285394116,923.650899663579,925.0424762265714,924.3092572449566,923.9607002405601,918.4276240718519,917.3011287233794
0.2032,930.62071921,925.7089404939999,921.3557064408,926.694874879143,926.5268516642222,926.2251366012727,926.8715838776923,927.8778189997333,926.4926318185884,934.6163825082106,936.2574631025715,935.6194884023478,935.2822849777598,929.5587054923702,928.5560924979999
0.254,915.2970235860001,908.8703612986667,904.0534461032,909.451830138,908.9353519697779,908.9068465903637,909.637969817846,910.6001680030665,909.3232401436468,916.3674551256844,917.8162998786667,917.1814848765217,917.1569373519201,911.6516069745927,910.665690682
0.3048,898.307637264,894.8922470293335,890.0448896291999,895.3258822711427,895.3570701011112,895.1356609961817,896.2591308887693,897.0396623764001,895.794581639294,901.3057852135788,902.7663905687617,901.8934321685217,902.2026072911201,897.048109201037,895.9945404574481
0.3556,866.1932119319999,860.13044612,855.7106994504,860.7769042482857,861.5925086179998,861.7491425554547,863.1764430695384,863.9128096069333,862.8110534747059,867.1681622090525,868.4751386275238,867.342384584348,867.8593691712798,863.0304028811111,861.9997643473104
0.4064,821.0377854600001,816.443628344,811.80573003,816.5190749008572,817.9702599857777,818.1013396665454,819.921582500923,820.2959803557334,819.1180635661176,822.1300893544211,823.4289342764762,821.9007489893912,822.6758659580798,818.3341689291112,817.1742983455175
0.4572,771.238644386,765.8394019333333,761.6720896372,766.2645263960001,768.9038986862222,769.186049731091,771.406774447846,771.5813356675999,770.5751487157646,772.5206146946316,773.5397114198096,771.7855303113045,772.6596854203199,768.8099979245927,767.645905156069
0.508,712.69622152,708.76098275,704.4377774348,708.5823319514286,712.2028212882223,712.441988096182,714.9083495850768,714.7386726577332,713.9146568645882,714.902272426842,715.7696318741905,713.7349656851304,714.78048073264,711.2556740868886,710.0495301151724
0.5588,652.512915116,647.6797502033332,643.3257027775999,647.3570882091428,651.7038107611111,652.063329199091,654.8892185984616,654.3774304406666,653.5853654887059,653.7675131702106,654.4907335317143,652.363568494,653.40695345352,650.4295935605185,649.2643308395861
0.6096,592.056207056,587.5931388566668,582.7834999803999,586.7330168748572,591.9342050966666,592.2451819396363,595.2824972629231,594.6037425910666,594.0846786104706,593.7287285303158,594.1503946542856,591.9204180924347,592.9960338200001,590.306042505926,589.1719612113104
0.6604,519.758821416,515.672978832,510.69739397639995,514.2942549354285,519.6886081666667,520.1159550794546,523.253530404923,522.3165741981333,521.8346403729412,521.0187497969473,521.3699624021906,519.1852585716522,520.19348217504,517.9311484411853,516.8707337563449
0.7112,461.768501114,458.05414663066665,452.73822043240006,456.0078278371429,461.64151042911107,462.0151669329091,465.2198773921538,464.1845490081334,463.83786398670594,462.8375511708421,462.9681494356192,460.807002714,461.72285356695994,459.7064843074815,458.7217080978622
0.762,407.49266648,404.47690427599997,399.0162066636,402.0874046477143,407.56228218266665,407.939323452,411.0457796853846,409.9588074174667,409.68529729670576,408.59456806978943,408.6624764473334,406.6446855580869,407.48638440495995,405.75554806674074,404.8643320431035
0.8128,357.88429001599997,355.3653588446667,349.84319219959997,352.5115545794286,357.75155762155555,358.1524587352728,361.0773963187692,359.9915348370667,359.72131468788234,358.7039496002105,358.70874472961907,356.81299746617384,357.58648794312,355.93925289466665,355.1381957766897
