z-position,avgTimeRange_2.4,avgTimeRange_7.2,avgTimeRange_12.0,avgTimeRange_16.8,avgTimeRange_21.5,avgTimeRange_26.2,avgTimeRange_31.0,avgTimeRange_35.7,avgTimeRange_40.4,avgTimeRange_45.1,avgTimeRange_49.8,avgTimeRange_54.5,avgTimeRange_59.3,avgTimeRange_64.1,avgTimeRange_68.7,avgTimeRange_73.4,avgTimeRange_78.1,avgTimeRange_83.0,avgTimeRange_87.7,avgTimeRange_92.5,avgTimeRange_97.4,avgTimeRange_102.2,avgTimeRange_107.0,avgTimeRange_111.8,avgTimeRange_116.6,avgTimeRange_121.3,avgTimeRange_126.0,avgTimeRange_130.7,avgTimeRange_135.5,avgTimeRange_140.2,avgTimeRange_144.9,avgTimeRange_149.8,avgTimeRange_154.5,avgTimeRange_159.1,avgTimeRange_163.9,avgTimeRange_168.6,avgTimeRange_173.3,avgTimeRange_178.0,avgTimeRange_182.8,avgTimeRange_187.4,avgTimeRange_192.2
0.1016,188.05965867999998,207.59876952733333,218.240776796,228.0050814568571,232.64021812577778,236.03761044618182,231.13108877240003,229.65603484114666,231.63512637148236,231.72980427128422,230.6871580452095,229.72810489995655,232.65460190092003,231.2580443066296,229.365374874669,229.5818886114,230.22172863676968,230.2755436350114,228.48825026371355,226.50439484388207,226.11843092530245,227.7565667338465,230.0937769266089,230.78621093394466,228.86362969584485,227.06786087459994,226.21894160627548,226.40189373437462,227.31810072744918,226.86171973068812,227.5858031512557,228.34706126543807,228.47040407376298,228.61554091537616,230.15175828701737,229.52170739664228,228.97486862215882,228.2809994505813,227.4086501856312,226.95408480450124,227.20279174624196
0.127,168.7856810262,192.63935178166665,203.58426579623998,213.35090510854286,217.3240231235111,221.18929388987274,216.15775738318462,214.49161490812,215.79535367091762,215.89218755906313,214.79134472624762,213.78849239173917,216.704463213304,215.1119440916,213.17301255789653,213.29262588781933,214.105169733897,214.21809979704577,212.2471525641946,210.18779057373337,209.72848365703902,211.519573371014,214.02036040413776,214.9595425534298,213.00311300864485,211.13857774449417,210.22429930927927,210.3061035896873,211.12714653121756,210.5160653684135,211.04097354514752,211.73367522870788,211.77609054067997,212.0402647730269,213.67333161855362,212.99654312829293,212.44772140129865,211.70779074501337,210.83837661475846,210.32110397614426,210.55070092983948
0.1524,138.7188858354,169.32707628826665,180.357257655,188.8818082749143,191.01931889935557,195.00750158072728,189.99660696435384,188.14847685821331,188.96838472208236,188.84145032453682,187.58838187077146,186.56908569136522,189.68841087897593,187.78240575749632,185.85516114205518,185.9186001979161,186.79547778773943,187.14205435622284,184.99449582976214,183.01579914664103,182.2057132028878,183.93596987478605,186.49377165999113,187.47227303909364,185.5677491842408,183.7102405893294,182.7528870112377,182.6846893896764,183.46942221868073,182.6534895577932,182.90191210473768,183.52666410267943,183.5763869390954,183.84746724842688,185.39202979889276,184.7704987110761,184.3422607314932,183.59454444324533,182.8258101951506,182.32903603328617,182.4396975323901
0.1778,130.3952236504,164.02831040373331,175.137561057,182.53793756911426,183.72835098413336,187.33511461785452,182.3370779478308,180.5241533456,181.63847401849415,181.2313759264,179.8600279536286,178.86644160978264,182.269229454912,180.26818520645185,178.3505673753241,178.47936911924515,179.20808365026664,179.74063707321713,177.56235764316213,175.69191171991798,174.59550258152686,176.1242207282884,178.58708220242218,179.3659915854468,177.48324385715503,175.65106529818829,174.6949977761283,174.60430075494907,175.4803150414667,174.6048056318102,174.80009615678028,175.43834140083177,175.6070433617231,175.7700898066239,177.16247884824637,176.64186911303102,176.340633751,175.61498803315467,174.93927971901562,174.535505538557,174.55939513386173
0.2032,137.044725985,170.7452107174667,182.28893429896002,188.7893839975714,189.85019698264446,192.61607427452728,187.52314935472313,185.88903196977333,188.0975760052706,187.33458286111582,185.8002496541619,184.86757397328694,188.834137993728,186.93099361817778,184.91504419875858,185.34860247451613,185.77259667860002,186.48945321578285,184.36329345588652,182.58377400941538,181.2007911222781,182.39847174656276,184.65733790232898,184.99000362373192,183.06536399800814,181.20123563936477,180.24281612531698,180.2541509022146,181.40255640103155,180.59821644766103,181.00983633039016,181.76085252983174,182.20839418674154,182.14638948122985,183.3782728241362,183.0032273503464,182.86573557959457,182.15959018662937,181.56992755467536,181.34607030252656,181.3249995506099
0.254,169.40026645499998,197.35137246373333,211.0467087252,219.2636656137143,222.65688761553335,224.91444409247273,219.4024433511538,217.55423249638665,220.77026713505882,220.04059878708418,218.4995219690476,217.48649789849568,221.95815917695998,220.46128676936297,218.15749735530346,219.10199508712262,219.54890041341213,220.10404719950856,217.95259897917296,216.01091087457942,214.875048372839,216.17011914358142,218.50587545563997,218.59510059958723,216.427400685653,214.32731924623135,213.23319550503402,213.4173711613636,214.92378075573686,214.40757965764402,215.31089639930488,216.20305827663498,216.84403925364003,216.6334649966776,218.05870319873918,217.65186289159723,217.4918796412521,216.74818431702928,216.07426432979997,215.8720639475393,216.0706580146148
0.3048,170.5939013632,206.7503981858,219.80898301444,230.3251854000857,232.75438298755552,235.60373089999996,229.89027792333846,227.80226619265338,229.84115449025884,229.29287158109472,227.72291377259052,226.60475448888698,230.703280230416,229.13584689494814,226.81355262111032,227.66097761666447,228.65912753977577,229.07485805855998,226.48834282391354,224.36593245695386,223.47882530645361,225.32650691634882,227.95974782479556,228.6118695218511,226.35986347585307,224.16516719023528,222.96146134211696,223.0520687597091,224.44988444485264,223.7699046928678,224.56161710850495,225.40868353010472,225.9047928742831,225.9041794521075,227.82180900119138,227.25026949855493,226.99839960571506,226.2592995461387,225.57841994597402,225.0657170695519,225.4124023279604
0.3556,143.7685525426,190.42386609940002,203.3311810816,212.0304042587143,212.08252063157778,214.62175287030908,209.27804524678461,207.37441665622669,208.9934626120353,207.87887193882105,206.36404007750474,205.22889818706957,209.22657394953598,207.49592510347404,205.4228790045655,206.16217071591612,206.89229029595157,207.5576014165257,204.98238752557842,202.94839220406666,201.6284404467317,203.10620463306512,205.53210220674663,206.13738208176173,204.01672613099998,201.88968928252157,200.7637684479396,200.89428596033085,202.16752476858596,201.17320114948137,201.6448127390262,202.41172325503172,203.08452089810774,203.137374140794,204.89844025648412,204.55183576035782,204.51140615005212,203.76970608369862,203.26877825097665,202.89445314422787,202.99764678901974
0.4064,131.0717791728,173.1831965512667,187.6753600462,193.34235618694285,193.91914795271109,195.54134139847275,190.32558269704614,188.31105867129332,190.90117058515295,189.3157477495579,187.82215760350476,186.8601153972956,191.31617925260002,189.8171680569111,187.68688890468277,188.9682952622129,189.35091135657575,190.2113470926857,187.87324732752435,185.9571475588359,184.41148184500977,185.35801700037678,187.38780907962226,187.5691349713021,185.54583742886942,183.51568852740388,182.36867384323776,182.4446344835018,183.86273194166662,182.94292454167797,183.47298456111807,184.22513873781267,185.23071940344613,185.06372772763282,186.46492440244344,186.37073392285913,186.59128649372875,185.8381227242747,185.50352377347528,185.55705519352148,185.68075808453077
0.4572,127.3611903736,166.13859685839998,179.7395285834,186.39682097825715,187.3242017803778,188.20781322396363,183.28855146927697,181.1148765444,184.31532202720004,182.88668820197896,181.30154072078093,180.6683045280522,185.34221626218397,184.0653118202074,181.8235314813517,183.45063921213548,184.1146419732667,184.94742452730287,182.5694341078811,180.76319355923079,179.4195649602731,180.42411369026976,182.3341670796266,182.40538876276597,180.43213574194294,178.4271825862157,177.23410105836606,177.2764641806691,178.94736020654034,178.36142590159992,179.16754940145248,179.9704747149905,181.00002949276617,180.70789110243584,182.17515708636523,182.00529390988734,182.27183719235072,181.69667465742398,181.43541106502596,181.50385764791636,181.8145780453852
