s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 4.2001066E+000, 1.5865668E+001,-5.3777150E+000,-1.1736298E+001,-2.3256016E-001,-1.6332644E-004, 0.0000000E+000, 0.0000000E+000,-1.6473884E+000,-1.4810688E+000, 1.2730120E-001, 3.3161183E-004,-1.1484423E-075,-1.8514746E-081
 4.4000139E+000, 1.4751899E+001,-4.9237073E+000,-9.4953840E+000,-2.4327456E-001,-1.6382634E-004, 0.0000000E+000, 0.0000000E+000,-2.8361831E-002, 8.9369457E-002, 1.2732439E-001, 3.3167220E-004,-9.7686830E-076,-1.7522711E-081
 4.6001396E+000, 1.6681694E+001,-5.9476607E+000,-6.7022151E+000,-2.2347583E-001,-1.6096308E-004, 0.0000000E+000, 0.0000000E+000, 3.5328259E+000, 3.8081818E+000, 1.2733996E-001, 3.3171270E-004,-7.9491665E-076,-1.5550575E-081
 4.8003054E+000, 1.4263347E+001,-4.6618564E+000,-9.9867257E+000,-2.2950639E-001,-1.6274839E-004, 0.0000000E+000, 0.0000000E+000,-8.6714348E-001,-6.1490390E-001, 1.2735040E-001, 3.3173987E-004,-7.3328215E-076,-1.5293247E-081
 5.0003715E+000, 1.5646139E+001,-4.8859082E+000,-1.0114650E+001,-2.2517040E-001,-1.6785670E-004, 0.0000000E+000, 0.0000000E+000, 1.7246848E-001, 4.2024227E-001, 1.2735739E-001, 3.3175808E-004,-1.2834566E-075,-3.7344257E-081
 5.2000685E+000, 1.4897545E+001,-4.6513231E+000,-8.9359381E+000,-2.2906284E-001,-1.6032077E-004, 0.0000000E+000, 0.0000000E+000, 8.0996573E-001, 1.0810602E+000, 1.2736208E-001, 3.3177027E-004,-4.4301215E-075,-2.4418177E-080
 5.4001884E+000, 1.5443948E+001,-4.9495838E+000,-1.2838639E+001,-2.2561171E-001,-1.6342635E-004, 0.0000000E+000, 0.0000000E+000,-2.7864930E+000,-2.5700495E+000, 1.2736522E-001, 3.3177845E-004,-1.7688471E-074,-1.7584336E-079
 5.6003661E+000, 1.3773761E+001,-4.3097949E+000,-9.5000176E+000,-2.3437448E-001,-1.6607559E-004, 0.0000000E+000, 0.0000000E+000,-5.0911229E-001,-2.7059218E-001, 1.2736733E-001, 3.3178393E-004,-6.6563024E-074,-1.1259024E-078
 5.8000636E+000, 1.6177982E+001,-5.6891154E+000,-6.4114409E+000,-2.2140458E-001,-1.6298936E-004, 0.0000000E+000, 0.0000000E+000, 3.5376280E+000, 3.8558584E+000, 1.2736874E-001, 3.3178761E-004,-2.2741667E-073,-6.4090930E-078
 6.0002313E+000, 1.4429782E+001,-4.9361597E+000,-1.0138774E+001,-2.2155242E-001,-1.6236805E-004, 0.0000000E+000, 0.0000000E+000,-1.1654369E+000,-8.6686583E-001, 1.2736968E-001, 3.3179007E-004,-7.2187537E-073,-3.3761737E-077
 6.2003331E+000, 1.4794305E+001,-4.9498269E+000,-1.0053820E+001,-2.2557988E-001,-1.6412439E-004, 0.0000000E+000, 0.0000000E+000,-7.1480913E-001,-4.3508535E-001, 1.2737032E-001, 3.3179172E-004,-2.1548446E-072,-1.6488274E-076
 6.4002957E+000, 1.4648754E+001,-4.8970682E+000,-9.2606792E+000,-2.3785605E-001,-1.5688473E-004, 0.0000000E+000, 0.0000000E+000, 4.4516734E-003, 2.5299369E-001, 1.2737075E-001, 3.3179283E-004,-6.0143530E-072,-7.3628061E-076
 6.6001282E+000, 1.6204833E+001,-5.0927374E+000,-1.1016002E+001,-2.3969996E-001,-1.6428171E-004, 0.0000000E+000, 0.0000000E+000,-3.7459064E-001,-1.4377123E-001, 1.2737103E-001, 3.3179357E-004,-1.5851562E-071,-3.0289200E-075
 6.8002772E+000, 1.5006874E+001,-4.8506748E+000,-8.1586856E+000,-2.3204562E-001,-1.6085449E-004, 0.0000000E+000, 0.0000000E+000, 1.5142431E+000, 1.7653067E+000, 1.2737122E-001, 3.3179407E-004,-3.9168519E-071,-1.1381283E-074
 7.0001645E+000, 1.5666292E+001,-5.0672359E+000,-1.1002408E+001,-2.3865708E-001,-1.5978424E-004, 0.0000000E+000, 0.0000000E+000,-9.0983569E-001,-6.4216905E-001, 1.2737135E-001, 3.3179440E-004,-9.1198687E-071,-3.9750697E-074
 7.2001371E+000, 1.4107862E+001,-5.0588413E+000,-7.5494605E+000,-2.2959323E-001,-1.6255674E-004, 0.0000000E+000, 0.0000000E+000, 9.4517297E-001, 1.2698047E+000, 1.2737144E-001, 3.3179463E-004,-2.0068546E-070,-1.3125361E-073
 7.4003453E+000, 1.4937986E+001,-5.1457660E+000,-1.0319490E+001,-2.2902844E-001,-1.6144071E-004, 0.0000000E+000, 0.0000000E+000,-1.0075115E+000,-7.5645991E-001, 1.2737149E-001, 3.3179478E-004,-4.2182537E-070,-4.1532252E-073
