Time,Chi_r
0.201,0.087
0.401,0.234
0.601,0.272
0.800,0.300
1.001,0.282
1.200,0.273
1.400,0.301
1.600,0.335
1.800,0.286
2.000,0.315
2.200,0.311
2.400,0.314
2.600,0.333
2.801,0.322
3.000,0.316
3.200,0.316
3.400,0.312
3.600,0.343
3.800,0.338
4.000,0.340
4.200,0.353
4.400,0.337
4.600,0.338
4.800,0.331
5.000,0.345
5.200,0.322
5.400,0.314
5.600,0.339
5.800,0.309
6.000,0.305
6.200,0.309
6.400,0.286
6.600,0.291
6.800,0.319
7.000,0.303
7.200,0.329
7.400,0.307
7.601,0.314
7.800,0.319
8.000,0.312
8.200,0.312
8.401,0.323
8.600,0.316
8.800,0.316
9.000,0.318
9.200,0.309
9.400,0.323
9.600,0.318
9.800,0.309
10.000,0.332
10.200,0.295
10.400,0.279
10.600,0.284
10.800,0.297
11.000,0.281
11.200,0.325
11.400,0.300
11.600,0.310
11.800,0.330
12.000,0.317
12.200,0.292
12.400,0.326
12.600,0.315
12.800,0.321
13.000,0.319
13.200,0.314
13.400,0.316
13.600,0.316
13.801,0.346
14.000,0.353
14.200,0.316
14.400,0.320
14.600,0.330
14.800,0.330
15.000,0.300
15.200,0.310
15.400,0.319
15.600,0.311
15.800,0.332
16.000,0.311
16.200,0.335
16.400,0.323
16.600,0.292
16.800,0.322
17.000,0.307
17.200,0.322
17.400,0.325
17.600,0.314
17.800,0.304
18.000,0.303
18.200,0.309
18.400,0.328
18.600,0.335
18.800,0.326
19.000,0.302
19.200,0.339
19.400,0.310
19.600,0.318
19.800,0.319
20.000,0.312
20.200,0.326
20.400,0.321
20.600,0.337
20.801,0.322
21.000,0.320
21.200,0.319
21.400,0.322
21.600,0.313
21.800,0.310
22.001,0.322
22.200,0.312
22.400,0.306
22.600,0.313
22.800,0.308
23.000,0.328
23.200,0.302
23.400,0.284
23.600,0.307
23.801,0.297
24.000,0.309
24.200,0.309
24.400,0.308
24.600,0.331
24.800,0.326
25.000,0.315
25.200,0.313
25.400,0.311
25.600,0.325
25.800,0.316
26.000,0.337
26.200,0.303
26.400,0.296
26.601,0.324
26.800,0.310
27.000,0.301
27.200,0.293
27.400,0.321
27.600,0.314
27.800,0.315
28.000,0.311
28.200,0.330
28.400,0.306
28.600,0.329
28.800,0.323
29.000,0.335
29.200,0.332
29.400,0.335
29.600,0.316
29.800,0.345
30.000,0.329
30.200,0.322
30.400,0.318
30.600,0.310
30.800,0.320
31.000,0.329
31.200,0.337
31.400,0.320
31.600,0.320
31.800,0.299
32.000,0.313
32.200,0.329
32.400,0.323
32.600,0.317
32.800,0.313
33.000,0.304
33.200,0.313
33.400,0.311
33.600,0.314
33.800,0.313
34.000,0.326
34.200,0.282
34.400,0.287
34.600,0.293
34.800,0.304
35.000,0.298
35.200,0.309
35.400,0.296
35.600,0.321
35.800,0.311
36.000,0.345
36.200,0.326
36.400,0.305
36.600,0.329
36.800,0.298
37.000,0.319
37.200,0.310
37.400,0.320
37.600,0.327
37.801,0.317
38.000,0.325
38.200,0.338
38.400,0.328
38.600,0.306
38.800,0.297
39.000,0.306
39.200,0.292
39.400,0.308
39.600,0.325
39.800,0.306
40.000,0.304
40.200,0.313
40.400,0.317
40.600,0.327
40.800,0.342
41.001,0.316
41.200,0.341
41.400,0.299
41.600,0.330
41.800,0.307
42.000,0.311
42.200,0.315
42.400,0.319
42.600,0.301
42.800,0.315
43.000,0.307
43.200,0.302
43.400,0.322
43.600,0.297
43.801,0.311
44.000,0.290
44.200,0.307
44.400,0.299
44.600,0.327
44.800,0.305
45.000,0.286
45.200,0.299
45.400,0.298
45.600,0.314
45.800,0.304
46.000,0.304
46.200,0.285
46.400,0.297
46.600,0.290
46.800,0.306
47.000,0.313
47.200,0.329
47.400,0.298
47.601,0.320
47.800,0.299
48.000,0.290
48.200,0.295
48.400,0.287
48.600,0.298
48.800,0.296
49.000,0.308
49.200,0.321
49.401,0.319
49.600,0.314
49.800,0.287
50.000,0.316
50.200,0.304
50.400,0.293
50.600,0.322
50.800,0.328
51.000,0.313
51.200,0.296
51.400,0.294
51.600,0.320
51.800,0.301
52.000,0.318
52.200,0.317
52.400,0.291
52.600,0.323
52.800,0.299
53.000,0.286
53.200,0.286
53.400,0.279
53.600,0.314
53.800,0.298
54.000,0.307
54.200,0.310
54.400,0.308
54.600,0.298
54.800,0.322
55.000,0.310
55.200,0.309
55.400,0.304
55.600,0.297
55.800,0.306
56.000,0.293
56.200,0.290
56.400,0.309
56.600,0.310
56.800,0.301
57.000,0.296
57.200,0.306
57.400,0.310
57.600,0.314
57.800,0.299
