Time,Chi_r
79.800,0.288
80.001,0.314
80.200,0.308
80.400,0.299
80.600,0.317
80.800,0.314
81.000,0.319
81.200,0.295
81.400,0.294
81.600,0.313
81.801,0.317
82.000,0.320
82.200,0.300
82.400,0.300
82.601,0.309
82.800,0.301
83.000,0.307
83.200,0.317
83.400,0.302
83.600,0.293
83.800,0.300
84.000,0.313
84.200,0.297
84.400,0.304
84.601,0.327
84.800,0.328
85.000,0.305
85.200,0.310
85.400,0.292
85.600,0.303
85.800,0.304
86.000,0.308
86.200,0.322
86.400,0.312
86.600,0.315
86.800,0.313
87.000,0.298
87.200,0.317
87.400,0.305
87.600,0.329
87.800,0.301
88.000,0.323
88.200,0.310
88.400,0.307
88.600,0.315
88.800,0.310
89.000,0.329
89.200,0.317
89.400,0.312
89.600,0.296
89.800,0.302
90.000,0.319
90.200,0.312
90.400,0.305
90.600,0.298
90.800,0.313
91.000,0.307
91.200,0.325
91.400,0.326
91.600,0.308
91.800,0.312
92.000,0.320
92.200,0.317
92.400,0.302
92.600,0.305
92.800,0.321
93.000,0.312
93.200,0.305
93.400,0.324
93.600,0.307
93.800,0.314
94.000,0.309
94.200,0.298
94.400,0.341
94.600,0.296
94.801,0.327
95.000,0.315
95.200,0.292
95.400,0.290
95.600,0.299
95.800,0.297
96.000,0.315
96.200,0.280
96.400,0.299
96.600,0.294
96.800,0.299
97.000,0.317
97.200,0.294
97.400,0.336
97.600,0.310
97.800,0.287
98.000,0.298
98.200,0.330
98.400,0.319
98.600,0.280
98.800,0.313
99.000,0.318
99.200,0.315
99.400,0.308
99.600,0.312
99.800,0.315
100.000,0.300
100.200,0.312
100.400,0.328
100.600,0.318
100.800,0.329
101.000,0.316
101.200,0.326
101.400,0.295
101.600,0.311
101.800,0.313
102.000,0.309
102.200,0.325
102.400,0.321
102.600,0.311
102.800,0.323
103.000,0.321
103.200,0.323
103.400,0.322
103.600,0.300
103.800,0.330
104.000,0.313
104.200,0.325
104.400,0.314
104.600,0.308
104.800,0.319
105.000,0.297
105.200,0.313
105.400,0.299
105.600,0.291
105.800,0.319
106.000,0.325
106.200,0.308
106.400,0.306
106.600,0.301
106.800,0.333
107.000,0.315
107.200,0.318
107.400,0.328
107.600,0.305
107.801,0.289
108.000,0.300
108.200,0.285
108.400,0.297
108.600,0.314
108.800,0.314
109.001,0.312
109.200,0.291
109.400,0.291
109.600,0.284
109.800,0.301
110.000,0.295
110.200,0.309
110.400,0.318
110.600,0.301
110.800,0.291
111.000,0.305
111.200,0.295
111.400,0.302
111.600,0.322
111.800,0.326
112.000,0.313
112.200,0.319
112.400,0.309
112.600,0.314
112.800,0.309
113.000,0.291
113.200,0.304
113.400,0.315
113.600,0.323
113.800,0.325
114.000,0.299
114.200,0.303
114.400,0.293
114.600,0.311
114.800,0.321
115.000,0.307
115.200,0.319
115.400,0.289
115.600,0.303
115.800,0.305
116.000,0.315
116.200,0.315
116.400,0.297
116.600,0.297
116.800,0.304
117.000,0.297
117.200,0.323
117.400,0.308
117.600,0.318
117.800,0.311
118.000,0.310
118.200,0.308
118.400,0.305
118.600,0.300
118.800,0.321
119.000,0.303
119.200,0.315
119.400,0.331
119.600,0.315
119.800,0.327
120.000,0.304
120.200,0.310
120.400,0.307
120.600,0.297
120.800,0.311
121.000,0.301
121.200,0.296
121.400,0.309
121.600,0.295
121.800,0.318
122.000,0.307
122.200,0.304
122.400,0.293
122.600,0.288
122.800,0.313
123.000,0.311
123.200,0.310
123.400,0.312
123.600,0.295
123.800,0.303
124.000,0.293
124.200,0.301
124.400,0.290
124.600,0.322
124.800,0.307
125.000,0.295
125.200,0.325
125.400,0.322
125.600,0.327
125.800,0.306
126.000,0.317
126.200,0.325
126.400,0.312
126.600,0.320
126.800,0.296
127.000,0.317
127.201,0.321
127.400,0.316
127.600,0.331
127.800,0.324
128.000,0.319
128.200,0.319
128.400,0.313
128.600,0.328
128.800,0.316
129.000,0.302
129.200,0.332
129.400,0.327
129.600,0.318
129.800,0.324
130.000,0.308
130.200,0.303
130.400,0.308
130.600,0.317
130.800,0.316
131.000,0.315
131.200,0.315
131.400,0.319
131.600,0.318
131.800,0.305
132.000,0.303
132.200,0.313
132.400,0.306
132.600,0.304
132.800,0.297
133.000,0.310
133.200,0.289
133.400,0.292
133.600,0.299
133.800,0.307
134.000,0.318
134.200,0.279
134.400,0.297
134.600,0.297
134.800,0.321
135.000,0.295
135.200,0.319
135.400,0.305
135.600,0.300
135.800,0.314
136.000,0.290
136.200,0.297
136.400,0.303
136.600,0.290
136.800,0.305
137.000,0.289
137.200,0.294
137.400,0.299
137.600,0.295
137.800,0.323
138.000,0.321
138.200,0.316
138.400,0.313
138.600,0.308
138.800,0.304
139.000,0.326
139.200,0.321
139.400,0.304
139.600,0.299
139.800,0.287
140.000,0.297
140.200,0.276
140.400,0.289
140.600,0.308
140.800,0.317
141.000,0.312
141.200,0.294
141.400,0.320
141.600,0.312
141.800,0.303
142.000,0.326
142.200,0.291
142.400,0.297
142.600,0.280
142.800,0.290
143.000,0.287
143.200,0.290
143.400,0.295
143.600,0.316
143.800,0.310
144.000,0.316
144.200,0.313
144.400,0.294
144.600,0.285
144.800,0.296
145.000,0.284
145.200,0.299
145.400,0.311
145.600,0.290
145.801,0.307
146.000,0.319
146.200,0.318
146.400,0.337
146.600,0.320
146.800,0.320
147.000,0.305
147.200,0.329
147.401,0.328
147.601,0.303
147.800,0.323
148.000,0.315
148.200,0.310
148.400,0.314
148.600,0.307
148.800,0.327
149.000,0.322
149.200,0.317
149.400,0.321
149.600,0.297
149.800,0.288
150.000,0.311
150.200,0.304
150.400,0.298
150.600,0.299
150.800,0.299
151.000,0.318
151.201,0.321
151.400,0.297
151.600,0.312
151.800,0.310
152.000,0.286
152.200,0.308
152.400,0.295
152.600,0.341
152.800,0.313
153.000,0.306
153.200,0.308
153.400,0.307
153.600,0.323
153.800,0.315
154.000,0.301
154.200,0.292
154.400,0.299
154.600,0.299
154.800,0.319
155.000,0.293
155.200,0.296
155.401,0.296
155.600,0.317
155.800,0.309
156.000,0.326
156.200,0.326
156.400,0.312
156.600,0.297
156.800,0.310
157.000,0.292
157.200,0.298
157.400,0.290
157.600,0.304
157.800,0.299
158.000,0.294
158.200,0.285
158.400,0.294
158.600,0.315
158.800,0.332
159.000,0.297
159.200,0.299
159.400,0.289
159.600,0.294
159.800,0.287
160.000,0.300
160.200,0.290
160.400,0.322
160.600,0.312
160.800,0.318
161.000,0.328
161.200,0.310
161.400,0.317
161.600,0.313
161.800,0.301
162.000,0.318
162.200,0.299
162.400,0.312
162.600,0.315
162.800,0.310
163.000,0.316
163.200,0.307
163.400,0.306
163.600,0.315
163.800,0.299
164.000,0.316
164.200,0.299
164.400,0.304
164.600,0.316
164.801,0.293
165.000,0.302
165.200,0.296
165.400,0.299
165.600,0.284
165.800,0.293
166.000,0.315
166.200,0.311
166.400,0.317
166.600,0.311
166.800,0.290
167.000,0.300
167.200,0.300
167.400,0.306
167.600,0.330
167.800,0.291
168.000,0.319
168.200,0.304
168.400,0.306
168.600,0.321
168.800,0.336
169.000,0.321
169.200,0.321
169.400,0.314
169.600,0.297
169.800,0.299
170.000,0.289
170.200,0.299
170.400,0.317
170.600,0.295
170.800,0.304
