Time,Chi_r
0.201,0.081
0.400,0.218
0.600,0.259
0.800,0.296
1.000,0.279
1.200,0.268
1.400,0.304
1.600,0.332
1.800,0.287
2.000,0.307
2.200,0.290
2.400,0.302
2.600,0.341
2.800,0.318
3.000,0.309
3.200,0.315
3.400,0.311
3.600,0.319
3.800,0.298
4.000,0.302
4.200,0.320
4.400,0.328
4.600,0.291
4.800,0.299
5.000,0.302
5.200,0.307
5.400,0.314
5.600,0.295
5.800,0.307
6.000,0.308
6.200,0.308
6.400,0.325
6.600,0.317
6.800,0.316
7.000,0.328
7.200,0.297
7.400,0.334
7.600,0.314
7.800,0.316
8.000,0.330
8.200,0.327
8.400,0.322
8.600,0.352
8.800,0.318
9.000,0.317
9.200,0.306
9.400,0.326
9.600,0.299
9.800,0.310
10.000,0.302
10.200,0.313
10.400,0.328
10.600,0.300
10.801,0.304
11.000,0.306
11.200,0.292
11.400,0.319
11.600,0.344
11.800,0.299
12.000,0.296
12.200,0.310
12.400,0.294
12.600,0.298
12.800,0.328
13.000,0.311
13.200,0.313
13.400,0.310
13.600,0.317
13.800,0.313
14.000,0.320
14.200,0.317
14.400,0.323
14.600,0.319
14.800,0.317
15.000,0.319
15.200,0.350
15.400,0.301
15.600,0.308
15.800,0.299
16.000,0.310
16.200,0.311
16.400,0.314
16.600,0.313
16.800,0.313
17.000,0.326
17.200,0.308
17.400,0.321
17.601,0.324
17.800,0.316
18.000,0.327
18.200,0.317
18.400,0.317
18.600,0.297
18.800,0.296
19.000,0.299
19.200,0.318
19.400,0.313
19.600,0.322
19.800,0.310
20.000,0.307
20.200,0.326
20.400,0.301
20.600,0.302
20.800,0.297
21.000,0.304
21.200,0.309
21.400,0.305
21.600,0.298
21.800,0.313
22.000,0.313
22.200,0.308
22.400,0.315
22.600,0.295
22.800,0.311
23.000,0.314
23.200,0.309
23.400,0.326
23.600,0.316
23.800,0.326
24.000,0.330
24.200,0.300
24.400,0.306
24.600,0.308
24.800,0.309
25.000,0.302
25.200,0.308
25.400,0.313
25.600,0.322
25.800,0.317
26.001,0.306
26.200,0.303
26.400,0.319
26.600,0.309
26.800,0.313
27.000,0.301
27.200,0.291
27.400,0.333
27.600,0.318
27.800,0.316
28.000,0.331
28.200,0.324
28.400,0.314
28.600,0.337
28.800,0.312
29.000,0.337
29.200,0.327
29.400,0.323
29.600,0.311
29.800,0.312
30.000,0.317
30.200,0.312
30.400,0.286
30.600,0.295
30.800,0.293
31.000,0.288
31.200,0.292
31.400,0.309
31.600,0.279
31.800,0.343
32.000,0.322
32.200,0.317
32.400,0.301
32.600,0.320
32.800,0.313
33.000,0.317
33.200,0.316
33.400,0.291
33.600,0.317
33.800,0.290
34.001,0.299
34.200,0.330
34.400,0.325
34.600,0.317
34.800,0.298
35.000,0.301
35.200,0.309
35.400,0.313
35.600,0.321
35.800,0.300
36.000,0.301
36.200,0.296
36.400,0.298
36.600,0.293
36.801,0.301
37.000,0.293
37.200,0.288
37.400,0.297
37.600,0.301
37.800,0.317
38.000,0.312
38.200,0.305
38.400,0.319
38.601,0.314
38.800,0.320
39.000,0.312
39.200,0.315
39.400,0.327
39.600,0.310
39.801,0.311
40.000,0.309
40.200,0.301
40.400,0.308
40.600,0.312
40.801,0.302
41.000,0.323
41.200,0.292
41.400,0.340
41.600,0.345
41.800,0.292
42.000,0.299
42.200,0.321
42.400,0.318
42.600,0.332
42.800,0.320
43.000,0.318
43.200,0.324
43.400,0.325
43.600,0.325
43.800,0.309
44.000,0.302
44.200,0.310
44.400,0.309
44.600,0.294
44.800,0.298
45.000,0.297
45.200,0.309
45.400,0.300
45.600,0.319
45.800,0.324
46.000,0.311
46.200,0.311
46.400,0.300
46.600,0.321
46.800,0.317
47.000,0.313
47.200,0.336
47.400,0.313
47.600,0.323
47.800,0.312
48.000,0.318
48.200,0.319
48.400,0.292
48.600,0.317
48.800,0.330
49.000,0.314
49.200,0.316
49.400,0.290
49.600,0.322
49.800,0.327
50.000,0.306
50.200,0.313
50.400,0.320
50.600,0.326
50.800,0.308
51.000,0.321
51.200,0.311
51.400,0.313
51.600,0.291
51.800,0.318
52.000,0.302
52.200,0.331
52.400,0.318
52.600,0.320
52.800,0.323
53.000,0.302
53.200,0.314
53.400,0.308
53.600,0.313
53.800,0.327
54.000,0.314
54.200,0.322
54.400,0.315
54.600,0.294
54.800,0.309
55.000,0.309
55.200,0.314
55.400,0.328
55.600,0.319
55.800,0.313
56.000,0.323
56.200,0.301
56.400,0.298
56.600,0.299
56.800,0.305
57.000,0.319
57.200,0.299
57.400,0.306
57.600,0.326
57.800,0.298
58.000,0.325
58.200,0.315
58.400,0.342
58.600,0.310
58.800,0.316
59.000,0.292
59.200,0.308
59.400,0.312
59.600,0.307
59.800,0.304
60.000,0.288
60.200,0.321
60.400,0.306
60.600,0.325
60.800,0.331
61.000,0.304
61.200,0.337
61.400,0.333
61.600,0.307
61.800,0.317
62.000,0.320
62.200,0.307
62.400,0.322
62.600,0.302
62.800,0.316
63.000,0.310
63.200,0.329
63.400,0.308
63.600,0.316
63.800,0.324
64.000,0.319
64.200,0.304
64.400,0.303
64.600,0.308
64.800,0.315
65.000,0.311
65.200,0.316
65.400,0.318
65.600,0.293
65.800,0.292
66.000,0.305
66.201,0.298
66.400,0.302
66.600,0.321
66.800,0.306
67.000,0.318
67.200,0.303
67.400,0.289
67.600,0.318
67.800,0.310
68.000,0.291
68.200,0.308
68.400,0.297
68.600,0.311
68.800,0.315
69.000,0.302
69.200,0.312
69.400,0.293
69.600,0.302
69.800,0.294
70.000,0.281
70.200,0.287
70.400,0.289
70.600,0.291
70.800,0.290
71.000,0.296
71.200,0.299
71.400,0.298
71.600,0.325
71.801,0.321
72.000,0.320
72.200,0.294
72.400,0.290
72.600,0.292
72.800,0.316
73.000,0.314
73.200,0.316
73.400,0.307
73.600,0.300
73.800,0.294
74.000,0.285
74.200,0.303
74.400,0.313
74.600,0.323
74.800,0.286
75.000,0.320
75.200,0.295
75.400,0.291
75.600,0.298
75.800,0.306
76.000,0.316
76.200,0.307
76.400,0.309
76.600,0.329
76.800,0.300
77.000,0.298
77.200,0.294
77.400,0.303
77.600,0.290
77.800,0.303
78.000,0.291
78.200,0.294
78.400,0.300
78.600,0.300
78.800,0.298
79.000,0.296
79.200,0.309
79.400,0.297
