z-position,avgTimeRange_2.4,avgTimeRange_7.1,avgTimeRange_12.0,avgTimeRange_16.7,avgTimeRange_21.4,avgTimeRange_26.2,avgTimeRange_30.9,avgTimeRange_35.6,avgTimeRange_40.4,avgTimeRange_45.2,avgTimeRange_49.9,avgTimeRange_54.7,avgTimeRange_59.4,avgTimeRange_64.2,avgTimeRange_69.1,avgTimeRange_73.8,avgTimeRange_78.6,avgTimeRange_83.4,avgTimeRange_88.1,avgTimeRange_92.9,avgTimeRange_97.7,avgTimeRange_102.5,avgTimeRange_107.3,avgTimeRange_112.2,avgTimeRange_116.9,avgTimeRange_121.7,avgTimeRange_126.5,avgTimeRange_131.3,avgTimeRange_136.1,avgTimeRange_140.7,avgTimeRange_145.4,avgTimeRange_150.0,avgTimeRange_154.7,avgTimeRange_159.3,avgTimeRange_164.0,avgTimeRange_168.7,avgTimeRange_173.5,avgTimeRange_178.2,avgTimeRange_182.8,avgTimeRange_187.6,avgTimeRange_192.2,avgTimeRange_196.9
0.1016,168.28332082766067,139.32779344842092,140.25095678311288,150.77443970432924,158.9120012488518,173.33995659439748,174.8497894345685,168.170367080776,174.11654567293073,169.69931114328804,166.72980596779243,166.23607273913748,165.60614939536813,163.68388044692958,163.68646772173273,162.3071300884621,162.0438246168591,160.0686417620804,160.22309273539128,161.68723362733684,161.52768474457164,161.45286568751558,161.0592975589666,157.9568090930609,157.0543255950468,154.87309894539044,153.29872334254483,153.29827596284287,155.7281314004926,155.8122343900727,154.9472066764642,154.3383969988699,153.54911572425735,156.6111718734369,155.73821643222473,155.13363490679254,155.28716191308345,155.66290724985686,155.5678937020228,155.78737502563274,156.45437683283942,156.1892502047625
0.127,197.39253151496126,162.9679974291389,161.34135861233904,169.00747656322642,176.0003394033249,190.70227777718117,191.31090408468458,185.0326532638598,188.40970541103394,184.280724559392,180.96660460757317,178.40094411650404,178.97313680195123,176.3996389098402,177.03897332277805,175.67442042317327,174.18843085158414,173.1206894877785,172.77095348967123,175.05012464986925,175.24558331660978,175.32609236415018,175.6415175237218,172.39447857509654,171.60296453788328,169.74519294552584,168.68547775267484,168.07348675200996,170.53211409588488,170.60645245455692,169.37003218776758,168.7024783718198,167.93525969944724,170.73791409752766,169.86221945881135,169.19472181807222,169.58791670844832,169.7964590523526,169.48913867409138,169.378485146647,170.11283190861818,170.10665438174829
0.1524,200.73872229125396,158.95620457419236,161.97740765614824,157.42609309898313,165.23024507441457,186.26579283852504,187.50898694658537,183.1397775356361,186.84835503642552,183.5180244607222,180.9354033800191,178.6843905900942,181.5231239166647,178.25194245037832,177.97440797739094,177.43680887172218,175.24978115221413,173.84949061906525,173.49589049588045,177.94043130141023,178.70102501174034,177.85435384632456,177.1171899726741,173.75097333314685,174.11717847372327,172.06509209768473,170.97431142356083,170.35232614392643,173.03422663980115,173.94077554018435,172.91485766161378,172.27012584097935,172.5140486042364,175.27785832236287,173.77631583315366,172.40113636240562,173.33496234980896,173.05033859244116,172.42002497041318,171.43873636725485,172.18319224762598,172.5942750518329
0.1778,171.29739528745617,138.58459629966077,149.89426572806863,148.37133981543576,155.05672695649483,176.3602918882294,178.75758995394256,172.5600814721928,178.18941309069425,173.91637782161573,171.47903364242507,170.3620963107125,171.75078662952524,168.80761611481887,167.92129128890622,167.87976079668258,166.69295652376,164.46705793683307,164.52622138420662,168.4042317976243,168.6579464532765,167.6043322823546,166.20047004682007,162.9566748765506,163.4329318038243,161.21355786797744,159.90147929524284,159.89953260830774,162.8030817276569,164.09960850250863,163.31362957788005,162.68143476962234,163.04408332561118,165.98498233659953,164.33417302366973,163.04006932031007,163.7224987424986,163.4690977889061,162.9025815305305,162.00991522044612,162.53684009740576,162.5455903050261
0.2032,176.70918922043086,153.39857417659505,161.81318001625112,168.24258324257588,175.88268296979098,190.6687553453669,191.84646418027495,184.9311051006858,189.78367792761685,185.2045055958326,181.8839862567774,182.69525525747716,181.32656509354976,178.80117596284396,178.80794366106005,178.63085916486708,177.89045628348012,176.36765118129077,175.90710826024787,177.50554583963552,177.6951322565338,177.2402118758123,176.2673029961166,173.12366642637122,172.6731230971172,170.1437845740072,168.787682560803,168.84310724678673,172.2893312077378,172.24275546340778,171.36145388226413,171.02283961832876,170.55887182191648,173.28610050389105,172.01528703377133,171.2080974278576,171.04184532095695,171.48626832671766,170.94438005996054,170.3758233409548,170.41279857726505,170.12925613787885
0.254,69.37305516350929,113.92916088219583,127.26015487479428,134.10007546566604,143.53718853237615,153.79781031085986,147.2964159513548,146.7151144600901,148.7867252600574,148.79399626824468,150.6175549004519,145.85668721685522,144.9044141091331,149.5306032944299,146.9463103173733,144.93877884652417,144.92663445170797,145.53440594048107,145.43750103662904,148.22514571763762,146.33517396080842,145.13495477485463,145.85187453215792,146.44858655987338,147.20150877200606,147.1877685478373,146.6995059040251,147.39453644536354,148.77826988120984,148.06076482947245,148.48351785742972,148.73854901369054,147.85230767271827,147.94603796544015,148.87148203013177,148.88892907104076,150.4093306113597,149.44891054565113,149.59392000823124,150.17711020105875,150.60695866063188,149.68610249746547
0.3048,65.68909878987822,111.27564106733834,134.91500370869963,132.06397110471204,144.52180402416047,153.9060173812497,152.95559659679256,149.89754724124782,153.01389845499835,151.29573683838535,151.8929945329388,148.84502705145314,145.44750997493702,145.45880927322233,143.6731365395805,145.86876706170926,145.50126793103738,146.854127895025,146.40947087023443,148.375741530768,149.04962007477562,146.9539117791092,146.19638086896597,145.3515599533224,146.87037928146358,145.7486280976425,146.0004779570005,146.94628541317428,149.79584303022867,149.97570162869297,149.77887075452105,150.02927994803449,149.02425086464396,149.3005171178933,149.14632390223488,149.2579335885683,150.37639041582185,149.80779955538273,149.4815762397021,149.8654687153141,150.3885544386854,150.18203122228485
0.3556,77.94459873620676,123.38180490542558,137.43966858889485,141.89027060605804,152.15148331118493,162.96778664617125,159.38245850803443,155.72174550354245,160.8275379858172,159.99205204738982,160.18042804305233,154.97201329866752,152.3000187731347,153.6034494428471,150.43877338510939,148.47013236767677,148.51815785253015,149.04543262744025,148.69391662662267,149.9523663237213,149.5401686768992,147.82054231417587,147.6300485688806,147.98685120805047,149.13700191530228,148.58596087270405,148.45418240429518,149.31552870847156,151.8423626518052,152.05080499684814,151.9700953123851,152.56087962447168,151.32721433278775,151.27830617378046,151.52527525182504,152.01045256994976,153.55500791139968,153.21473987958356,153.31757810549897,154.33898532540567,155.43677042086853,154.3214458529312
0.4064,72.8679919871889,100.48521020969967,125.89583343297508,128.59314220576832,137.93164092703262,145.62308637270633,148.72233705479678,145.21879221226126,151.66180837804777,150.13584589038027,150.7247883487685,146.02256031870186,143.7292341996929,145.50992857990295,143.9683760265624,144.0499366811566,144.0481287744885,144.0572178444858,143.74228104399324,145.5161677382523,145.34147652426705,143.870519185693,143.5238156322,143.04327481799717,144.2822701819801,143.9515995519118,143.69094621383513,144.7147746066794,146.9336283340846,147.4650561672671,147.46884001321692,148.03192818568127,146.84394671694372,146.48441940709526,146.24006514836273,147.87633106829952,149.39778712281583,149.38553954780198,149.44269499566022,151.01168468727514,151.89800723785223,151.1734320711621
0.4572,59.24588459847234,110.323563923179,123.26243124662582,124.77445948506842,131.3536059727865,141.69622304092502,144.8737451503498,140.66102939530006,151.63831397922098,149.4966960478329,149.0491846707773,144.36447943773462,142.6861271299665,143.37960099752073,140.69707334584115,138.91887919055128,139.46886841047902,139.33619115422982,139.77362196364902,140.272185148472,140.27543303877988,138.99024651605413,138.51466360680317,138.45087697868956,139.8008531167566,139.69019587067038,139.02714769813724,140.2118174330698,141.98254250756713,142.97523803210467,142.74253651385914,144.32697982317052,143.16188978503934,142.44943085686938,142.02175586665172,143.84090777606576,145.21766855935496,145.32214414834849,145.60640655078623,147.75603013716346,149.28604820013177,148.2880546267709
