y-position,avgTimeRange_2.4,avgTimeRange_7.2,avgTimeRange_12.0,avgTimeRange_16.8,avgTimeRange_21.5,avgTimeRange_26.2,avgTimeRange_31.0,avgTimeRange_35.7,avgTimeRange_40.4,avgTimeRange_45.1,avgTimeRange_49.8,avgTimeRange_54.5,avgTimeRange_59.3,avgTimeRange_64.1,avgTimeRange_68.7,avgTimeRange_73.4,avgTimeRange_78.1,avgTimeRange_83.0,avgTimeRange_87.7,avgTimeRange_92.5,avgTimeRange_97.4,avgTimeRange_102.2,avgTimeRange_107.0,avgTimeRange_111.8,avgTimeRange_116.6,avgTimeRange_121.3,avgTimeRange_126.0,avgTimeRange_130.7,avgTimeRange_135.5,avgTimeRange_140.2,avgTimeRange_144.9,avgTimeRange_149.8,avgTimeRange_154.5,avgTimeRange_159.1,avgTimeRange_163.9,avgTimeRange_168.6,avgTimeRange_173.3,avgTimeRange_178.0,avgTimeRange_182.8,avgTimeRange_187.4,avgTimeRange_192.2
-0.6,195.87675315,199.17276859,200.1255235812,200.17505111514285,200.82831072466666,200.68636090290906,201.484129828,201.621600866,202.09473027388233,202.26142763084212,201.99469856,201.8710004163478,202.41228892336,202.4190336322222,202.02018408165517,202.7387084644516,202.9663912401212,203.38081445714286,203.20934269016215,203.40119018687182,203.43220660765854,203.3436770996279,203.4729016867556,203.4048656538723,203.30181660975515,203.05665864196078,202.9441825333585,203.01812250130905,203.36551657126316,203.30900335118636,203.42377193442624,203.62511076711112,203.74962708227693,203.6136542224777,203.6682837508406,203.71099058453524,203.80911660816437,203.81335350274665,203.88238584615593,203.95462458344306,204.02195393192588
-0.55,228.58673632199998,233.7245243046667,234.38660813279998,234.44448285885713,234.820290416,234.68178709563634,235.8012368835385,236.41886456226666,236.8346133810588,237.01217152642107,236.88972011619046,236.62994335599996,237.22720441559994,237.18271455148147,236.83483811268965,238.25072720632255,238.4705407470909,239.13877949137142,238.8441734665405,239.16034367430768,239.14762068975605,238.98520507562787,238.93055641551115,238.99958348936173,239.00034753436736,238.72554193517647,238.57293899501886,238.7632740076727,239.18511733912283,239.15646089505083,239.27325027386894,239.53512229498406,239.68031886618462,239.47044289197015,239.5396902022319,239.637940188479,239.77383970473971,239.85130144461334,240.0389331371688,240.32012617012666,240.30347374975307
-0.5,257.791153152,269.25140652933334,270.070215652,270.0020987534286,270.1874571755556,269.2509896418182,270.60156467292313,271.73994720133334,272.3183102078824,272.5836818084211,272.56489041971435,272.18413454704347,272.74142377848,272.85875485577776,272.79291607117244,275.1517827084516,275.36683368812123,276.32028113091434,276.0033659543243,276.3880520424616,276.2496723998537,275.8097527318605,275.26307388537776,275.4753633977447,275.6571095443673,275.5211181274902,275.3033873531321,275.7530131373455,276.3399000092281,276.5215169866441,276.72928283114754,277.0328690553651,277.3915425314154,277.12843088408954,277.1913907237392,277.5107545548169,277.86738662010964,278.0617455083733,278.4859841574026,279.154026371038,279.0189051982962
-0.45,258.874460778,280.2010075886667,282.50543313320003,281.78126401085717,282.43841612555553,279.60767141272726,280.99085270138465,282.17170100453325,283.4196549548235,284.0006426802106,283.8993414665714,283.7189288942609,284.18145624344004,284.8024646713334,285.3007693325517,288.10343848032255,288.3520896411515,289.29526999371427,289.15229945562163,289.38760383517956,289.0079051977561,288.0732722176744,286.8636712784,287.044762450383,287.42432046600004,287.6785253437254,287.36898222290563,288.1363420952364,288.96211786442103,289.5803846255933,290.0501652087213,290.31867748892057,291.16954800901544,290.9699904160298,291.0275422553913,291.7443613223099,292.5590873939726,292.8581527347466,293.5327470319221,294.6025007826836,294.4283743745679
-0.4,226.154663344,256.25125864813333,261.81791778928,259.8978360289143,261.7340441318222,256.6945757061818,258.11335371353846,258.529716032,260.8019980301412,261.8589200970737,261.3998451969333,261.814478798687,262.326441691208,263.495845943526,264.4597733687517,266.69830158485803,267.06883705702427,267.7047669251372,267.84373311285947,267.75244417640516,267.10186194355606,265.65259257496285,264.0517169976711,263.92000091998295,264.4077011122327,265.10266652963537,264.6503985403471,265.5644699824073,266.64293485060347,267.6976057850576,268.51320328270486,268.7018133581904,270.1383390740431,270.10017271059405,270.1830937019565,271.30101950236343,272.6299901766712,272.940892695888,273.70865178334543,274.91563863402024,274.89374072125685
-0.35,152.75600466839998,183.5889930944667,192.63848324032,189.5387580763714,192.33077113066668,186.6686092454,188.1187044856,187.19248872774665,190.2988959507529,191.5353517008,190.64867308686667,191.64445683263477,192.60209000357597,193.8527800938667,194.51658378696555,195.34829882536772,195.9036129831273,196.1267480128743,196.3728593506703,195.9392479747077,195.20773066255117,193.67656343774414,192.51757402072894,191.93515214594044,192.29693979600006,193.0456799432588,192.44970866473207,193.0918497307455,194.27614796996488,195.2899057072779,196.2669016576459,196.44282546104134,198.15100534658154,198.23391490132838,198.3976247254059,199.59761958563664,201.0935778104109,201.2424954920534,201.76776557433763,202.59074993994176,202.91433745905925
-0.3,113.68497699939999,135.3975171744,143.20520713992,140.4942679796286,143.4500351818,140.42689142849093,141.6176515920923,140.62344209474668,143.44576045769412,144.4314994592421,143.75762404597145,144.57288519690434,146.26147204772803,147.13307260922224,146.94957499813103,147.2220323688,147.87356922651514,147.82893305573143,147.56627857960004,146.9403846619282,146.4451577916927,145.63462317286977,145.53834456205777,145.00317449769787,144.9739438938898,145.12319547870584,144.55995966045285,144.83636285542906,145.86554767035787,146.2862101242203,147.2211998272098,147.53674415733965,148.9454886478954,148.96085539921793,149.33664370067243,150.1442062981972,151.1913727013589,151.148893888856,151.2583996820805,151.58684267942783,152.0542816903408
-0.25,176.63439694,188.88038772466666,191.8017888648,190.41884266228573,193.96094288155555,194.89546368218186,195.81502830384613,196.38541639986667,197.9657985983529,198.85858870968423,199.01332911152383,199.26802825513045,201.84973127240002,202.2734743631852,201.31035274241378,202.28336918322577,202.9890232156364,202.95965329862858,201.5044171178432,200.48607291277432,200.15234464585856,200.41968073056282,201.37618235529337,201.2906690365873,200.72476481011427,199.95718236489412,199.4826937865208,199.7178072349382,200.68222249153683,200.48810529226438,201.51619228081313,202.08190950393015,203.07678595227074,202.88556423620298,203.5607647701101,203.94491181393798,204.4395259590082,204.30679305711473,204.11925446074815,204.22735030607083,204.56289442288394
-0.2,545.1375352,550.8729304586666,544.2615829596,545.7889368294286,547.4121159473334,550.9742266412727,551.6448468975385,555.5542954570666,554.1368616797647,553.7842094777895,555.148587485619,553.9765313713044,555.6719259613601,555.4512506825184,554.4107653271724,558.9909550403227,559.6294008832122,560.9382567074858,558.1315471976214,557.092556061641,556.8776951260487,557.6459857226046,558.1182585883112,558.9632790242129,558.3193678594694,556.7879726792158,556.8497541055849,557.7227676011637,558.7783663704913,558.3401958269493,559.201276570295,559.6923263026983,559.8138563156308,559.0141624957612,559.5522530207827,559.7322856436056,559.8406336027125,560.05071153904,560.6894035942598,561.1308101428862,560.8978864809382
-0.15,751.525303682,771.2794460360001,773.3056361136,774.4523462157142,773.566242979111,766.6934314358183,769.2936990272308,770.1354840798667,770.665144290353,771.1570590713684,770.6252738439049,769.9157672147826,767.8753313604801,769.6447764921481,771.8622595853793,776.7473546707741,777.3951699306668,779.238300800057,779.842078789027,780.5796144853335,781.009370921756,779.1874386968833,776.3424757230667,776.6645110648936,777.4539093781633,778.3454182749801,778.5673080556226,779.4292692199274,780.0394187895089,781.5559404175932,782.4542209966884,782.3088202843174,782.8794326390768,782.5555065065074,782.1511594106955,783.1615960104224,784.1723503350687,784.8997618309863,786.935196415195,788.4681877650887,788.2480444634073
