z-position,avgTimeRange_2.3,avgTimeRange_7.0,avgTimeRange_11.7,avgTimeRange_16.4,avgTimeRange_21.1,avgTimeRange_25.9,avgTimeRange_30.6,avgTimeRange_35.4,avgTimeRange_40.2,avgTimeRange_44.9,avgTimeRange_49.5,avgTimeRange_54.2,avgTimeRange_58.9,avgTimeRange_63.7,avgTimeRange_68.3,avgTimeRange_73.1,avgTimeRange_77.8,avgTimeRange_82.6,avgTimeRange_87.3,avgTimeRange_92.0,avgTimeRange_96.7,avgTimeRange_101.5,avgTimeRange_106.2,avgTimeRange_111.0,avgTimeRange_115.8,avgTimeRange_120.6,avgTimeRange_125.3,avgTimeRange_130.1,avgTimeRange_134.8,avgTimeRange_139.5,avgTimeRange_144.3,avgTimeRange_149.1,avgTimeRange_153.8,avgTimeRange_158.6,avgTimeRange_163.5,avgTimeRange_168.2,avgTimeRange_172.8,avgTimeRange_177.4,avgTimeRange_182.1,avgTimeRange_186.8,avgTimeRange_191.5,avgTimeRange_196.2
0.1016,246.5398151,234.86412986933334,229.6392007928,230.89807029714285,227.30375469288893,220.7103306181818,216.63696204892304,217.98209994533335,220.12982455388234,217.4773692983158,214.57575735999998,213.63042427321741,211.46373485495997,210.96281332185185,209.22235154986205,209.81770550458066,211.83915462721208,212.28497870691427,211.25520003529732,210.31825987687176,210.8433455692195,211.09629243576742,211.29766192848888,210.53792271902128,210.94063707677552,210.9512985594902,211.30845556622637,211.2840877824364,211.66538172396497,210.86319529515254,211.46354402213115,212.94735028733334,212.6843555035385,212.98055187107462,213.88379184513047,214.33724419974644,213.4742730725206,213.07743322589337,212.88588499633764,213.09798024711395,212.38060128501235,211.89600948715665
0.127,232.313499254,219.39398392466666,213.22836307080001,213.93140530742858,210.37054530022223,203.5602509583636,199.4069009523077,200.98497981466664,203.05199118611765,200.15126461442105,196.91610999723812,195.9093945124348,193.84311888664,193.3923851860741,191.4899544970345,192.1500456622581,194.1695250233333,194.50995176017145,193.23229895113516,192.3378939972821,192.9110487791707,193.16560433372092,193.34976001075555,192.65418463242563,193.06858665187758,193.09037119305884,193.52176057037732,193.4701978376727,193.95673282403507,193.18426718525424,193.8984181157049,195.51501559774601,195.27474370196927,195.52827843202985,196.4296606402029,196.8210439748056,195.8792664790958,195.4641747585067,195.25042076101303,195.47083823351895,194.68840588046916,194.2659679959759
0.1524,204.86859657,192.00835127933334,184.886181294,185.48223093885716,182.4625958451111,175.6375801509091,171.2361638333846,173.15051910693336,174.96634686694122,171.94996103210525,168.37468844495237,167.6512294796522,165.75016549543997,165.2916017191852,163.28162464427587,164.09953818690326,166.07390335284848,166.2369948514286,164.7018801834054,163.89765895148716,164.48766659790238,164.83043808172096,165.02060618666664,164.4789417469362,164.83971316534698,164.95634903572548,165.43308157690566,165.40214970068368,165.93232781659648,165.20357678989836,166.01037110777705,167.81739202968257,167.60012997461538,167.78721967605966,168.6575929262029,168.90356719708168,167.88990413663012,167.47760642122668,167.21743205231172,167.41426755384808,166.51591284009876,166.2914160277831
0.1778,194.32817567000004,183.49001838533331,176.4141276472,177.52095830457142,175.18665052822223,168.39908151254545,163.82211996704615,165.8598278332,167.49079647390587,164.5574764513684,160.9278036057143,160.49731359582609,158.59756316824001,158.05824914281482,156.09797314111728,157.07405150399995,159.08624848407274,159.19185784662855,157.6358140924865,156.84817749314868,157.41162905326829,157.8599742951163,158.0795012276,157.6090426102128,157.92148961587756,158.10080664325488,158.5597166658491,158.5784767308437,159.04341968863156,158.30098199271194,159.07672192258357,160.9728587235556,160.73490509599998,160.8977480782149,161.77514736811597,161.95084910279996,160.92980718038356,160.5260212710933,160.21932560506497,160.38979083612662,159.41838470558028,159.3144381313735
0.2032,195.738405986,188.68560664706663,182.24784925520004,184.86455667942857,183.31871070622222,176.1808161645455,171.2966230124923,173.21326765013336,174.67819679388236,171.8738945073053,168.32630618038095,168.23221270539133,166.06117862144,165.36346425251853,163.59426131903453,164.84010677916132,167.09712091163638,167.2841741669714,165.89246705243244,165.0384710496821,165.54795504263413,166.17438592232557,166.44455962275552,165.9985266454894,166.25072587787756,166.44179531262748,166.85299155630193,166.97249883705456,167.24686814196497,166.36375334928817,167.01199441521308,168.9635854204127,168.6465493044923,168.8569168697612,169.81917563594212,170.00014023769012,169.0115130001644,168.62177262088,168.2472477861351,168.4128209723797,167.38333402844444,167.32028640850606
0.254,228.88613870400005,222.83346391800004,215.96995578640002,220.67813370314283,218.01799391466668,209.90723139399998,205.08451768907693,206.73480275717333,208.21454377305884,205.10044799421053,201.767905216,201.7849178529565,198.9062202464,198.24526346207404,196.72954611358617,198.22256788161292,200.9243200840606,201.2911627653714,200.16457991589186,199.08810401666668,199.5466886631219,200.26063926051162,200.58808023168888,200.14491284923412,200.4029249596735,200.35136334701963,200.78967770871694,201.0453212192,201.17392213505272,199.98359216338983,200.59335160157372,202.5059775854286,202.05617153904618,202.4671928211045,203.57005045440582,203.85379877084506,202.85888438583564,202.49883667930666,202.1079213258701,202.43892199617719,201.39029865614813,201.09230580824095
0.3048,241.03631562200002,231.96992397000002,224.21820302440003,227.90811945857146,224.53605176511113,216.65449200890907,211.70399416169232,213.37184878373336,214.98954712776475,211.5869519577895,208.41754105257144,208.09194149634783,205.38507505055998,205.16196295970371,203.40639282,204.98860537651615,207.6643509389091,207.8704798120572,206.3531494764865,205.2440782988205,205.7000317667317,206.4786370080465,206.76906004720007,206.5228864589787,206.85833182420404,206.7283452331765,207.3181449746038,207.54311424963632,207.8660964736491,206.79114720155928,207.57047040222957,209.62823598126994,209.21349902553843,209.6104366930149,210.69161864199998,210.9264972045916,209.80949062734243,209.43018690381334,209.0263468914286,209.46534256473421,208.41148738530867,208.07520426062658
0.3556,214.10584442799998,207.57765708399998,200.18507662000002,202.76709864085714,202.12052578044447,195.04266843090906,189.79346157446153,191.70636129826667,192.9876427087059,189.67142168705263,186.42751577228574,186.6536654216522,184.45613878031998,184.16577734444442,182.23797852830342,183.90370881045158,186.43747072859392,186.55900912,184.71279732827028,183.78816141343592,184.3202715437561,185.27780506372088,185.47667559982224,185.33394839148934,185.62235024138778,185.702706379451,186.37838356513205,186.58971562032727,186.9141381794737,185.96027049955933,186.76043351855733,188.99251356746026,188.6435205044,188.8980308871343,190.0805630426957,190.2122136207324,189.07257371830133,188.67039205069335,188.2178774696364,188.5887135676203,187.48524229523463,187.4262730923614
0.4064,191.28299004599998,189.56989457266667,182.6467801284,187.30221360285714,187.46419744955554,180.1788491669091,175.57201448252303,177.09393800976,177.75424286870586,174.1942987974737,170.86234097952382,171.75679943304348,169.19965566904,168.7173385128889,167.2331873788,169.26897374903226,171.89335121745455,172.03129098120002,170.4059267952973,169.4809798556615,169.98916504985365,171.02058942134883,171.2458697257334,171.18065190821278,171.32514751489796,171.3846243192157,172.00256533596226,172.3739255784,172.4115462543158,171.20544928538988,171.82715107731144,174.02345817977778,173.58157137953847,173.90577962385078,175.1987836580869,175.28967339109863,174.24063786934244,173.87239037522664,173.33102907898697,173.6720977457974,172.55848044266665,172.6566174949639
0.4572,183.85154172,183.62422189466668,177.57188110480004,184.13414404657144,183.33813188666667,175.6440318312727,171.10623964630773,172.57067589008,173.02643820152943,169.71619699909476,166.8021480864762,167.64710863147826,164.73464792831996,164.3383110143704,163.38298060856553,165.7768412950323,168.5255917349697,168.51629705222857,167.2493190516757,166.17531761821542,166.4866013030244,167.57181816776742,167.82036142822218,168.09935451123403,168.15427027228571,167.9523467961176,168.4028489554717,168.91699885323632,168.85931373834381,167.62141576791186,168.2322922219672,170.24585183180952,169.7245815884308,170.23589743346267,171.41592026579715,171.44497771535208,170.46961225356165,170.21618068354667,169.65799132899735,170.09901594655696,169.09349140827655,169.0630566681928
