z-position,avgTimeRange_2.4,avgTimeRange_7.3,avgTimeRange_11.9,avgTimeRange_16.7,avgTimeRange_21.4,avgTimeRange_26.2,avgTimeRange_30.9,avgTimeRange_35.5,avgTimeRange_40.3,avgTimeRange_45.0,avgTimeRange_49.8,avgTimeRange_54.6,avgTimeRange_59.3,avgTimeRange_64.0,avgTimeRange_68.8
0.1016,150.30286879069567,133.3002391814379,137.4652424729885,135.96643742763158,132.61820764018685,130.43336832498846,126.98771699769156,128.36922541624043,128.58146349755432,137.21500065268367,136.00703453878606,135.4864553530481,135.0879654240547,136.4324589922044,135.99426987585952
0.127,164.1261843406942,144.49379616374804,148.23189089829535,147.8015369721133,144.13628175063326,142.2634304169243,138.6781565176343,139.87314740889605,139.96682921788877,148.46962890612215,147.83014783486612,147.45283484959342,147.22892369823109,147.96573208807504,147.54517672135194
0.1524,168.699642804935,149.07991591197083,150.57590499264128,150.9238527101286,148.06072862427447,147.66015392675803,144.5889139988117,144.77026831623556,144.71409896335334,150.10487074642492,150.0598571263413,149.9954130297524,150.01497724567204,150.81542361366598,150.27172923866104
0.1778,161.70229900494118,145.35153534507936,146.00292047911776,145.35182985995166,142.41218980682416,141.96043883078764,139.14139198096063,139.0044766849997,138.9250333882042,143.02549956875433,142.62843617674352,142.6650967475463,142.7949333000174,144.23443731763203,143.70303741766833
0.2032,160.4508508959285,146.93146201748482,148.53824790045132,146.358911689623,141.98200589733054,139.759806400654,136.22255458117823,136.4301748199587,136.48902718823084,141.54386950492363,140.45390904600606,140.4985354363165,140.72298058699425,142.527701116569,142.26740635428328
0.254,182.87230903646548,165.15685498273652,164.77629265465708,163.75670053794863,157.53889602533198,155.71215482351633,152.0880184650789,151.8488916989329,151.44573078406953,156.74769741883844,156.11420994768454,156.29171786943658,156.8067233221946,157.59334198304356,157.44229603855948
0.3048,176.13617807255065,165.1926950721226,163.15022682457044,161.66832886186398,155.39824817201853,153.44955300910502,150.7611360199101,149.96525566211616,149.4693421972283,151.51509627787934,150.93841478732264,151.22125229465172,152.47988118612395,153.6684350028735,153.68329466953284
0.3556,177.88398604842854,167.64595238578636,163.30453888876804,161.29887698495023,154.1043591344638,151.14989376161486,148.57384229588394,147.5884660710693,146.97584360187747,147.8326042877951,147.27935842453752,147.50207803378376,149.18974448245993,150.23543303633522,150.50467850617986
0.4064,177.44510562783404,170.91928473121607,164.3538358575328,162.26713150186612,155.18099624960269,151.74937229967736,149.85280829121007,148.4647261682865,147.86237072518702,147.81463930302766,147.51325791940036,147.42087326951028,149.37775065236593,150.34782328819142,150.70433336586194
0.4572,173.68324617559156,168.5496395859161,161.31141932810152,159.51876575973128,153.3251192504392,149.57080850354777,148.19119283744706,146.91396685689872,146.74489307517476,145.7243614775024,145.50988783614048,145.3715493561585,147.45361591506366,148.49383391548568,149.00621161053215
0.508,167.9293480719504,167.15884777393418,159.34213854274893,157.48621632380707,152.615978571006,148.38742303990222,147.16412332734816,145.4181988745739,145.4030140228077,143.79930586667035,143.82680820071917,143.4036753258053,145.3315364132762,146.08271690060064,146.66542763584906
0.5588,159.02454927881035,159.9029788238783,152.32455658587565,151.56578533251758,147.1299465476223,142.98502878470444,142.4232003525942,140.5851005197769,140.93952855750595,138.94215250542203,139.03670303796417,138.56568934448362,140.32418620760586,141.32817637710886,142.10143138182272
0.6096,149.25686792849007,152.38827287726107,144.55824293080883,144.0102950197604,141.34607531750837,137.35383511538024,136.88267545434485,135.04899731078478,135.82814242123712,133.63902669433224,133.50404731453196,132.91391987126593,134.47707866211772,135.2312501057663,135.9917951003388
0.6604,135.49755811203198,140.63966952635425,133.42900037586125,133.63871052508972,131.11553898373478,127.25469605605663,127.34861837483221,125.29214802547206,125.93875095890972,123.71129752248622,123.65066077263657,123.09894019579613,124.37373173033149,125.17837943092941,125.98856699740428
0.7112,123.87864276530716,129.88730114086906,122.67326961546132,123.18401784970533,121.62838558085653,118.10579352131074,118.35943457903652,116.49666123139389,117.42845905362391,115.2503143155874,115.0623954392375,114.47901852616621,115.55531464781458,116.37524713309371,117.11389270030432
0.762,111.7724467605994,118.31392460291924,111.64296950470145,112.5098960283526,111.34143821353872,108.13953853627707,108.5055866657481,106.6240434619135,107.36610889810284,105.39284571657598,105.28480476870297,104.81675409558586,105.74172454157147,106.49508882260226,107.1629450784105
0.8128,101.2855069443014,107.70150228554458,101.13472987166975,101.90954711263103,101.27915291402333,98.28754812667144,98.88388901087635,97.18435060839352,97.90445374497973,96.08226878948656,95.98410315988475,95.5247587547922,96.31221355311219,97.04840941015999,97.6400760247137
