Time,Chi_r
0.201,0.087
0.401,0.240
0.600,0.283
0.800,0.315
1.000,0.294
1.200,0.285
1.400,0.315
1.600,0.349
1.800,0.322
2.000,0.322
2.200,0.338
2.400,0.333
2.600,0.305
2.800,0.310
3.000,0.318
3.200,0.305
3.400,0.299
3.600,0.313
3.800,0.315
4.000,0.297
4.200,0.320
4.400,0.311
4.600,0.320
4.800,0.324
5.000,0.304
5.200,0.316
5.400,0.301
5.600,0.323
5.800,0.307
6.000,0.284
6.200,0.319
6.400,0.298
6.600,0.324
6.800,0.320
7.000,0.310
7.200,0.322
7.400,0.318
7.600,0.321
7.800,0.310
8.000,0.292
8.200,0.291
8.400,0.311
8.600,0.313
8.800,0.314
9.000,0.322
9.200,0.303
9.400,0.338
9.600,0.332
9.800,0.316
10.001,0.330
10.200,0.306
10.400,0.346
10.600,0.320
10.800,0.321
11.000,0.349
11.200,0.308
11.400,0.326
11.600,0.318
11.800,0.304
12.000,0.321
12.200,0.329
12.401,0.320
12.600,0.317
12.800,0.313
13.000,0.298
13.200,0.307
13.400,0.314
13.600,0.314
13.800,0.320
14.000,0.337
14.200,0.320
14.400,0.317
14.600,0.290
14.800,0.314
15.000,0.303
15.200,0.308
15.400,0.312
15.600,0.305
15.800,0.338
16.000,0.329
16.200,0.334
16.400,0.314
16.600,0.315
16.800,0.301
17.000,0.303
17.200,0.333
17.400,0.300
17.600,0.312
17.800,0.293
18.000,0.301
18.200,0.294
18.400,0.304
18.600,0.318
18.800,0.322
19.000,0.307
19.200,0.345
19.400,0.303
19.600,0.321
19.800,0.313
20.000,0.312
20.200,0.325
20.400,0.310
20.600,0.308
20.800,0.336
21.000,0.326
21.200,0.316
21.400,0.321
21.600,0.316
21.800,0.319
22.000,0.329
22.200,0.318
22.401,0.328
22.600,0.309
22.800,0.327
23.000,0.306
23.200,0.315
23.400,0.296
23.600,0.293
23.800,0.302
24.000,0.328
24.200,0.325
24.400,0.303
24.600,0.295
24.800,0.294
25.000,0.322
25.200,0.326
25.400,0.313
25.600,0.315
25.800,0.337
26.000,0.318
26.200,0.312
26.400,0.320
26.600,0.303
26.800,0.336
27.000,0.325
27.200,0.324
27.400,0.305
27.600,0.288
27.800,0.345
28.000,0.330
28.200,0.308
28.400,0.347
28.600,0.324
28.800,0.319
29.000,0.310
29.200,0.303
29.400,0.330
29.600,0.314
29.801,0.315
30.000,0.335
30.200,0.321
30.400,0.332
30.600,0.323
30.800,0.294
31.000,0.327
31.200,0.294
31.400,0.325
31.600,0.314
31.800,0.308
32.000,0.307
32.200,0.295
32.400,0.301
32.600,0.313
32.800,0.325
33.000,0.323
33.200,0.326
33.400,0.310
33.600,0.307
33.800,0.311
34.000,0.293
34.200,0.303
34.400,0.305
34.600,0.309
34.800,0.325
35.000,0.310
35.200,0.303
35.400,0.305
35.600,0.300
35.800,0.293
36.000,0.290
36.200,0.297
36.400,0.330
36.600,0.329
36.800,0.316
37.000,0.301
37.200,0.314
37.400,0.307
37.600,0.309
37.800,0.289
38.000,0.280
38.200,0.283
38.400,0.306
38.600,0.309
38.800,0.297
39.000,0.302
39.200,0.303
39.400,0.291
39.600,0.276
39.800,0.313
40.000,0.283
40.200,0.303
40.400,0.300
40.600,0.302
40.800,0.282
41.000,0.320
41.200,0.296
41.400,0.317
41.600,0.305
41.800,0.305
42.000,0.296
42.200,0.300
42.400,0.291
42.600,0.290
42.800,0.317
43.000,0.304
43.200,0.327
43.400,0.314
43.600,0.298
43.800,0.304
44.000,0.317
44.200,0.312
44.400,0.305
44.600,0.311
44.800,0.324
45.000,0.317
45.200,0.319
45.401,0.337
45.600,0.309
45.800,0.336
46.000,0.314
46.200,0.313
46.400,0.299
46.600,0.285
46.800,0.305
47.000,0.295
47.200,0.292
47.400,0.315
47.600,0.297
47.800,0.307
48.000,0.311
48.200,0.304
48.400,0.301
48.600,0.316
48.800,0.309
49.000,0.316
49.200,0.324
49.400,0.289
49.600,0.283
49.800,0.321
50.000,0.331
50.200,0.306
50.400,0.337
50.600,0.306
50.800,0.326
51.000,0.309
51.201,0.310
51.400,0.315
51.600,0.311
51.800,0.307
52.000,0.299
52.200,0.304
52.400,0.303
52.600,0.304
52.800,0.290
53.000,0.293
53.200,0.282
53.400,0.307
53.600,0.314
53.800,0.317
54.000,0.311
54.200,0.302
54.400,0.342
54.600,0.325
54.800,0.309
55.000,0.338
55.200,0.313
55.400,0.343
55.600,0.302
55.800,0.301
56.000,0.324
56.200,0.306
56.400,0.299
56.600,0.314
56.800,0.305
57.000,0.297
57.200,0.327
57.400,0.315
57.601,0.328
57.800,0.331
58.000,0.309
58.200,0.308
58.400,0.330
58.600,0.312
58.800,0.309
59.000,0.311
59.200,0.310
59.400,0.297
59.600,0.310
59.800,0.319
60.000,0.301
60.200,0.304
60.400,0.310
60.600,0.316
60.800,0.311
61.000,0.313
61.200,0.305
61.400,0.309
61.600,0.321
61.800,0.310
62.000,0.310
62.200,0.322
62.400,0.313
62.601,0.319
62.800,0.323
63.000,0.282
63.200,0.309
63.400,0.320
63.600,0.317
63.800,0.320
64.000,0.304
64.200,0.303
64.400,0.298
64.600,0.310
64.800,0.306
65.000,0.302
65.200,0.295
65.400,0.329
65.600,0.297
65.800,0.310
66.000,0.288
66.200,0.310
66.400,0.309
66.600,0.333
66.800,0.309
67.001,0.311
67.200,0.310
67.400,0.294
67.600,0.335
67.800,0.296
68.000,0.303
68.200,0.322
68.400,0.309
68.600,0.265
68.800,0.297
69.000,0.296
69.200,0.305
69.400,0.306
69.600,0.309
69.800,0.327
70.000,0.316
70.200,0.343
70.400,0.314
70.600,0.318
70.800,0.334
71.000,0.311
71.200,0.318
71.400,0.321
71.600,0.308
71.800,0.311
72.000,0.331
72.201,0.315
72.400,0.329
72.600,0.297
72.800,0.338
73.000,0.312
73.200,0.319
73.400,0.352
73.600,0.317
73.800,0.334
74.000,0.316
74.200,0.307
74.400,0.335
74.600,0.303
74.800,0.322
75.000,0.333
75.200,0.302
75.400,0.312
75.600,0.341
75.800,0.315
76.000,0.303
76.200,0.310
76.400,0.345
76.600,0.305
76.800,0.309
77.000,0.295
77.200,0.294
77.400,0.300
77.600,0.305
77.800,0.310
78.000,0.296
78.200,0.287
78.400,0.301
78.600,0.326
78.800,0.304
79.000,0.323
79.200,0.321
79.400,0.329
79.600,0.301
79.800,0.302
80.000,0.333
80.200,0.327
80.400,0.328
80.600,0.325
80.800,0.297
81.000,0.344
81.200,0.311
81.400,0.294
81.600,0.294
81.800,0.308
82.000,0.321
82.200,0.306
82.400,0.305
82.600,0.305
82.800,0.305
83.000,0.301
83.200,0.303
83.400,0.303
83.600,0.290
83.800,0.308
84.000,0.306
84.201,0.313
84.400,0.310
84.600,0.292
84.800,0.323
85.000,0.315
85.200,0.322
85.400,0.307
85.600,0.325
85.801,0.317
86.000,0.339
86.200,0.334
86.400,0.338
86.600,0.332
86.800,0.292
87.000,0.310
87.200,0.300
87.400,0.314
87.600,0.310
87.800,0.301
88.000,0.298
88.200,0.289
88.400,0.301
88.600,0.288
88.800,0.306
89.000,0.312
89.200,0.310
89.401,0.315
89.600,0.310
89.800,0.324
90.000,0.297
90.200,0.308
90.400,0.292
90.600,0.281
90.800,0.329
91.000,0.299
91.200,0.301
91.400,0.311
91.600,0.309
91.800,0.317
92.000,0.309
92.200,0.303
92.400,0.306
92.600,0.311
92.800,0.296
93.000,0.309
93.200,0.311
93.400,0.320
93.600,0.322
93.800,0.320
94.000,0.310
94.200,0.289
94.400,0.335
94.600,0.302
94.800,0.326
95.000,0.328
95.200,0.305
95.400,0.328
95.600,0.316
95.800,0.316
96.000,0.316
96.200,0.305
96.400,0.316
96.600,0.288
96.800,0.308
97.000,0.300
97.200,0.319
97.400,0.312
97.600,0.317
97.800,0.340
98.000,0.325
98.200,0.312
98.401,0.325
98.600,0.316
98.800,0.337
99.000,0.304
99.200,0.315
99.400,0.299
99.600,0.283
99.800,0.327
100.000,0.289
100.200,0.306
100.400,0.316
100.600,0.308
100.800,0.339
101.000,0.320
101.200,0.317
101.400,0.311
101.600,0.312
101.800,0.299
102.000,0.323
102.200,0.310
102.401,0.311
102.600,0.303
102.800,0.320
103.000,0.320
103.200,0.321
103.400,0.315
103.600,0.319
103.800,0.315
104.000,0.321
104.201,0.321
104.400,0.308
104.600,0.303
104.800,0.319
105.000,0.300
105.201,0.299
105.400,0.317
105.600,0.298
105.800,0.306
106.000,0.292
106.200,0.301
106.400,0.288
106.600,0.299
106.800,0.305
107.000,0.290
107.200,0.299
107.400,0.292
107.600,0.306
107.800,0.316
108.000,0.307
108.200,0.309
108.400,0.317
108.600,0.304
108.800,0.320
109.001,0.317
109.200,0.315
109.400,0.324
109.600,0.304
109.800,0.316
110.000,0.320
110.200,0.318
110.400,0.320
110.600,0.321
110.800,0.323
111.000,0.307
111.200,0.298
111.400,0.313
111.600,0.300
111.800,0.303
112.000,0.320
112.200,0.297
112.400,0.319
112.600,0.317
112.800,0.304
113.000,0.330
113.200,0.309
113.400,0.283
113.600,0.297
113.800,0.298
114.000,0.317
114.200,0.298
114.400,0.313
114.600,0.301
114.800,0.298
115.000,0.290
115.200,0.310
115.400,0.304
115.600,0.295
115.800,0.296
116.000,0.310
116.200,0.301
116.400,0.311
116.600,0.312
116.800,0.316
117.000,0.319
117.200,0.303
117.400,0.333
117.600,0.314
117.801,0.322
118.000,0.317
118.200,0.312
118.400,0.310
118.600,0.322
118.801,0.314
119.000,0.319
119.200,0.328
119.400,0.324
119.600,0.306
119.800,0.280
120.000,0.324
120.200,0.321
120.400,0.307
120.600,0.295
120.800,0.298
121.000,0.293
121.200,0.289
121.400,0.317
121.600,0.304
121.800,0.320
122.000,0.321
122.200,0.316
122.400,0.311
122.600,0.294
122.800,0.305
123.000,0.321
123.200,0.318
123.400,0.328
123.600,0.323
123.800,0.322
124.000,0.310
124.200,0.326
124.400,0.319
124.600,0.316
124.800,0.307
125.000,0.321
125.200,0.305
125.400,0.301
125.600,0.309
125.800,0.289
126.000,0.304
126.201,0.283
126.400,0.300
126.600,0.289
126.800,0.306
127.000,0.316
127.200,0.312
127.400,0.299
127.600,0.290
127.800,0.295
128.000,0.287
128.200,0.297
128.400,0.301
128.600,0.307
128.800,0.288
129.000,0.302
129.200,0.294
129.400,0.308
129.600,0.282
129.800,0.300
130.000,0.307
130.200,0.303
130.400,0.302
130.600,0.288
130.800,0.306
131.000,0.292
131.200,0.340
131.400,0.323
131.600,0.319
131.800,0.332
132.000,0.307
132.201,0.330
132.400,0.308
132.600,0.311
132.800,0.294
133.000,0.305
133.200,0.295
133.400,0.294
133.600,0.294
133.800,0.295
134.000,0.326
134.200,0.310
134.400,0.311
134.600,0.290
134.800,0.308
135.000,0.320
135.200,0.317
135.400,0.305
135.600,0.307
135.800,0.292
136.000,0.302
136.200,0.311
136.400,0.285
136.600,0.290
136.800,0.301
137.000,0.312
137.200,0.320
137.400,0.333
137.600,0.324
137.800,0.329
138.000,0.312
138.200,0.304
138.400,0.305
138.600,0.298
138.800,0.318
139.000,0.307
139.200,0.302
139.400,0.295
139.600,0.322
139.800,0.296
140.001,0.325
140.200,0.317
140.400,0.303
140.600,0.313
140.800,0.314
141.000,0.291
141.200,0.286
141.400,0.307
141.600,0.297
141.800,0.313
142.000,0.282
142.200,0.307
142.400,0.316
142.600,0.314
142.800,0.291
143.000,0.296
143.200,0.294
143.400,0.296
143.600,0.303
143.800,0.297
144.000,0.300
144.200,0.312
144.400,0.314
144.600,0.315
144.800,0.326
145.000,0.312
145.200,0.311
145.400,0.321
145.600,0.301
145.800,0.348
146.000,0.310
146.200,0.305
146.400,0.324
146.600,0.317
146.800,0.301
147.000,0.322
147.201,0.314
147.400,0.333
147.600,0.296
147.800,0.326
148.000,0.316
148.200,0.320
148.400,0.325
148.600,0.300
148.800,0.298
149.000,0.302
149.200,0.295
149.400,0.324
149.600,0.306
149.800,0.302
150.000,0.332
150.200,0.314
150.400,0.291
150.600,0.289
150.800,0.296
151.000,0.302
151.200,0.317
151.400,0.307
151.600,0.318
151.800,0.306
152.000,0.300
152.200,0.310
152.400,0.304
152.600,0.327
152.800,0.304
153.000,0.329
153.201,0.314
153.400,0.321
153.600,0.315
153.800,0.307
154.000,0.343
154.200,0.325
154.400,0.324
154.600,0.308
154.800,0.301
155.000,0.314
155.200,0.305
155.400,0.299
155.600,0.310
155.800,0.307
156.000,0.318
156.200,0.295
156.400,0.336
156.600,0.297
156.800,0.286
157.000,0.301
157.200,0.306
157.400,0.311
157.600,0.304
157.800,0.306
158.000,0.300
158.200,0.316
158.400,0.327
158.600,0.329
158.800,0.293
159.000,0.295
159.200,0.301
159.400,0.288
159.600,0.315
159.800,0.319
160.000,0.310
160.200,0.317
160.400,0.314
160.600,0.343
160.800,0.312
161.000,0.308
161.200,0.327
161.400,0.327
161.601,0.313
161.800,0.311
162.000,0.327
162.200,0.329
162.400,0.320
162.600,0.309
162.800,0.298
163.000,0.296
163.200,0.307
163.400,0.300
163.600,0.283
163.800,0.280
164.000,0.283
164.200,0.285
164.400,0.289
164.600,0.301
164.800,0.289
165.000,0.316
165.200,0.316
165.400,0.321
165.600,0.317
165.801,0.294
166.000,0.308
166.200,0.310
166.400,0.305
166.600,0.311
166.800,0.302
167.000,0.292
167.200,0.284
167.400,0.307
167.600,0.300
167.800,0.295
168.000,0.285
168.200,0.290
168.400,0.300
168.600,0.318
168.800,0.296
169.000,0.315
169.200,0.311
169.400,0.311
169.600,0.323
169.800,0.329
170.000,0.322
170.200,0.323
170.400,0.334
170.600,0.316
170.801,0.311
171.000,0.313
171.201,0.298
171.400,0.313
171.600,0.290
171.800,0.321
172.000,0.324
172.200,0.330
172.400,0.310
172.600,0.292
172.800,0.291
173.000,0.299
173.200,0.324
173.400,0.309
173.600,0.292
173.800,0.320
174.000,0.309
174.200,0.298
174.400,0.309
174.600,0.297
174.800,0.322
175.000,0.299
175.200,0.285
175.400,0.331
175.600,0.316
175.800,0.323
176.001,0.330
176.200,0.307
176.400,0.339
176.600,0.307
176.800,0.315
177.000,0.336
177.200,0.313
177.400,0.313
177.600,0.300
177.800,0.302
178.000,0.294
178.200,0.288
178.400,0.296
178.600,0.300
178.800,0.303
179.000,0.301
179.200,0.304
179.400,0.330
179.600,0.317
179.800,0.310
180.000,0.308
180.200,0.331
180.400,0.298
180.600,0.323
180.800,0.295
181.000,0.282
181.200,0.324
181.400,0.309
181.600,0.315
181.800,0.306
182.000,0.297
182.200,0.309
182.400,0.292
182.600,0.312
182.800,0.296
183.000,0.292
183.200,0.298
183.400,0.301
183.600,0.305
183.800,0.294
184.000,0.286
184.200,0.299
184.400,0.301
184.600,0.293
184.800,0.299
185.000,0.286
185.200,0.303
185.400,0.324
185.600,0.296
185.800,0.333
186.000,0.309
186.200,0.306
186.400,0.310
186.600,0.286
186.800,0.334
187.000,0.307
187.200,0.321
187.400,0.311
187.600,0.317
187.800,0.314
188.000,0.317
188.200,0.313
188.400,0.324
188.600,0.301
188.800,0.312
189.000,0.308
189.200,0.292
189.400,0.339
189.600,0.291
189.800,0.288
190.000,0.296
190.200,0.288
190.400,0.303
190.600,0.321
190.800,0.338
191.000,0.309
191.200,0.319
191.400,0.309
191.600,0.316
191.800,0.315
192.000,0.315
192.200,0.324
192.400,0.300
192.600,0.297
192.800,0.323
193.000,0.310
193.201,0.314
193.400,0.306
193.600,0.304
193.800,0.309
194.000,0.324
194.200,0.315
194.400,0.316
194.600,0.317
194.800,0.328
195.000,0.315
195.200,0.321
195.400,0.317
195.600,0.321
195.800,0.318
196.000,0.301
196.200,0.338
196.400,0.310
196.600,0.308
196.800,0.293
197.000,0.288
197.200,0.287
197.400,0.300
197.600,0.286
197.800,0.304
198.000,0.311
198.200,0.297
198.400,0.320
198.600,0.295
198.800,0.317
199.000,0.300
199.200,0.299
199.400,0.304
199.600,0.304
199.800,0.289
200.000,0.302
