x (m),T (C)
-0.24375,34.02253143
-0.23125,35.205468316
-0.21875,36.405026734
-0.20625,37.204811096
-0.19375,37.748937156
-0.18125,38.280473748
-0.16875,39.743851766
-0.15625,41.12417024
-0.14375,43.476176828
-0.13125,46.288967576
-0.11875,48.97695919
-0.10625,52.44892915
-0.09375,57.574646952
-0.08125,74.746310318
-0.06875,128.48108746
-0.05625,241.2768664
-0.04375,418.43021554
-0.03125,606.84209932
-0.01875,779.24426498
-0.00624999999999998,841.06789908
0.00624999999999998,854.214272920001
0.01875,725.0819369
0.03125,566.3964876
0.04375,394.26543646
0.05625,225.84778256
0.06875,115.229116776
0.08125,69.0976674580001
0.09375,56.593805006
0.10625,52.190589874
0.11875,48.889322914
0.13125,46.049935698
0.14375,43.16897169
0.15625,41.076367716
0.16875,39.507182998
0.18125,38.135064956
0.19375,37.825795192
0.20625,37.204172404
0.21875,36.501668506
0.23125,35.22402555
0.24375,34.0760681799999
