x (m),T (C)
-0.24375,32.424559098
-0.23125,33.25543352
-0.21875,34.100355234
-0.20625,35.025106586
-0.19375,36.09613284
-0.18125,37.294851348
-0.16875,38.536270694
-0.15625,39.842773022
-0.14375,41.26319925
-0.13125,44.553749802
-0.11875,58.548675026
-0.10625,90.76689446
-0.09375,140.806665966
-0.08125,227.11593616
-0.06875,337.37688942
-0.05625,456.138317460001
-0.04375,600.11132642
-0.03125,720.90412004
-0.01875,802.87864372
-0.00624999999999998,844.66854514
0.00624999999999998,841.990818380001
0.01875,774.9968435
0.03125,676.627841120001
0.04375,536.09112538
0.05625,395.6253886
0.06875,287.92941626
0.08125,186.32692098
0.09375,121.870692526
0.10625,85.894942068
0.11875,65.44283142
0.13125,51.030919468
0.14375,42.878158444
0.15625,39.91824386
0.16875,38.307132352
0.18125,37.167611588
0.19375,36.024255808
0.20625,34.993273766
0.21875,34.004481656
0.23125,33.162238942
0.24375,32.358780742
