X_O2,Chi_r
1.005041409467E-1,1.160422670509E-1
1.108899020294E-1,8.991354466859E-2
1.115499231811E-1,9.875120076849E-2
1.214821649894E-1,1.156580211335E-1
1.216942881299E-1,1.471661863593E-1
1.302010624339E-1,1.283381364073E-1
1.311870107910E-1,1.563880883766E-1
1.422179444056E-1,1.928914505283E-1
1.500572732479E-1,1.921229586936E-1
1.510440700976E-1,2.170989433237E-1
1.586541998867E-1,2.466858789625E-1
1.599825149926E-1,2.343900096061E-1
1.707951738955E-1,2.616714697406E-1
1.718983202878E-1,2.651296829971E-1
1.806136116389E-1,2.908741594621E-1
1.898836050025E-1,3.070124879923E-1
2.091995381776E-1,3.281460134486E-1
