Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,3.89E-02,4.04E-03,1.07E-03
3.06E+02,1.09E-02,5.39E-03,2.93E-03
3.16E+02,5.18E-03,3.55E-03,2.07E-03
3.27E+02,3.34E-03,2.98E-03,2.46E-03
3.37E+02,2.44E-03,3.00E-03,1.84E-03
3.47E+02,1.72E-03,2.69E-03,1.69E-03
3.57E+02,1.54E-03,2.64E-03,1.56E-03
3.68E+02,1.72E-03,2.61E-03,1.30E-03
3.78E+02,1.86E-03,2.34E-03,1.31E-03
3.88E+02,1.59E-03,2.27E-03,1.37E-03
3.98E+02,1.26E-03,2.14E-03,1.25E-03
4.09E+02,1.28E-03,2.03E-03,1.21E-03
4.19E+02,1.18E-03,2.02E-03,1.18E-03
4.29E+02,1.26E-03,1.76E-03,1.10E-03
4.39E+02,9.97E-04,1.85E-03,1.29E-03
4.50E+02,1.03E-03,1.74E-03,1.19E-03
4.60E+02,8.76E-04,1.78E-03,1.19E-03
4.70E+02,8.98E-04,1.66E-03,8.62E-04
4.80E+02,8.05E-04,1.48E-03,1.23E-03
4.91E+02,8.26E-04,1.37E-03,8.83E-04
5.01E+02,6.84E-04,1.30E-03,9.83E-04
5.11E+02,5.34E-04,1.19E-03,8.90E-04
5.21E+02,6.55E-04,1.15E-03,9.33E-04
5.32E+02,6.27E-04,1.32E-03,8.98E-04
5.42E+02,6.05E-04,9.90E-04,9.26E-04
5.52E+02,4.63E-04,1.02E-03,6.91E-04
5.62E+02,3.70E-04,9.55E-04,9.26E-04
5.73E+02,4.63E-04,1.05E-03,7.48E-04
5.83E+02,5.56E-04,8.83E-04,7.12E-04
5.93E+02,3.99E-04,7.91E-04,6.55E-04
6.03E+02,2.78E-04,7.69E-04,6.48E-04
6.14E+02,4.35E-04,8.33E-04,7.41E-04
6.24E+02,3.78E-04,6.84E-04,6.41E-04
6.34E+02,4.70E-04,6.91E-04,6.70E-04
6.44E+02,5.13E-04,7.27E-04,5.77E-04
6.55E+02,4.06E-04,5.34E-04,5.41E-04
6.65E+02,3.42E-04,6.13E-04,7.05E-04
6.75E+02,2.71E-04,5.06E-04,4.99E-04
6.85E+02,2.85E-04,5.13E-04,6.27E-04
6.96E+02,2.21E-04,5.34E-04,6.05E-04
7.06E+02,2.71E-04,5.06E-04,4.99E-04
7.16E+02,2.49E-04,5.41E-04,5.06E-04
7.26E+02,2.28E-04,4.56E-04,4.99E-04
7.37E+02,2.64E-04,5.20E-04,5.41E-04
7.47E+02,2.49E-04,5.98E-04,5.77E-04
7.57E+02,2.21E-04,5.84E-04,4.56E-04
7.67E+02,1.64E-04,5.06E-04,5.70E-04
7.78E+02,1.57E-04,4.42E-04,6.34E-04
7.88E+02,1.71E-04,5.70E-04,5.34E-04
7.98E+02,1.78E-04,4.63E-04,6.20E-04
8.08E+02,1.78E-04,3.42E-04,4.42E-04
8.19E+02,1.85E-04,4.35E-04,4.06E-04
8.29E+02,1.78E-04,3.42E-04,5.63E-04
