Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,7.59E-02,1.30E-02,2.28E-04
3.06E+02,4.87E-03,6.57E-03,8.90E-04
3.16E+02,1.77E-03,3.77E-03,6.98E-04
3.27E+02,1.43E-03,3.20E-03,7.91E-04
3.37E+02,7.76E-04,2.44E-03,6.27E-04
3.47E+02,7.91E-04,2.51E-03,6.98E-04
3.57E+02,5.06E-04,1.89E-03,6.55E-04
3.68E+02,4.06E-04,1.95E-03,5.98E-04
3.78E+02,3.92E-04,1.89E-03,7.19E-04
3.88E+02,4.56E-04,1.66E-03,5.77E-04
3.98E+02,3.63E-04,1.82E-03,5.84E-04
4.09E+02,2.92E-04,1.38E-03,5.70E-04
4.19E+02,2.99E-04,1.50E-03,5.34E-04
4.29E+02,3.21E-04,1.61E-03,5.20E-04
4.39E+02,3.42E-04,1.37E-03,6.70E-04
4.50E+02,1.71E-04,1.13E-03,4.13E-04
4.60E+02,2.64E-04,9.76E-04,4.77E-04
4.70E+02,2.07E-04,1.05E-03,4.49E-04
4.80E+02,2.21E-04,1.06E-03,4.27E-04
4.91E+02,2.49E-04,1.00E-03,3.99E-04
5.01E+02,1.92E-04,1.14E-03,4.63E-04
5.11E+02,1.85E-04,8.33E-04,3.99E-04
5.21E+02,1.92E-04,9.12E-04,4.42E-04
5.32E+02,1.85E-04,9.12E-04,4.13E-04
5.42E+02,1.85E-04,7.98E-04,3.78E-04
5.52E+02,1.64E-04,8.83E-04,3.92E-04
5.62E+02,1.42E-04,9.19E-04,4.42E-04
5.73E+02,1.07E-04,7.05E-04,3.99E-04
5.83E+02,1.78E-04,7.76E-04,3.92E-04
5.93E+02,1.35E-04,7.34E-04,4.06E-04
6.03E+02,9.97E-05,7.62E-04,3.35E-04
6.14E+02,1.28E-04,7.05E-04,3.06E-04
6.24E+02,1.42E-04,6.20E-04,4.06E-04
6.34E+02,7.84E-05,6.34E-04,3.92E-04
6.44E+02,7.12E-05,5.49E-04,2.64E-04
6.55E+02,6.41E-05,5.27E-04,3.42E-04
6.65E+02,7.84E-05,7.19E-04,2.64E-04
6.75E+02,8.55E-05,6.91E-04,3.35E-04
6.85E+02,6.41E-05,7.12E-04,3.63E-04
6.96E+02,6.41E-05,5.41E-04,3.35E-04
7.06E+02,7.84E-05,4.35E-04,2.71E-04
7.16E+02,5.70E-05,4.20E-04,3.28E-04
7.26E+02,6.41E-05,5.56E-04,3.49E-04
7.37E+02,6.41E-05,5.49E-04,2.35E-04
7.47E+02,1.07E-04,4.49E-04,3.06E-04
7.57E+02,4.99E-05,4.84E-04,3.13E-04
7.67E+02,8.55E-05,4.49E-04,3.63E-04
7.78E+02,1.14E-04,3.78E-04,3.49E-04
7.88E+02,5.70E-05,4.92E-04,2.85E-04
7.98E+02,1.07E-04,4.06E-04,3.06E-04
8.08E+02,9.26E-05,4.49E-04,2.78E-04
8.19E+02,6.41E-05,4.27E-04,3.28E-04
8.29E+02,9.26E-05,3.63E-04,3.78E-04
