Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,9.73E-02,6.45E-02,0.00E+00
3.06E+02,2.06E-04,8.65E-03,0.00E+00
3.16E+02,5.42E-05,3.15E-03,0.00E+00
3.27E+02,0.00E+00,1.95E-03,0.00E+00
3.37E+02,0.00E+00,1.50E-03,0.00E+00
3.47E+02,0.00E+00,1.03E-03,0.00E+00
3.57E+02,0.00E+00,9.32E-04,0.00E+00
3.68E+02,0.00E+00,8.83E-04,0.00E+00
3.78E+02,0.00E+00,6.29E-04,0.00E+00
3.88E+02,0.00E+00,5.74E-04,0.00E+00
3.98E+02,0.00E+00,6.07E-04,0.00E+00
4.09E+02,0.00E+00,4.71E-04,0.00E+00
4.19E+02,0.00E+00,4.01E-04,0.00E+00
4.29E+02,0.00E+00,4.06E-04,0.00E+00
4.39E+02,0.00E+00,3.20E-04,0.00E+00
4.50E+02,0.00E+00,2.93E-04,0.00E+00
4.60E+02,0.00E+00,3.85E-04,0.00E+00
4.70E+02,0.00E+00,3.85E-04,0.00E+00
4.80E+02,0.00E+00,3.09E-04,0.00E+00
4.91E+02,0.00E+00,2.82E-04,0.00E+00
5.01E+02,0.00E+00,2.44E-04,6.50E-05
5.11E+02,0.00E+00,3.20E-04,3.41E-04
5.21E+02,0.00E+00,2.66E-04,8.51E-04
5.32E+02,0.00E+00,1.95E-04,1.34E-03
5.42E+02,0.00E+00,2.76E-04,1.86E-03
5.52E+02,0.00E+00,2.33E-04,2.44E-03
5.62E+02,0.00E+00,2.66E-04,2.90E-03
5.73E+02,0.00E+00,2.06E-04,3.90E-03
5.83E+02,0.00E+00,1.57E-04,4.69E-03
5.93E+02,0.00E+00,1.63E-04,5.05E-03
6.03E+02,0.00E+00,1.79E-04,4.93E-03
6.14E+02,0.00E+00,1.14E-04,5.22E-03
6.24E+02,0.00E+00,2.38E-04,5.16E-03
6.34E+02,0.00E+00,1.52E-04,4.74E-03
6.44E+02,0.00E+00,1.95E-04,4.08E-03
6.55E+02,0.00E+00,1.46E-04,3.45E-03
6.65E+02,0.00E+00,1.84E-04,3.10E-03
6.75E+02,0.00E+00,1.35E-04,2.81E-03
6.85E+02,0.00E+00,1.19E-04,2.74E-03
6.96E+02,0.00E+00,1.35E-04,2.51E-03
7.06E+02,0.00E+00,1.35E-04,2.23E-03
7.16E+02,0.00E+00,1.57E-04,1.83E-03
7.26E+02,0.00E+00,1.30E-04,1.84E-03
7.37E+02,0.00E+00,1.14E-04,1.80E-03
7.47E+02,0.00E+00,1.25E-04,1.52E-03
7.57E+02,0.00E+00,1.14E-04,1.56E-03
7.67E+02,0.00E+00,1.30E-04,1.59E-03
7.78E+02,0.00E+00,9.21E-05,1.75E-03
7.88E+02,0.00E+00,9.75E-05,1.61E-03
7.98E+02,0.00E+00,7.59E-05,1.41E-03
8.08E+02,0.00E+00,1.08E-04,1.34E-03
8.19E+02,0.00E+00,9.75E-05,1.17E-03
8.29E+02,0.00E+00,9.21E-05,1.16E-03
