Temperature (K),10_cm,5_cm,0_cm
2.65E+02,0.00E+00,0.00E+00,0.00E+00
2.75E+02,0.00E+00,0.00E+00,0.00E+00
2.86E+02,0.00E+00,0.00E+00,0.00E+00
2.96E+02,9.75E-02,5.23E-02,0.00E+00
3.06E+02,0.00E+00,1.16E-02,0.00E+00
3.16E+02,0.00E+00,4.19E-03,0.00E+00
3.27E+02,0.00E+00,2.67E-03,0.00E+00
3.37E+02,0.00E+00,1.70E-03,0.00E+00
3.47E+02,0.00E+00,1.64E-03,0.00E+00
3.57E+02,0.00E+00,1.26E-03,0.00E+00
3.68E+02,0.00E+00,1.24E-03,0.00E+00
3.78E+02,0.00E+00,8.62E-04,0.00E+00
3.88E+02,0.00E+00,9.70E-04,0.00E+00
3.98E+02,0.00E+00,7.37E-04,0.00E+00
4.09E+02,0.00E+00,6.34E-04,0.00E+00
4.19E+02,0.00E+00,7.10E-04,0.00E+00
4.29E+02,0.00E+00,6.67E-04,0.00E+00
4.39E+02,0.00E+00,5.20E-04,0.00E+00
4.50E+02,0.00E+00,5.69E-04,0.00E+00
4.60E+02,0.00E+00,5.64E-04,0.00E+00
4.70E+02,0.00E+00,3.63E-04,0.00E+00
4.80E+02,0.00E+00,4.34E-04,0.00E+00
4.91E+02,0.00E+00,4.55E-04,0.00E+00
5.01E+02,0.00E+00,4.28E-04,0.00E+00
5.11E+02,0.00E+00,3.90E-04,0.00E+00
5.21E+02,0.00E+00,3.68E-04,0.00E+00
5.32E+02,0.00E+00,3.52E-04,0.00E+00
5.42E+02,0.00E+00,2.28E-04,0.00E+00
5.52E+02,0.00E+00,3.41E-04,1.30E-04
5.62E+02,0.00E+00,3.41E-04,3.58E-04
5.73E+02,0.00E+00,2.28E-04,7.70E-04
5.83E+02,0.00E+00,2.98E-04,1.22E-03
5.93E+02,0.00E+00,2.76E-04,1.30E-03
6.03E+02,0.00E+00,2.38E-04,1.76E-03
6.14E+02,0.00E+00,2.93E-04,2.27E-03
6.24E+02,0.00E+00,2.66E-04,2.61E-03
6.34E+02,0.00E+00,2.44E-04,3.02E-03
6.44E+02,0.00E+00,2.71E-04,3.08E-03
6.55E+02,0.00E+00,1.73E-04,3.34E-03
6.65E+02,0.00E+00,2.33E-04,3.38E-03
6.75E+02,0.00E+00,2.17E-04,3.63E-03
6.85E+02,0.00E+00,1.84E-04,3.93E-03
6.96E+02,0.00E+00,2.28E-04,3.92E-03
7.06E+02,0.00E+00,1.73E-04,3.78E-03
7.16E+02,0.00E+00,1.95E-04,3.73E-03
7.26E+02,0.00E+00,1.73E-04,3.70E-03
7.37E+02,0.00E+00,1.90E-04,3.16E-03
7.47E+02,0.00E+00,1.68E-04,2.94E-03
7.57E+02,0.00E+00,2.06E-04,2.82E-03
7.67E+02,0.00E+00,1.25E-04,2.73E-03
7.78E+02,0.00E+00,1.25E-04,2.83E-03
7.88E+02,0.00E+00,1.63E-04,2.90E-03
7.98E+02,0.00E+00,1.52E-04,2.76E-03
8.08E+02,0.00E+00,1.35E-04,2.25E-03
8.19E+02,0.00E+00,1.30E-04,1.89E-03
8.29E+02,0.00E+00,1.46E-04,1.86E-03
