s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s
Time,"DC HRR","NIST HRR","FDS HRR","HFG-x5_z10","HFG-x5_z30","HFG-x5_z50","HFG-x5_z70","HFG-x5_z90","HFG-x5_z110","HFG-x5_z130","HFG-x10_z10","HFG-x10_z30","HFG-x10_z50","HFG-x10_z70","HFG-x10_z90","HFG-x10_z110","HFG-x10_z130","HFG-x15_z10","HFG-x15_z30","HFG-x15_z50","HFG-x15_z70","HFG-x15_z90","HFG-x15_z110","HFG-x15_z130","HFG-x22_z10","HFG-x22_z30","HFG-x22_z50","HFG-x22_z70","HFG-x22_z90","HFG-x22_z110","HFG-x22_z130","HFG-y5_z10","HFG-y5_z30","HFG-y5_z50","HFG-y5_z70","HFG-y5_z90","HFG-y5_z110","HFG-y5_z130","HFG-y10_z10","HFG-y10_z30","HFG-y10_z50","HFG-y10_z70","HFG-y10_z90","HFG-y10_z110","HFG-y10_z130","HFG-y15_z10","HFG-y15_z30","HFG-y15_z50","HFG-y15_z70","HFG-y15_z90","HFG-y15_z110","HFG-y15_z130","HFG-y22_z10","HFG-y22_z30","HFG-y22_z50","HFG-y22_z70","HFG-y22_z90","HFG-y22_z110","HFG-y22_z130","GHF_z10","GHF_z35","GHF_z60","GHF_z85","GHF_z110","GHF_z135","RHF_z35","RHF_z85","O2amb","CO2amb","N2wamb","O2wamb","CO2wamb","H2Oamb","O2","CO","CO2","SOOT","H2O","T","VF","MF","CO_MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0330870E-002, 9.8207847E-003, 9.3302891E-003, 8.6514081E-003, 9.3640446E-003, 9.2216473E-003, 8.5258598E-003, 1.0234050E-002, 9.5784440E-003, 9.0075531E-003, 7.9407893E-003, 8.7655918E-003, 8.7310131E-003, 7.8709979E-003, 1.0149365E-002, 9.3765249E-003, 8.7314256E-003, 7.9929725E-003, 8.7567598E-003, 8.7560156E-003, 7.6162823E-003, 9.8906055E-003, 9.2437058E-003, 8.7266855E-003, 7.6716314E-003, 8.7001535E-003, 8.8470723E-003, 7.4958359E-003, 1.0679230E-002, 1.0069588E-002, 1.0426913E-002, 9.3285203E-003, 9.8746605E-003, 1.0205680E-002, 8.9575855E-003, 1.0682021E-002, 1.0001229E-002, 1.0145709E-002, 9.3009088E-003, 9.8521572E-003, 9.8950741E-003, 9.0335444E-003, 1.0630452E-002, 9.8125565E-003, 9.7159656E-003, 9.3257453E-003, 9.7654540E-003, 9.6731476E-003, 8.7402930E-003, 9.0777945E-003, 7.4748346E-003, 6.9510672E-003, 6.9845808E-003, 7.2742445E-003, 7.5257338E-003, 6.9498615E-003, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 6.2814872E-002, 6.2814872E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0067151E-001, 5.2007393E-014, 6.5202626E-014, 2.3266633E-001, 2.8378817E-002, 2.1151571E-002, 2.0022856E-002, 1.9400051E-002, 1.9142597E-002, 1.8770314E-002, 1.8367339E-002, 3.0250071E-002, 2.1090452E-002, 1.9759345E-002, 1.9069393E-002, 1.8799223E-002, 1.8403719E-002, 1.7797196E-002, 3.0016701E-002, 2.0940121E-002, 1.9640124E-002, 1.8952320E-002, 1.8665031E-002, 1.8249657E-002, 1.7574644E-002, 2.7136384E-002, 2.0478284E-002, 1.9415988E-002, 1.8681028E-002, 1.8360515E-002, 1.8001559E-002, 1.7357981E-002, 2.9052845E-002, 2.1270280E-002, 2.0070945E-002, 1.9295853E-002, 1.9118670E-002, 1.8777824E-002, 1.8390216E-002, 3.0354578E-002, 2.1323528E-002, 1.9908497E-002, 1.9117729E-002, 1.8898558E-002, 1.8448760E-002, 1.8007490E-002, 2.9829660E-002, 2.1110666E-002, 1.9734007E-002, 1.9023299E-002, 1.8777057E-002, 1.8226073E-002, 1.7796157E-002, 2.4745064E-002, 1.9893959E-002, 1.9209445E-002, 1.8509887E-002, 1.8305640E-002, 1.8039361E-002, 1.7291699E-002, 1.6104964E-002, 1.5314138E-002, 1.4917564E-002, 1.4689196E-002, 1.4047110E-002, 1.3124865E-002,-3.1878551E-003,-3.7187794E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9998879E+001, 1.1016259E-001, 1.3163299E-001, 0.0000000E+000
 4.0038778E-001, 1.0266505E-013, 1.2871307E-013, 5.2792995E-001, 1.3156535E-001, 4.0338988E-002, 2.6927713E-002, 2.3286126E-002, 2.2305753E-002, 2.2110059E-002, 2.1875860E-002, 1.6066549E-001, 4.2487863E-002, 2.7240227E-002, 2.3357531E-002, 2.2335506E-002, 2.1931885E-002, 2.1668691E-002, 1.5837953E-001, 4.1571667E-002, 2.6930286E-002, 2.3641099E-002, 2.2521081E-002, 2.1992878E-002, 2.1700324E-002, 1.1923157E-001, 3.8134919E-002, 2.6456118E-002, 2.3393927E-002, 2.2454911E-002, 2.2181756E-002, 2.1989024E-002, 1.4113654E-001, 4.0515441E-002, 2.6690153E-002, 2.3134482E-002, 2.2269215E-002, 2.2072760E-002, 2.1830958E-002, 1.6095910E-001, 4.2775196E-002, 2.7353328E-002, 2.3417338E-002, 2.2332313E-002, 2.1913405E-002, 2.1657031E-002, 1.5487012E-001, 4.1456892E-002, 2.6909824E-002, 2.3616119E-002, 2.2514637E-002, 2.2021473E-002, 2.1737948E-002, 1.0958725E-001, 3.6355656E-002, 2.5935974E-002, 2.3176461E-002, 2.2341415E-002, 2.2088430E-002, 2.1917197E-002, 3.0118650E-002, 2.1773885E-002, 1.9951210E-002, 1.9159281E-002, 1.7956172E-002, 1.7938391E-002, 2.3030534E-003, 8.1004099E-005, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9997948E+001, 2.1261672E-001, 2.5405597E-001, 0.0000000E+000
 6.0024206E-001, 1.4570438E-013, 1.8267227E-013, 8.5873777E-001, 3.6565152E-001, 8.2925483E-002, 3.9416342E-002, 2.7978470E-002, 2.4833444E-002, 2.4117086E-002, 2.3259767E-002, 4.7966197E-001, 8.9514801E-002, 3.8636570E-002, 2.7641047E-002, 2.4458603E-002, 2.3079780E-002, 2.2261222E-002, 4.6696041E-001, 8.5308001E-002, 3.8314839E-002, 2.9015292E-002, 2.5027756E-002, 2.3247504E-002, 2.2392468E-002, 3.2475927E-001, 7.3650948E-002, 3.6942047E-002, 2.8397246E-002, 2.5370694E-002, 2.4513446E-002, 2.3996755E-002, 3.9879387E-001, 8.3153316E-002, 3.8300438E-002, 2.7306914E-002, 2.4613989E-002, 2.3878729E-002, 2.3019312E-002, 4.8018522E-001, 8.9591637E-002, 3.8634794E-002, 2.7650599E-002, 2.4415404E-002, 2.3047953E-002, 2.2246309E-002, 4.5186536E-001, 8.4536795E-002, 3.8211151E-002, 2.8848769E-002, 2.5104049E-002, 2.3472365E-002, 2.2595000E-002, 3.1507921E-001, 7.2591905E-002, 3.6696288E-002, 2.8258701E-002, 2.5199133E-002, 2.4393948E-002, 2.3930035E-002, 6.5686765E-002, 3.5590899E-002, 3.0000628E-002, 2.6425758E-002, 2.1221237E-002, 2.1981081E-002, 1.4047064E-002, 6.2573593E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9997230E+001, 3.0063800E-001, 3.5923357E-001, 0.0000000E+000
 8.0038149E-001, 1.8045868E-013, 2.2624437E-013, 1.1220433E+000, 5.6687953E-001, 1.1651404E-001, 4.9172579E-002, 3.1044943E-002, 2.7511406E-002, 2.6286367E-002, 2.4438791E-002, 8.1645180E-001, 1.3084369E-001, 4.4970409E-002, 2.9421518E-002, 2.5446186E-002, 2.3567212E-002, 2.2519541E-002, 7.9308327E-001, 1.2314951E-001, 4.6578123E-002, 3.1360828E-002, 2.6024619E-002, 2.3866831E-002, 2.2779200E-002, 4.8388983E-001, 1.0234023E-001, 4.5335631E-002, 3.2101172E-002, 2.8143417E-002, 2.7259733E-002, 2.6317326E-002, 6.2353401E-001, 1.2069039E-001, 4.8396812E-002, 3.0355706E-002, 2.7058045E-002, 2.5633401E-002, 2.3891703E-002, 8.2816527E-001, 1.3006716E-001, 4.5049858E-002, 2.9361031E-002, 2.5283085E-002, 2.3491948E-002, 2.2487616E-002, 7.4949532E-001, 1.2108186E-001, 4.6415986E-002, 3.1482793E-002, 2.6399868E-002, 2.4346547E-002, 2.3147966E-002, 4.6790376E-001, 1.0131953E-001, 4.5281216E-002, 3.2004768E-002, 2.7885989E-002, 2.7097210E-002, 2.6286362E-002, 8.1348286E-002, 4.7126676E-002, 3.7706759E-002, 3.1257228E-002, 2.3388446E-002, 2.5227971E-002, 2.3851334E-002, 1.0363625E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9996632E+001, 3.7184885E-001, 4.4432462E-001, 0.0000000E+000
 1.0001234E+000, 2.0708982E-013, 2.5963231E-013, 1.4525447E+000, 7.8480258E-001, 1.5017383E-001, 5.8962950E-002, 3.3773779E-002, 3.0538158E-002, 2.8503916E-002, 2.5379581E-002, 1.2525620E+000, 1.7121305E-001, 5.0117577E-002, 3.0523200E-002, 2.5874839E-002, 2.3696197E-002, 2.2590113E-002, 1.1455909E+000, 1.6163380E-001, 5.4554449E-002, 3.3143331E-002, 2.6748311E-002, 2.4318576E-002, 2.3045877E-002, 6.0773874E-001, 1.2939315E-001, 5.4025914E-002, 3.5489350E-002, 3.0830188E-002, 3.0462507E-002, 2.9145042E-002, 8.5486447E-001, 1.5646529E-001, 5.7800710E-002, 3.2941750E-002, 2.9840965E-002, 2.7437385E-002, 2.4580707E-002, 1.2346606E+000, 1.6964808E-001, 4.9735249E-002, 3.0568029E-002, 2.5864985E-002, 2.3687157E-002, 2.2574367E-002, 1.0719749E+000, 1.5562499E-001, 5.3227929E-002, 3.3404644E-002, 2.7662882E-002, 2.5193386E-002, 2.3581572E-002, 5.9840696E-001, 1.2836750E-001, 5.3732282E-002, 3.5474588E-002, 3.0707788E-002, 3.0303873E-002, 2.9025832E-002, 9.5935943E-002, 5.7091223E-002, 4.4780663E-002, 3.5375587E-002, 2.5323616E-002, 2.8310639E-002, 3.2319421E-002, 1.3863558E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.1115227E-279, 3.9011087E-004, 1.4512737E-278, 9.4820369E-003, 1.9996132E+001, 4.2644196E-001, 5.0955914E-001, 1.5299484E-279
 1.2002961E+000, 2.2676629E-013, 2.8430107E-013, 2.4598343E+000, 1.2107104E+000, 2.1115010E-001, 7.4383890E-002, 3.9240311E-002, 3.5495141E-002, 3.1703058E-002, 2.6774600E-002, 2.1340003E+000, 2.4131962E-001, 5.9953012E-002, 3.3319647E-002, 2.7144716E-002, 2.4307409E-002, 2.2916504E-002, 1.6458388E+000, 2.2547350E-001, 6.8596009E-002, 3.7739750E-002, 2.9316033E-002, 2.5738790E-002, 2.3737657E-002, 8.4915295E-001, 1.7801430E-001, 6.8741008E-002, 4.1167046E-002, 3.5024526E-002, 3.5024019E-002, 3.3044842E-002, 1.3246275E+000, 2.2245060E-001, 7.3121475E-002, 3.7903104E-002, 3.3808093E-002, 2.9686733E-002, 2.5474903E-002, 2.1541774E+000, 2.4149708E-001, 5.9770138E-002, 3.3313486E-002, 2.7071506E-002, 2.4259228E-002, 2.2877549E-002, 1.5976078E+000, 2.1587112E-001, 6.7078108E-002, 3.8421330E-002, 3.1218391E-002, 2.7458226E-002, 2.4681210E-002, 8.7076181E-001, 1.7617929E-001, 6.8406387E-002, 4.1021927E-002, 3.4593891E-002, 3.4778179E-002, 3.2997334E-002, 1.3352940E-001, 7.4545430E-002, 5.7372894E-002, 4.3158217E-002, 2.9040029E-002, 3.3602450E-002, 4.7152971E-002, 2.0477820E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 2.0823435E-247, 3.9011087E-004, 9.7124480E-247, 9.4820369E-003, 1.9995741E+001, 4.6683920E-001, 5.5783090E-001, 1.1208930E-247
 1.4001153E+000, 2.4086941E-013, 3.0198241E-013, 3.2339675E+000, 1.9306765E+000, 3.3021415E-001, 1.0150867E-001, 4.8811555E-002, 4.1802323E-002, 3.5205075E-002, 2.8365492E-002, 3.2530341E+000, 3.9327491E-001, 8.8559519E-002, 4.3376575E-002, 3.0930231E-002, 2.5903438E-002, 2.3691915E-002, 2.5821784E+000, 3.3783609E-001, 9.2481178E-002, 4.8499481E-002, 3.4532275E-002, 2.8711510E-002, 2.5499552E-002, 1.2869326E+000, 2.6069121E-001, 9.2998202E-002, 5.3693202E-002, 4.1979471E-002, 3.9855367E-002, 3.7135093E-002, 2.1575668E+000, 3.4857814E-001, 9.6164451E-002, 4.5309487E-002, 3.8890529E-002, 3.2580011E-002, 2.6811145E-002, 3.2007525E+000, 4.4335372E-001, 9.0734474E-002, 4.3997086E-002, 3.1143804E-002, 2.5918225E-002, 2.3636740E-002, 2.5815536E+000, 3.3414855E-001, 8.9926728E-002, 4.8030045E-002, 3.7297450E-002, 3.1879610E-002, 2.7435324E-002, 1.3004164E+000, 2.6003184E-001, 9.3000210E-002, 5.3927853E-002, 4.1250379E-002, 3.9490403E-002, 3.7306275E-002, 1.9724315E-001, 1.0708472E-001, 8.0525409E-002, 5.8783474E-002, 3.5653669E-002, 4.2574592E-002, 7.4807345E-002, 3.3757511E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.3157974E-222, 3.9011087E-004, 1.5465513E-221, 9.4820369E-003, 1.9995471E+001, 4.9577392E-001, 5.9240584E-001, 1.8954683E-222
 1.6001012E+000, 2.5077806E-013, 3.1440507E-013, 4.4791678E+000, 2.7990827E+000, 4.5007578E-001, 1.3094833E-001, 5.8448087E-002, 4.5812890E-002, 3.7176648E-002, 2.9478313E-002, 4.5105179E+000, 7.3489024E-001, 1.2436814E-001, 5.5652470E-002, 3.5481453E-002, 2.7829119E-002, 2.4605419E-002, 3.7374677E+000, 6.0328882E-001, 1.2541488E-001, 6.2683505E-002, 4.2044489E-002, 3.2638112E-002, 2.7525080E-002, 1.7249585E+000, 3.3810642E-001, 1.2128713E-001, 6.5260550E-002, 4.6841088E-002, 4.2853065E-002, 3.9801577E-002, 3.3052788E+000, 5.1555695E-001, 1.2276456E-001, 5.3977865E-002, 4.2733984E-002, 3.4647303E-002, 2.7948275E-002, 4.4067857E+000, 8.1403148E-001, 1.2859363E-001, 5.6137983E-002, 3.5615805E-002, 2.7874223E-002, 2.4553748E-002, 3.4592880E+000, 6.4678911E-001, 1.2434800E-001, 6.1525373E-002, 4.4734109E-002, 3.6317469E-002, 3.0001264E-002, 1.7103892E+000, 3.3620431E-001, 1.1997898E-001, 6.5099646E-002, 4.6305876E-002, 4.2528881E-002, 3.9712576E-002, 2.4642746E-001, 1.3751363E-001, 1.0191392E-001, 7.2961721E-002, 4.1770603E-002, 4.9961489E-002, 1.0066623E-001, 4.5806317E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 1.4122165E-201, 3.9011087E-004, 6.5868475E-201, 9.4820369E-003, 1.9995298E+001, 5.1611718E-001, 6.1671460E-001, 8.4041676E-202
