cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 3.6801020E+001, 6.0028744E+002, 5.9778394E+002, 2.8025456E+000, 8.2559277E+001, 1.1153287E+002, 7.8577934E-001, 1.7553425E-001, 1.8320388E-002, 4.8618937E-005, 1.6128164E-004, 2.9264916E-002, 7.0362583E-021, 7.7612631E-001, 4.7469382E-005, 2.2785304E-004
 3.8831633E+001, 6.0028744E+002, 5.9778394E+002, 2.8021424E+000, 8.2559277E+001, 1.1153287E+002, 8.1567601E-001, 1.7553425E-001, 1.8320388E-002, 4.8618937E-005, 1.6128164E-004, 2.9264916E-002, 7.0362583E-021, 7.7612631E-001, 4.7469382E-005, 2.2785304E-004
 4.0862245E+001, 5.7282106E+002, 5.7019046E+002, 2.8021424E+000, 7.6507404E+001, 1.0371613E+002, 8.1567601E-001, 1.7879151E-001, 1.6556918E-002, 4.3837634E-005, 1.0863268E-004, 2.6841312E-002, 5.1709337E-021, 7.7716706E-001, 4.2785540E-005, 2.0537059E-004
 4.2892857E+001, 5.7282106E+002, 5.7019046E+002, 2.7930524E+000, 7.6507404E+001, 1.0371613E+002, 8.4057272E-001, 1.7879151E-001, 1.6556918E-002, 4.3837634E-005, 1.0863268E-004, 2.6841312E-002, 5.1709337E-021, 7.7716706E-001, 4.2785540E-005, 2.0537059E-004
 4.4923469E+001, 5.4923205E+002, 5.4670426E+002, 2.7930524E+000, 7.0368959E+001, 9.6061522E+001, 8.4057272E-001, 1.8152948E-001, 1.5073521E-002, 3.9815701E-005, 7.3855003E-005, 2.4802583E-002, 3.7954485E-021, 7.7803505E-001, 3.8847612E-005, 1.8646854E-004
 4.6954082E+001, 5.4923205E+002, 5.4670426E+002, 2.7877279E+000, 7.0368959E+001, 9.6061522E+001, 8.5691890E-001, 1.8152948E-001, 1.5073521E-002, 3.9815701E-005, 7.3855003E-005, 2.4802583E-002, 3.7954485E-021, 7.7803505E-001, 3.8847612E-005, 1.8646854E-004
 4.8984694E+001, 5.2899229E+002, 5.2671741E+002, 2.7877279E+000, 6.4403599E+001, 8.8653357E+001, 8.5691890E-001, 1.8383705E-001, 1.3822606E-002, 3.6424106E-005, 5.0695865E-005, 2.3083346E-002, 2.7949978E-021, 7.7876215E-001, 3.5528368E-005, 1.7053617E-004
 5.1015306E+001, 5.2899229E+002, 5.2671741E+002, 2.7807307E+000, 6.4403599E+001, 8.8653357E+001, 8.6147473E-001, 1.8383705E-001, 1.3822606E-002, 3.6424106E-005, 5.0695865E-005, 2.3083346E-002, 2.7949978E-021, 7.7876215E-001, 3.5528368E-005, 1.7053617E-004
 5.3045918E+001, 5.1151465E+002, 5.0954190E+002, 2.7807307E+000, 5.8807459E+001, 8.1576528E+001, 8.6147473E-001, 1.8580118E-001, 1.2757393E-002, 3.3536005E-005, 3.5141788E-005, 2.1619317E-002, 2.0777850E-021, 7.7937803E-001, 3.2703051E-005, 1.5697464E-004
 5.5076531E+001, 5.1151465E+002, 5.0954190E+002, 2.7808137E+000, 5.8807459E+001, 8.1576528E+001, 8.5363186E-001, 1.8580118E-001, 1.2757393E-002, 3.3536005E-005, 3.5141788E-005, 2.1619317E-002, 2.0777850E-021, 7.7937803E-001, 3.2703051E-005, 1.5697464E-004
 5.7107143E+001, 4.9638144E+002, 4.9469296E+002, 2.7808137E+000, 5.3911042E+001, 7.5230077E+001, 8.5363186E-001, 1.8748109E-001, 1.1846010E-002, 3.1064986E-005, 2.4585861E-005, 2.0366700E-002, 1.5622481E-021, 7.7990281E-001, 3.0286743E-005, 1.4537637E-004
 5.9137755E+001, 4.9638144E+002, 4.9469296E+002, 2.7785890E+000, 5.3911042E+001, 7.5230077E+001, 8.4129168E-001, 1.8748109E-001, 1.1846010E-002, 3.1064986E-005, 2.4585861E-005, 2.0366700E-002, 1.5622481E-021, 7.7990281E-001, 3.0286743E-005, 1.4537637E-004
 6.1168367E+001, 4.8304077E+002, 4.8159368E+002, 2.7785890E+000, 4.9551724E+001, 6.9518300E+001, 8.4129168E-001, 1.8894663E-001, 1.1050708E-002, 2.8908695E-005, 1.7320366E-005, 1.9273618E-002, 1.1849771E-021, 7.8035921E-001, 2.8178990E-005, 1.3525915E-004
 6.3198980E+001, 4.8304077E+002, 4.8159368E+002, 2.7800207E+000, 4.9551724E+001, 6.9518300E+001, 8.2944956E-001, 1.8894663E-001, 1.1050708E-002, 2.8908695E-005, 1.7320366E-005, 1.9273618E-002, 1.1849771E-021, 7.8035921E-001, 2.8178990E-005, 1.3525915E-004
 6.5229592E+001, 4.7112655E+002, 4.6988202E+002, 2.7800207E+000, 4.5906512E+001, 6.4572946E+001, 8.2944956E-001, 1.9023823E-001, 1.0349640E-002, 2.7007904E-005, 1.2283540E-005, 1.8310049E-002, 8.9957189E-022, 7.8076046E-001, 2.6321697E-005, 1.2634414E-004
 6.7260204E+001, 4.7112655E+002, 4.6988202E+002, 2.7742850E+000, 4.5906512E+001, 6.4572946E+001, 8.1816879E-001, 1.9023823E-001, 1.0349640E-002, 2.7007904E-005, 1.2283540E-005, 1.8310049E-002, 8.9957189E-022, 7.8076046E-001, 2.6321697E-005, 1.2634414E-004
 6.9290816E+001, 4.6029103E+002, 4.5920874E+002, 2.7742850E+000, 4.2799003E+001, 6.0175998E+001, 8.1816879E-001, 1.9139769E-001, 9.7201852E-003, 2.5301276E-005, 8.7487938E-006, 1.7444903E-002, 6.8579967E-022, 7.8111995E-001, 2.4654699E-005, 1.1834255E-004
 7.1321429E+001, 4.6029103E+002, 4.5920874E+002, 2.7672377E+000, 4.2799003E+001, 6.0175998E+001, 8.1165089E-001, 1.9139769E-001, 9.7201852E-003, 2.5301276E-005, 8.7487938E-006, 1.7444903E-002, 6.8579967E-022, 7.8111995E-001, 2.4654699E-005, 1.1834255E-004
 7.3352041E+001, 4.5047653E+002, 4.4950517E+002, 2.7672377E+000, 4.0189926E+001, 5.6344740E+001, 8.1165089E-001, 1.9243707E-001, 9.1558421E-003, 2.3771185E-005, 6.2576535E-006, 1.6669246E-002, 5.2593001E-022, 7.8144172E-001, 2.3160617E-005, 1.1117096E-004
