,x,TMean,T_rms
0,cm,K,K
1,0.0,982.19,537.3081052803875
2,0.012,982.03,537.2057334020179
3,0.024,981.86,537.1033420115723
4,0.036000000000000004,981.7,537.0102419879904
5,0.048,981.54,536.9078133162154
6,0.06,981.38,536.8053650998656
7,0.07200000000000001,981.22,536.7122133881434
8,0.084,981.06,536.6097278283352
9,0.096,980.9,536.5072226913633
10,0.108,980.74,536.414019205315
11,0.12,980.57,536.3114766625827
12,0.132,980.41,536.208914510007
13,0.14400000000000002,980.25,536.115659163207
14,0.156,980.09,536.0130595423958
15,0.168,979.93,535.9197701148933
16,0.18,979.77,535.8171329847526
17,0.192,979.61,535.7144761904424
18,0.20400000000000001,979.45,535.6211347585157
19,0.216,979.28,535.518440392112
20,0.22799999999999998,979.12,535.4157263286165
21,0.24,978.96,535.3223328051988
22,0.252,978.8,535.2195811066706
23,0.264,978.64,535.1168096780366
24,0.27599999999999997,978.48,535.0233639758175
25,0.28800000000000003,978.32,534.9205548490355
26,0.3,978.16,534.8177259590411
27,0.312,978.0,534.7242279904661
28,0.32399999999999995,977.83,534.6213613390322
29,0.336,977.67,534.5184748911865
30,0.348,977.51,534.4249245684562
31,0.36,977.35,534.3220002957019
32,0.372,977.19,534.2190561932437
33,0.384,977.03,534.1254534283121
34,0.396,976.87,534.0224714372982
35,0.40800000000000003,976.71,533.9288342092043
36,0.42,976.54,533.8258142877694
37,0.432,976.38,533.7227744812844
38,0.44400000000000006,976.22,533.6290846646199
39,0.45599999999999996,976.06,533.5260068637704
40,0.468,975.9,533.4229091443299
41,0.48,975.74,533.3291666503904
42,0.492,975.58,533.2260308724622
43,0.504,975.42,533.1228751423072
44,0.516,975.25,533.0290798821393
45,0.528,975.09,532.9258860291926
46,0.54,974.93,532.8226721902888
47,0.5519999999999999,974.77,532.7288240746881
48,0.5640000000000001,974.61,532.6255720485076
49,0.5760000000000001,974.45,532.5223000025445
50,0.588,974.29,532.428398942055
51,0.6,974.13,532.325088644148
52,0.612,973.96,532.2217582925373
53,0.624,973.8,532.1278041974502
54,0.636,973.64,532.024435529046
55,0.6479999999999999,973.48,531.9304465811297
56,0.66,973.32,531.8270395532743
57,0.672,973.16,531.7236124153223
58,0.6839999999999999,973.0,531.6295702836703
59,0.696,972.84,531.5261047211134
60,0.7080000000000001,972.68,531.4226190142832
61,0.72,972.51,531.328523608511
62,0.732,972.35,531.224999411737
63,0.744,972.19,531.1214550364164
64,0.756,972.03,531.0273062658831
65,0.768,971.87,530.9237233350946
66,0.7799999999999999,971.71,530.8201201913884
67,0.792,971.55,530.725917965196
68,0.804,971.32,530.6222762003118
69,0.8160000000000001,970.95,530.5091893643314
70,0.828,970.59,530.3960784168752
71,0.84,970.22,530.292372187268
72,0.852,969.86,530.1792149830093
73,0.864,969.49,530.0660336222271
74,0.876,969.13,529.9622628074569
75,0.8880000000000001,968.76,529.8490351033962
76,0.8999999999999999,968.4,529.735783197624
77,0.9119999999999999,968.04,529.6225070746144
78,0.924,967.67,529.5186493410785
79,0.936,967.31,529.405326758241
80,0.9480000000000001,966.94,529.2919799127887
81,0.96,966.58,529.1880573104423
82,0.972,966.21,529.0746639180524
83,0.984,965.85,528.9612462175278
84,0.996,965.48,528.8572586246689
85,1.008,965.12,528.7437942898242
86,1.02,964.75,528.6303056011828
87,1.032,964.39,528.5262528957289
88,1.044,964.02,528.4127174851112
89,1.056,963.66,528.2991576748916
90,1.068,963.29,528.1950397343769
91,1.08,962.93,528.0814331142499
92,1.0919999999999999,962.56,527.9678020485719
93,1.1039999999999999,962.2,527.8541465215557
94,1.1159999999999999,961.83,527.7499407863538
95,1.1280000000000001,961.47,527.6362383309167
96,1.1400000000000001,961.11,527.5225113679984
97,1.1520000000000001,960.74,527.4182401093083
98,1.164,960.38,527.3044661293891
99,1.176,960.01,527.1906675957001
100,1.188,959.65,527.0863306897647
101,1.2,959.28,526.9724850502159
102,1.212,958.92,526.8586148104632
103,1.224,958.55,526.7542121331352
104,1.236,958.19,526.6402946983833
105,1.248,957.82,526.5263526168467
106,1.26,957.46,526.4123858725211
107,1.272,957.09,526.3078946776307
108,1.284,956.73,526.1938806181615
109,1.2959999999999998,956.36,526.0798418491246
110,1.308,956.0,525.9752845904454
111,1.32,955.63,525.8611984164643
112,1.332,955.27,525.7470874859888
113,1.344,954.9,525.6424640380569
114,1.3559999999999999,954.54,525.5283056125521
115,1.3679999999999999,954.18,525.4141223834777
116,1.38,953.81,525.3094326204318
117,1.392,953.45,525.1952018059571
118,1.4040000000000001,953.08,525.080946140688
119,1.4160000000000001,952.72,524.9666656083984
120,1.428,952.35,524.8618865949403
121,1.44,951.99,524.7475583554439
122,1.452,951.62,524.6332052015008
123,1.464,951.26,524.5283595764865
124,1.476,950.89,524.4139586242914
125,1.488,950.53,524.2995327100722
126,1.5,950.16,524.1946203462985
127,1.512,949.8,524.0801465424921
128,1.524,949.43,523.9656477289327
129,1.536,949.07,523.8606684987908
130,1.548,948.7,523.7461217040179
131,1.5599999999999998,948.34,523.6315498516109
132,1.572,947.97,523.5169529251178
133,1.584,947.61,523.4118837015453
134,1.5959999999999999,947.25,523.2972386703374
135,1.608,946.79,523.2112384114088
