,x,TMean,T_rms,fvMean,fv_rms
0,cm,K,K,ppm,ppm
1,-12.0,342.83,169.71741218861428,0.0014567,0.023605084198112913
2,-11.976,343.46,170.9005558797279,0.0014913,0.02400062499186219
3,-11.952,344.09,172.07556479639985,0.0015259999999999998,0.024389956949531503
4,-11.927999999999999,344.72,173.24260445975753,0.0015607,0.024773170971839675
5,-11.904,345.35,174.40183485273312,0.0015953,0.02515034791011846
6,-11.88,345.98,175.55341067606747,0.00163,0.025522147245088923
7,-11.856,346.62,176.69748158929713,0.0016646,0.025888414397177744
8,-11.831999999999999,347.25,177.8341924377874,0.0016993,0.026249761903682098
9,-11.808,347.88,178.96368346678608,0.0017339,0.026606202284429847
10,-11.784,348.51,180.08609052339384,0.0017686000000000002,0.026957744712790794
11,-11.76,349.14,181.2015452472743,0.0018032,0.02730494460715861
12,-11.736,349.78,182.31291780891445,0.0018379,0.02764760387447708
13,-11.712,350.41,183.41483037093812,0.0018724999999999998,0.027986246622224997
14,-11.688,351.04,184.51016232175397,0.0019072000000000002,0.028320840383011237
15,-11.664,351.67,185.59903016987994,0.0019418,0.028651352498616885
16,-11.64,352.3,186.6815470259447,0.0019765,0.02897826771910288
17,-11.616,352.93,187.7578227398262,0.0020110999999999996,0.029301535795927147
18,-11.591999999999999,353.57,188.8279640307547,0.0020458,0.029621107339193112
19,-11.568000000000001,354.2,189.89207461081676,0.0020805,0.0299374347598454
20,-11.544,354.83,190.9502553022645,0.0021151,0.0302502892548154
21,-11.52,355.46,192.00260414900626,0.0021498000000000003,0.030560104711862494
22,-11.496,356.09,193.0492165226267,0.0021844,0.030866810654811744
23,-11.472,356.72,194.0901852232616,0.0022191,0.031170338464636536
24,-11.448,357.36,195.12560057562922,0.0022537,0.0314710978518386
25,-11.424,357.99,196.1555505204989,0.0022884,0.031769482211707514
26,-11.4,358.62,197.1801207018598,0.002323,0.03206399850299398
27,-11.376,359.25,198.19939455003387,0.0023577,0.03235583409526016
28,-11.352,359.88,199.21345336096155,0.0023923,0.03264659247149693
29,-11.328000000000001,360.74,200.62651868584072,0.0024557,0.03350074626034471
30,-11.304,361.69,202.19544999826283,0.0025313,0.03456587912956938
31,-11.28,362.64,203.75475454575286,0.0026069,0.03560056179332006
32,-11.256,363.59,205.30221625691235,0.0026825,0.0366046445140504
33,-11.232000000000001,364.55,206.83810093887442,0.0027581999999999997,0.037583240945932274
34,-11.208,365.5,208.36026492592103,0.0028338,0.03853569773599538
35,-11.184,366.45,209.87377158663728,0.0029094,0.03946517452134223
36,-11.16,367.4,211.3764414498456,0.002985,0.040374496900890296
37,-11.136,368.35,212.8685040112792,0.0030606,0.04126257384119415
38,-11.112,369.3,214.34784813475503,0.0031362,0.04213312236234101
39,-11.088000000000001,370.26,215.81936891762055,0.0032118,0.04298488106299702
40,-11.064,371.21,217.28092415120108,0.0032874000000000002,0.04382008671830762
41,-11.04,372.16,218.73271360269823,0.003363,0.04464078852350169
42,-11.016,373.11,220.17265951975054,0.0034386,0.04544557184148968
43,-10.992,374.06,221.60550534677608,0.0035142000000000003,0.046237430724468245
44,-10.968,375.02,223.0291460773681,0.0035898,0.04701489125798336
45,-10.943999999999999,375.97,224.4415291339818,0.0036654,0.04777970280359642
46,-10.92,376.92,225.8472935414547,0.0037410000000000004,0.04853349358947901
47,-10.896,377.87,227.2443618662518,0.0038166000000000003,0.049274739979019676
48,-10.872,378.82,228.63289352147035,0.0038923,0.050005999640043194
49,-10.847999999999999,379.77,230.01086930838724,0.0039679,0.05072573311446568
50,-10.824,380.73,231.38279970646047,0.0040435,0.05143539637253707
51,-10.8,381.68,232.74664336999578,0.0041191,0.0521363596734563
52,-10.776,382.63,234.10254163507068,0.0041947,0.0528270763908055
53,-10.752,383.58,235.44850817110733,0.0042703,0.05350981218430878
54,-10.728,384.53,236.7889355523184,0.0043459,0.054183023171469495
55,-10.703999999999999,385.49,238.12181756403592,0.0044215,0.05484797170360997
56,-10.68,386.44,239.44728021007046,0.0044971,0.05550585554696009
57,-10.656,387.39,240.76336930687773,0.0045727,0.05615514224004779
58,-10.632,388.34,242.0743687382041,0.0046483,0.0567978872846517
59,-10.607999999999999,389.29,243.37830634631345,0.0047239000000000005,0.05743256915722994
60,-10.584,390.24,244.6732515008537,0.0047995,0.058060313467979144
61,-10.56,391.2,245.96341191323557,0.0048751,0.058682194914641696
62,-10.536,392.15,247.24684022247888,0.004950700000000001,0.0592967115445705
63,-10.512,393.1,248.52364072659165,0.0050264,0.0599057593224558
64,-10.488,394.05,249.79191339993375,0.005102,0.06050785073029779
65,-10.464,395.0,251.05577069647293,0.0051776,0.06110400968839934
66,-10.440000000000001,395.96,252.3132973111009,0.0052532,0.0616952186153838
67,-10.416,396.91,253.5645874328669,0.0053288,0.062280012845213825
68,-10.392,397.86,254.80777068213598,0.0054044,0.06286016226514214
69,-10.367999999999999,398.81,256.0468707092512,0.0054800000000000005,0.06343421789539144
70,-10.344000000000001,399.76,257.2800031094527,0.0055556,0.06400312492370978
71,-10.32,400.71,258.5072532831526,0.0056312,0.06456779382943172
72,-10.296,401.75,259.7556544139126,0.0057349,0.0654408129533856
73,-10.272,402.86,261.024903026512,0.0058643,0.06658678547579844
74,-10.248,403.97,262.2861033299325,0.0059937,0.06771262806892078
75,-10.224,405.08,263.54316534488237,0.0061232,0.06882078174505141
76,-10.2,406.18,264.7942597565136,0.0062526,0.06991065727054781
77,-10.176,407.29,266.0394707557508,0.006382,0.07098450535152019
78,-10.152,408.4,267.27700986055646,0.0065114,0.0720416546173115
