,x,TMean,T_rms
0,cm,K,K
1,0.0,1272.9,534.181617055473
2,0.012,1272.5,534.265851426048
3,0.024,1272.1,534.3500725180077
4,0.036000000000000004,1271.7,534.4342803376295
5,0.048,1271.3,534.5184748911865
6,0.06,1270.9,534.6026561849463
7,0.07200000000000001,1270.5,534.686824225172
8,0.084,1270.1,534.7709790181214
9,0.096,1269.6,534.8551205700475
10,0.108,1269.2,534.9392488871985
11,0.12,1268.8,535.0140185079266
12,0.132,1268.4,535.0981218430877
13,0.14400000000000002,1268.0,535.1822119614964
14,0.156,1267.6,535.2662888693814
15,0.168,1267.2,535.3503525729669
16,0.18,1266.8,535.4344030784723
17,0.192,1266.4,535.518440392112
18,0.20400000000000001,1266.0,535.6024645200954
19,0.216,1265.6,535.6864754686271
20,0.22799999999999998,1265.2,535.770473243907
21,0.24,1264.8,535.8544578521298
22,0.252,1264.4,535.9384292994858
23,0.264,1264.0,536.0223875921602
24,0.27599999999999997,1263.6,536.1063327363332
25,0.28800000000000003,1263.2,536.1902647381804
26,0.3,1262.8,536.2741836038725
27,0.312,1262.3,536.3580893395755
28,0.32399999999999995,1261.9,536.4419819514502
29,0.336,1261.5,536.5258614456529
30,0.348,1261.1,536.6097278283352
31,0.36,1260.7,536.6935811056436
32,0.372,1260.3,536.7774212837198
33,0.384,1259.9,536.8612483687009
34,0.396,1259.5,536.9450623667192
35,0.40800000000000003,1259.1,537.0288632839021
36,0.42,1258.7,537.1126511263722
37,0.432,1258.3,537.1964259002474
38,0.44400000000000006,1257.9,537.2801876116408
39,0.45599999999999996,1257.5,537.3639362666609
40,0.468,1257.1,537.4476718714111
41,0.48,1256.7,537.5313944319904
42,0.492,1256.3,537.6151039544927
43,0.504,1255.9,537.6988004450075
44,0.516,1255.4,537.7824839096194
45,0.528,1255.0,537.8661543544081
46,0.54,1254.6,537.949811785449
47,0.5519999999999999,1254.2,538.0334562088124
48,0.5640000000000001,1253.8,538.1170876305639
49,0.5760000000000001,1253.4,538.2007060567647
50,0.588,1253.0,538.2843114934709
51,0.6,1252.6,538.3679039467341
52,0.612,1252.2,538.4514834226014
53,0.624,1251.8,538.5350499271148
