Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
0,345,345,345,345,345,345
1.5,474.7170208,480.1175,513.0755625,571.2472083,597.3790208,682.6544167
3,585.3409592,590.3476735,629.8585714,695.2090612,723.2474286,808.9884286
4.5,695.4889583,701.08375,746.1409792,818.6697917,849.0590625,935.0677292
6,769.2114694,773.1174898,824.1791429,898.7495918,925.6089388,1001.399306
7.5,842.4221667,845.5549583,901.9304167,978.24675,1002.322854,1067.0475
9,893.5862449,895.779,956.5692857,1030.303878,1047.765918,1100.764694
10.5,944.3259167,946.0734792,1011.307563,1081.903125,1093.658333,1133.327708
12,981.4180816,982.6538163,1050.683265,1113.541429,1118.346122,1146.392041
13.5,1018.320854,1018.892458,1090.518958,1144.945,1143.745417,1158.1125
15,1045.219592,1045.902449,1117.733061,1160.566327,1154.112449,1158.30449
16.5,1072.216875,1072.167708,1145.640208,1176.153958,1165.364792,1157.269167
18,1091.025918,1091.755918,1162.576327,1179.105714,1165.337143,1149.696122
19.5,1110.123125,1110.318125,1180.219167,1182.145,1166.207292,1141.139583
21,1122.52898,1123.887551,1188.401633,1176.185306,1158.963673,1128.621429
22.5,1135.352292,1136.220625,1197.102917,1170.332083,1152.4825,1115.324167
24,1142.580408,1144.915714,1197.824082,1158.586327,1140.893061,1099.92898
25.5,1150.286042,1152.18375,1198.816458,1146.829167,1129.905625,1083.846667
27,1152.946531,1156.564694,1193.78898,1131.333673,1115.580204,1066.963265
28.5,1156.062917,1159.375833,1188.788333,1115.675625,1101.749792,1049.422917
30,1155.006327,1160.050612,1179.471429,1097.870816,1085.185102,1031.810755
31.5,1154.365417,1159.075,1169.985,1079.7925,1069.055292,1013.549875
33,1150.253469,1156.829796,1157.309592,1060.433878,1050.913143,995.6156531
34.5,1146.486042,1152.88625,1144.390833,1040.731583,1033.149292,977.0629167
36,1139.830816,1148.083469,1129.134082,1020.256245,1013.983367,958.9839184
37.5,1133.35375,1141.600625,1113.704375,999.4865,995.1105208,940.3455625
39,1124.260408,1134.312857,1096.291837,978.3757959,975.5798163,922.3654082
40.5,1115.11375,1125.501667,1078.890625,957.1589167,956.2124375,903.9178333
42,1103.982245,1115.922041,1059.623265,936.0094694,936.7055714,886.399
43.5,1092.571667,1105.066875,1040.584771,914.956125,917.1515417,868.561375
45,1079.886939,1093.520408,1020.064122,894.4023061,898.0882449,851.7177755
46.5,1066.738729,1080.980625,999.9687708,874.0615,878.701125,834.7178333
48,1052.855816,1067.95349,979.1717551,854.2763878,860.420551,818.5914286
49.5,1038.394396,1054.218042,958.9100208,834.7400833,841.5406875,802.4137917
51,1023.73002,1040.23098,938.296449,815.7004286,824.2697551,786.9949592
52.5,1008.429667,1025.730875,918.1969167,796.8753958,806.1716042,771.611
54,993.6240612,1011.157061,897.707,778.978449,789.9653469,756.7983061
55.5,978.147375,996.1196458,877.6814583,761.1797292,772.7906875,742.1688333
57,963.710449,981.4284286,857.490449,744.8084082,757.5177551,728.0169388
58.5,948.5663333,966.2317083,837.7690417,728.3501667,741.2132083,714.247625
60,934.5260612,951.7683061,818.1927551,713.6444694,726.7355714,700.814
61.5,919.7428333,936.7508125,799.1343542,698.6752083,711.21825,687.9329375
63,906.012102,922.7762857,780.6350816,685.4563265,697.5786939,675.2631837
64.5,891.5096042,908.2145833,762.7061042,671.8782917,682.932875,663.2325
66,878.0136735,894.8954082,745.3328571,659.9196122,670.0666939,651.2258776
67.5,863.7266667,880.9421458,728.5595,647.5689167,656.2430833,639.8583333
69,850.6663673,868.2331837,712.1175102,636.5982653,644.1429592,628.3916122
70.5,836.8096875,854.8147292,696.2872708,625.2240417,631.10975,617.5181042
72,824.4173469,842.4677959,680.9365306,615.0339592,619.9114898,606.5734694
73.5,811.251125,829.3108542,666.2138333,604.451375,607.7732708,596.1668542
75,799.5252245,817.5047551,652.0533469,595.0128163,597.467,585.7677551
76.5,787.0939583,804.7748958,638.5309375,585.2279375,586.2254375,575.8593125
78,775.9312245,793.7544694,625.416898,576.3640204,576.8303673,566.110449
79.5,764.1830625,781.709375,612.9200417,567.2020417,566.5466667,556.8281042
81,753.4793061,771.6340204,600.7902857,558.8167755,557.8258571,547.7264694
82.5,742.3417083,760.4659583,589.2439583,550.1654167,548.3137292,539.0854375
84,732.0954082,751.0722653,577.9873061,542.1901224,540.0322653,530.6122041
85.5,721.5707292,740.54725,567.3059583,533.995375,531.0936458,522.5864167
87,711.6952245,731.5708776,556.9200612,526.338898,523.1437551,514.7439388
88.5,701.6725417,721.4611875,547.1295625,518.5399583,514.6888542,507.298375
90,692.1956939,712.8025306,537.5761633,511.1758367,507.0580204,500.1264694
91.5,682.6366875,703.0489792,528.6325625,503.7630208,499.058,493.2600625
93,673.5353673,694.6810204,519.8704694,496.6937347,491.81,486.7253265
94.5,664.3428542,685.2800208,511.6950417,489.665625,484.2918958,480.4083333
96,655.6221837,677.2623878,503.4852245,483.0053878,477.456,474.3208571
97.5,646.7662083,668.2820625,495.8068125,476.4665208,470.420875,468.4024792
99,638.3533673,660.5953878,488.0422041,470.257898,463.9687959,462.6428571
100.5,629.7635208,652.0145208,480.7519583,464.2385208,457.3615833,457.0170625
102,621.7912245,644.5295102,473.4222449,458.3839184,451.3850816,451.5375306
103.5,613.6116458,636.205625,466.5264167,452.7672917,445.2643125,446.1375833
105,606.2616122,628.952102,459.6559592,447.1985306,439.7792653,441.0039388
106.5,598.6681667,620.8883125,453.185375,441.8841875,434.1460417,435.873
108,591.967449,613.9069184,446.8121224,436.5089184,428.9820204,431.1625102
109.5,584.9806667,606.1146667,440.7815208,431.3704375,423.6853542,426.362875
111,578.8303878,599.5126327,434.8472653,426.1955918,418.6903061,422.0806531
112.5,572.3737708,592.088,429.167875,421.2238958,413.6131875,417.6264167
114,566.6576327,585.8385918,423.6518367,416.2488367,408.7461429,413.6698367
115.5,560.6450208,578.779,418.2972917,411.43425,403.8732917,409.4865417
117,555.3394694,572.7913878,413.1232857,406.7066327,399.1831633,405.7399592
118.5,549.7506667,566.0586042,408.0509583,402.0852292,394.5668958,401.7356875
120,544.7664286,560.2079796,403.185551,397.7084286,390.062,398.168102
