Z,m=12.68,m=17.05,m=22.37
0.00125,8.819300833,10.10477229,12.44212813
0.00875,14.40895458,15.59851,17.21134021
0.01625,17.13253313,17.81961396,17.65771542
0.02375,18.71100667,18.71793271,17.21998365
0.03125,19.43675021,18.86712833,16.60511125
0.03875,19.77786813,18.89355271,16.05016023
0.04625,19.88080292,18.84733229,15.54801146
0.05375,19.94214792,18.68679417,15.12308192
0.06125,19.96079542,18.37892479,14.78734558
0.06875,19.91358271,17.96088938,14.59488708
0.07625,19.79129104,17.49834521,14.49177396
0.08375,19.615045,17.05336917,14.42460542
0.09125,19.41896542,16.64459104,14.36987708
0.09875,19.23294646,16.2518375,14.31390188
0.10625,19.07961833,15.86523479,14.26265125
0.11375,18.96718854,15.47276146,14.21917979
0.12125,18.89140458,15.1119725,14.19466188
0.12875,18.84596188,14.81702063,14.20619438
0.13625,18.8274425,14.59568333,14.25673021
0.14375,18.83529375,14.45946188,14.34419229
0.15125,18.87192646,14.41661542,14.47077875
0.15875,18.94138229,14.47757396,14.63539521
0.16625,19.04646292,14.61131208,14.84376417
0.17375,19.18443146,14.80134458,15.08907563
0.18125,19.35099729,15.05395646,15.36252
0.18875,19.53832333,15.34552938,15.66275667
0.19625,19.734055,15.65925229,15.98749125
0.20375,19.92617479,15.98817313,16.34085583
0.21125,20.10777333,16.32684063,16.71592396
0.21875,20.27809688,16.67822917,17.11471208
0.22625,20.43977667,17.0375025,17.53271771
0.23375,20.59160479,17.39793688,17.95714229
0.24125,20.73258021,17.75646604,18.38775375
0.24875,20.86006083,18.09989146,18.82715125
0.25625,20.9727925,18.42093188,19.27616292
0.26375,21.06979625,18.71507813,19.72913479
0.27125,21.15033083,18.98072375,20.17342917
0.27875,21.21268604,19.21185396,20.60197458
0.28625,21.25341792,19.40530875,21.01080958
0.29375,21.27049167,19.56772333,21.39852813
0.30125,21.26550729,19.70147542,21.76469792
0.30875,21.24239021,19.80708208,22.11899188
0.31625,21.20652792,19.89165167,22.47292271
0.32375,21.16306875,19.95803021,22.81739271
0.33125,21.11438938,20.01413208,23.13863
0.33875,21.06301271,20.06765479,23.44287917
0.34625,21.01221063,20.11888521,23.73204875
0.35375,20.96516167,20.17152208,24.00321208
0.36125,20.92559333,20.22622396,24.25111375
0.36875,20.89736938,20.29199979,24.48053979
0.37625,20.88288521,20.37840063,24.71284313
0.38375,20.88503646,20.48214479,24.94631667
0.39125,20.90521313,20.598055,25.185855
0.39875,20.94463729,20.7245325,25.43113604
0.40625,21.00734125,20.86774,25.66572146
0.41375,21.09629229,21.03103708,25.8880075
0.42125,21.207305,21.21016583,26.10200792
0.42875,21.33496396,21.407025,26.30838729
0.43625,21.47806833,21.62349917,26.51515333
0.44375,21.64128729,21.85609688,26.72333646
0.45125,21.82243583,22.0976525,26.92359438
0.45875,22.01961396,22.34878792,27.11780479
0.46625,22.230375,22.60850958,27.31100938
0.47375,22.4524725,22.87774604,27.50895771
0.48125,22.68512375,23.15168063,27.71101313
0.48875,22.92569021,23.42717229,27.91883604
0.49625,23.17276083,23.70303688,28.12958458
0.50375,23.42494125,23.98428,28.33689396
0.51125,23.67927979,24.26960063,28.54585167
0.51875,23.93456375,24.55682958,28.75786542
0.52625,24.18981979,24.84846167,28.9734875
0.53375,24.4455425,25.14127354,29.18461292
0.54125,24.70080167,25.4305075,29.39064625
0.54875,24.95532083,25.71680063,29.59520208
0.55625,25.20865583,25.99886896,29.79813396
0.56375,25.45958479,26.27663875,30.00010438
0.57125,25.70877063,26.55018917,30.19978563
0.57875,25.95599521,26.82017667,30.39497292
0.58625,26.19983104,27.08781479,30.59055167
0.59375,26.43887396,27.35201042,30.78466688
0.60125,26.67403083,27.61598292,30.97999354
0.60875,26.90486458,27.87654938,31.18339646
0.61625,27.13062646,28.13363813,31.38876208
0.62375,27.34991813,28.38894208,31.59471563
0.63125,27.56407458,28.64178,31.81024771
0.63875,27.77294833,28.8894025,32.02890646
0.64625,27.97528417,29.12830354,32.24327917
0.65375,28.17302479,29.36035875,32.4539825
0.66125,28.36867667,29.58814229,32.66906833
0.66875,28.56373208,29.81175021,32.89267979
0.67625,28.75641771,30.03383813,33.12870938
0.68375,28.94867125,30.25568688,33.36389333
0.69125,29.13906688,30.47286521,33.59548667
0.69875,29.32740188,30.68541417,33.82836896
0.70625,29.51322167,30.89517813,34.06056583
0.71375,29.69863813,31.10410854,34.28856104
0.72125,29.88404708,31.31572979,34.51837021
0.72875,30.06779063,31.52620396,34.74685604
0.73625,30.25192292,31.73233708,34.97339583
0.74375,30.43531708,31.93627417,35.19728646
0.75125,30.61968625,32.13997667,35.42183083
0.75875,30.80404708,32.34146792,35.64803563
0.76625,30.99067479,32.53535875,35.87555667
0.77375,31.17884917,32.72195708,36.102215
0.78125,31.36774167,32.90817792,36.32904313
0.78875,31.55705083,33.09491292,36.55209667
0.79625,31.74875896,33.28116875,36.77397021
0.80375,31.94174167,33.46333021,36.99965688
0.81125,32.13479563,33.64103813,37.22365146
0.81875,32.32734958,33.81763188,37.4414375
0.82625,32.51864,33.99242979,37.6538125
0.83375,32.70744667,34.16454042,37.86289146
0.84125,32.89471458,34.33507354,38.06848958
0.84875,33.07955063,34.50276208,38.27281917
0.85625,33.26173708,34.67039979,38.47241917
0.86375,33.43884292,34.84039958,38.66722396
0.87125,33.61183229,35.01071042,38.85980604
0.87875,33.78330542,35.17710521,39.04413354
0.88625,33.95429854,35.33988875,39.22613521
0.89375,34.12152625,35.50099563,39.40517125
0.90125,34.28528,35.65892625,39.58660875
0.90875,34.44606896,35.8144625,39.77093542
0.91625,34.60257542,35.96779188,39.95259583
0.92375,34.75368979,36.12422083,40.13249521
0.93125,34.90045438,36.27967813,40.30873375
0.93875,35.04592417,36.43265958,40.48579438
0.94625,35.18758042,36.5814925,40.66523583
0.95375,35.32861896,36.73403583,40.8515525
0.96125,35.46309458,36.88849021,41.03844208
0.96875,35.59874833,37.05432271,41.23135333
0.97625,35.73330396,37.22395125,41.41921104
0.98375,35.86909521,37.40348146,41.62104167
0.99125,36.02002854,37.60806583,41.84912521
0.99875,36.15082875,37.80171396,42.08639708
