Z,CH4_m=10.6,C2H6_m=10.2,C2H4_m=11.5
0.00125,7.62546,6.603904583,8.502741042
0.00875,13.28557854,12.07657396,14.40150646
0.01625,15.87661292,14.62295167,17.34268354
0.02375,16.94355438,16.09267833,18.77149188
0.03125,17.36451229,16.81825021,19.42497979
0.03875,17.36902458,17.17715917,19.63282771
0.04625,17.312595,17.28497625,19.67474458
0.05375,17.16769208,17.29367917,19.66595979
0.06125,16.93668063,17.26165042,19.57220208
0.06875,16.66945917,17.17206958,19.39824854
0.07625,16.41977708,17.03157063,19.19337417
0.08375,16.20093875,16.86793375,18.99668104
0.09125,16.00830729,16.70942083,18.82854958
0.09875,15.83679521,16.57059875,18.69792146
0.10625,15.68508375,16.45550271,18.60308042
0.11375,15.5586125,16.36260625,18.54012333
0.12125,15.46589563,16.29211125,18.50761542
0.12875,15.41519292,16.24688146,18.50895479
0.13625,15.41091271,16.23218,18.54938188
0.14375,15.45334792,16.25477625,18.63407896
0.15125,15.54031542,16.32130292,18.76652021
0.15875,15.66407271,16.4350775,18.94514958
0.16625,15.81026271,16.592295,19.16028563
0.17375,15.95945167,16.77903021,19.39465708
0.18125,16.09807354,16.97887646,19.62864729
0.18875,16.21185063,17.1718475,19.84383708
0.19625,16.29567833,17.33936792,20.02683125
0.20375,16.34678917,17.4680575,20.16883125
0.21125,16.36669521,17.55309833,20.26550021
0.21875,16.35782875,17.59377438,20.31773875
0.22625,16.32320646,17.59194708,20.32894125
0.23375,16.26644854,17.55191875,20.30359
0.24125,16.19133458,17.48003854,20.24650646
0.24875,16.10080396,17.38227979,20.16241771
0.25625,15.99781167,17.26477021,20.05766458
0.26375,15.88459854,17.13115563,19.9378675
0.27125,15.76681396,16.98645521,19.80883667
0.27875,15.64776563,16.83699417,19.67310292
0.28625,15.52910354,16.68863313,19.53273104
0.29375,15.41108521,16.54354125,19.39013354
0.30125,15.29539333,16.40405833,19.24802563
0.30875,15.18346688,16.27201125,19.10889292
0.31625,15.07735146,16.14801208,18.97631938
0.32375,14.97832333,16.03394104,18.85374354
0.33125,14.88657438,15.93001417,18.74415125
0.33875,14.80448125,15.837305,18.64866396
0.34625,14.73389167,15.75767417,18.56809646
0.35375,14.67687063,15.69142688,18.50339104
0.36125,14.63392958,15.63788833,18.45449729
0.36875,14.60478458,15.5959625,18.42100375
0.37625,14.58876854,15.56579021,18.40201125
0.38375,14.58400479,15.54751104,18.39728938
0.39125,14.58921271,15.54029625,18.40538917
0.39875,14.60314229,15.54464458,18.42759771
0.40625,14.62497938,15.55906375,18.46146979
0.41375,14.65461542,15.58289479,18.50656458
0.42125,14.69095292,15.61812188,18.56331917
0.42875,14.73396625,15.66344438,18.633955
0.43625,14.78279708,15.71701521,18.71843813
0.44375,14.83737833,15.7787325,18.81564125
0.45125,14.89714479,15.84855146,18.92299438
0.45875,14.96130208,15.92724208,19.03992438
0.46625,15.02984813,16.01610625,19.16632938
0.47375,15.10388229,16.11400208,19.29983125
0.48125,15.18218271,16.22117167,19.44023854
0.48875,15.26466208,16.33530333,19.58649833
0.49625,15.35007042,16.45423229,19.73682146
0.50375,15.43696021,16.57648542,19.88872104
0.51125,15.52536208,16.70107396,20.04230625
0.51875,15.61318375,16.82845771,20.19684396
0.52625,15.70165,16.95689479,20.35182021
0.53375,15.78967021,17.08644333,20.50683604
0.54125,15.87703813,17.21644438,20.66097313
0.54875,15.96383375,17.34553021,20.81368313
0.55625,16.05114208,17.47223313,20.96498875
0.56375,16.13778917,17.59663771,21.11315646
0.57125,16.22252729,17.71813458,21.25936875
0.57875,16.30591167,17.83733646,21.40227667
0.58625,16.38765146,17.95296208,21.54143542
0.59375,16.46730958,18.06364938,21.67821438
0.60125,16.54628333,18.17011917,21.81445375
0.60875,16.62593271,18.2722575,21.95120625
0.61625,16.70623875,18.37171104,22.08796146
0.62375,16.78777438,18.46779,22.22499771
0.63125,16.87089063,18.56113042,22.36103688
0.63875,16.95498063,18.65303833,22.49466063
0.64625,17.04146667,18.74384229,22.62566958
0.65375,17.12961896,18.83346271,22.75481708
0.66125,17.21757604,18.92042188,22.88123354
0.66875,17.30442479,19.00572688,23.00425854
0.67625,17.39158,19.09054563,23.12559563
0.68375,17.48004167,19.17297667,23.24512458
0.69125,17.56869854,19.25282771,23.36379438
0.69875,17.65863625,19.33021563,23.48037083
0.70625,17.75285083,19.40632917,23.59540542
0.71375,17.85025396,19.48147208,23.70898167
0.72125,17.94794417,19.5557975,23.81977396
0.72875,18.04429521,19.62955938,23.92859042
0.73625,18.14050979,19.70249,24.03452688
0.74375,18.23566896,19.77395646,24.13811271
0.75125,18.32782688,19.84388229,24.2400975
0.75875,18.41657313,19.91347438,24.34158854
0.76625,18.50280646,19.98360708,24.44470021
0.77375,18.58798125,20.05442063,24.55098458
0.78125,18.67249438,20.12473458,24.65944229
0.78875,18.75689813,20.19344792,24.7695875
0.79625,18.84097417,20.26059083,24.88081542
0.80375,18.92389333,20.32825125,24.9925975
0.81125,19.00640875,20.39801042,25.10431667
0.81875,19.08783979,20.47023167,25.21687604
0.82625,19.16827688,20.54426938,25.33041458
0.83375,19.24763917,20.61734625,25.44477688
0.84125,19.32541667,20.68819667,25.55854604
0.84875,19.40098333,20.75626229,25.67056375
0.85625,19.47495625,20.82347208,25.78087
0.86375,19.54871542,20.89080938,25.89025563
0.87125,19.62236563,20.95911313,25.99952708
0.87875,19.69665,21.027015,26.10916417
0.88625,19.77090354,21.09648104,26.21858542
0.89375,19.84483479,21.16664208,26.32751833
0.90125,19.91803833,21.23631,26.43671667
0.90875,19.9911975,21.30624917,26.54592938
0.91625,20.06333188,21.37607938,26.65444542
0.92375,20.1364475,21.44660167,26.76291083
0.93125,20.20845542,21.51575396,26.87114208
0.93875,20.28092396,21.584025,26.97928729
0.94625,20.3512975,21.65061438,27.08616583
0.95375,20.42356271,21.71785604,27.19479292
0.96125,20.49588958,21.78502813,27.30305125
0.96875,20.57123229,21.85546333,27.41415083
0.97625,20.64937292,21.92766229,27.52787021
0.98375,20.72972708,22.00344292,27.64401167
0.99125,20.83465667,22.09757417,27.78020333
0.99875,20.93432146,22.17198875,27.89534313
