Mass_Flux_365,Z=365mm,Mass_Flux_537,Z=537mm,Mass_Flux_771,Z=771mm,Mass_Flux_1022,Z=1022mm,Mass_Flux_1317,Z=1317mm
8.8,21.25,8.8,27.1333,8.8,37.8833,8.8,54.2,8.8,63.1333
17.1,27.25,17.1,34.75,17.1,55.8833,17.1,75.25,17.1,87.5
29.3,42.25,29.3,58.5,29.3,79.8833,29.3,102.2,29.3,114
