Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
0,512.6431224,495.8109184,476.1904694,462.6167347,484.6172245,475.7611429
1.5,594.80075,583.8160417,593.4488958,629.625375,664.478625,721.7456667
3,674.6547347,663.6507959,678.7487755,719.4481224,754.429551,810.7974082
4.5,754.1649792,743.9156042,763.646625,808.8051458,844.3335833,899.7432917
6,807.4384286,795.745898,818.5877959,863.489102,896.5069184,944.9174286
7.5,860.2690417,847.9430625,873.2976458,917.6925208,948.7649583,989.6876667
9,895.8969184,882.2128163,909.869898,952.0112449,979.7878163,1013.816122
10.5,931.1519375,916.6175,946.4275625,986.01375,1011.106063,1037.234583
12,956.3304286,940.8544694,972.0731633,1007.336061,1029.406531,1049.211224
13.5,981.3245833,964.9554583,997.8679167,1028.546667,1048.204583,1060.350208
15,999.6072041,982.8949796,1015.911837,1040.963061,1058.33449,1065.237143
16.5,1017.8685,1000.458667,1034.203958,1053.425625,1069.072083,1069.348542
18,1031.21898,1013.87198,1046.530204,1059.233878,1073.363673,1069.755714
19.5,1044.634792,1026.756458,1059.108333,1065.177708,1078.2575,1069.532083
21,1054.385306,1036.696327,1066.777143,1066.298776,1078.453673,1066.714694
22.5,1064.260417,1046.000833,1074.612292,1067.57375,1079.192708,1063.394792
24,1071.192857,1053.212245,1078.376531,1065.386122,1076.68102,1058.30551
25.5,1078.271042,1059.689583,1082.205833,1063.28625,1074.664792,1052.78875
27,1082.782857,1064.536327,1082.888776,1058.649592,1070.177143,1046.229184
28.5,1087.447083,1068.570625,1083.545833,1054.00375,1066.147083,1039.274167
30,1090.03102,1071.632857,1081.778367,1047.495918,1059.960408,1031.63102
31.5,1092.807083,1073.8225,1079.909375,1040.877917,1054.191458,1023.585
33,1093.774898,1075.529388,1076.131429,1032.833265,1046.638571,1015.154122
34.5,1094.961458,1076.3175,1072.230625,1024.577292,1039.427083,1006.288063
36,1094.471224,1076.708571,1066.758163,1015.241122,1030.744286,997.2641633
37.5,1094.147917,1076.187708,1061.212708,1005.664063,1022.27375,987.776625
39,1092.145714,1075.231633,1054.203061,995.2692857,1012.797633,978.3032653
40.5,1090.211875,1073.452083,1047.220417,984.6974167,1003.36575,968.3832917
42,1086.890204,1071.126531,1038.799388,973.5954082,993.2671633,958.7292449
43.5,1083.529167,1068.103125,1030.531042,962.3929792,983.0051042,948.7314792
45,1079.135918,1064.509592,1020.936327,950.9817959,972.5079796,938.9441429
46.5,1074.61125,1060.3525,1011.639438,939.4962917,961.6204167,928.9476667
48,1069.29102,1055.681837,1001.31051,927.8814898,950.9935714,919.003449
49.5,1063.78375,1050.585625,991.3708125,916.1835417,939.752625,908.9470208
51,1057.713469,1045.074082,980.3888571,904.4657551,929.2369184,898.8800612
52.5,1051.416458,1039.225625,969.8067708,892.6198542,917.916375,888.7917292
54,1044.95449,1033.056959,958.0982449,881.1023673,907.566551,878.5938367
55.5,1038.207917,1026.582583,946.7793333,869.3609583,896.2917708,868.5210208
57,1031.592918,1020.047612,934.5066327,858.2554082,885.9455306,858.3028367
58.5,1024.615979,1013.203333,922.6369375,846.8050625,874.608875,848.4068542
60,1017.85351,1006.506551,910.0430204,836.2136939,864.2936122,838.2422857
61.5,1010.654229,999.4852292,897.8755625,825.1951042,852.9475208,828.5925833
63,1003.673224,992.811102,885.3239388,815.118551,842.7643673,818.4975918
64.5,996.1906458,985.7884583,873.1908333,804.6092083,831.516125,809.0537083
66,988.9609184,979.1484082,860.7906531,794.9875102,821.4308571,798.9912653
67.5,981.181625,972.1121042,848.7625833,784.9691458,810.2326042,789.64025
69,973.8711224,965.4196327,836.5550612,775.7397143,800.3675918,779.6586939
70.5,965.9824583,958.2635,824.6850833,766.1420833,789.3138542,770.4012917
72,958.7109796,951.4357551,812.867,757.2655102,779.8828571,760.5962245
73.5,950.8694375,944.0714583,801.388625,748.0398958,769.173125,751.5128125
75,943.7343265,937.2907959,790.0766939,739.5148571,760.2677959,741.9325102
76.5,936.096875,929.8937708,779.1183333,730.6680208,750.0171042,733.0702083
78,928.9390204,923.3354898,768.2182857,722.3329592,741.6479796,723.8247755
79.5,921.4059792,916.0624375,757.6879792,713.6926042,731.9326458,715.3053125
81,914.1280816,909.722551,747.1787347,705.510449,723.9015102,706.424
82.5,906.6373333,902.5571667,737.0859375,697.0269792,714.6094583,698.2781667
84,899.3238367,896.3138776,727.0122041,689.0726939,706.7192245,689.7625714
85.5,891.9540417,889.1359583,717.4551875,680.8402083,697.7302292,681.968125
87,884.5657959,882.9425306,707.9470612,673.1392857,689.8941429,673.9061837
88.5,877.2269375,875.7341667,699.078625,665.2118125,681.1637917,666.5014167
90,869.8484898,869.6447755,690.1303673,657.7423469,673.4140204,659.0003061
91.5,862.5479167,862.5061875,681.9054792,650.1184167,664.9559792,652.057125
93,855.2388163,856.4896531,673.3840816,642.9400816,657.4222857,645.1035306
94.5,847.9709375,849.4292708,665.607625,635.6938333,649.32075,638.6317292
96,840.7533061,843.5226939,657.4059592,628.8533469,642.0496735,632.083898
97.5,833.5124375,836.6133125,649.93325,622.0408125,634.3171458,625.9887292
99,826.3921837,830.7864286,642.0113061,615.5774286,627.2998367,619.7402857
100.5,819.1896042,824.0305417,634.7988958,609.2346042,619.8878125,613.9212292
102,812.3302041,818.2648776,627.1887959,603.067,613.2762449,607.9013878
103.5,805.3558542,811.662625,620.2766667,597.0993125,606.2905625,602.258
