s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,RAD_x70_y70_z10,RAD_x70_y70_z35,RAD_x70_y70_z60,RAD_x70_y70_z85,RAD_x70_y70_z110,RAD_x70_y70_z135
0,0,0,0,0,0,0
0.201,-0.00337,-0.00377,-0.00406,-0.0041,-0.0046,-0.00492
0.406,-0.00246,-0.00267,-0.00304,-0.00325,-0.00361,-0.00379
0.602,-0.000789,-0.00143,-0.00178,-0.00195,-0.0019,-0.00187
0.804,0.0372,0.0158,0.00704,0.0011,-8.36E-05,-0.00127
1,0.0698,0.0468,0.0312,0.0164,0.0103,0.00355
1.2,0.0967,0.0659,0.0458,0.0267,0.0173,0.00955
1.4,0.123,0.0844,0.0596,0.0361,0.0239,0.014
1.6,0.148,0.0992,0.0702,0.0432,0.0288,0.0177
1.8,0.175,0.116,0.0823,0.051,0.0342,0.0211
2,0.195,0.132,0.0947,0.0588,0.0397,0.0246
2.2,0.211,0.142,0.102,0.0642,0.0434,0.0279
2.4,0.23,0.159,0.114,0.0716,0.0487,0.031
2.6,0.24,0.173,0.127,0.0822,0.0563,0.0364
2.8,0.255,0.191,0.142,0.0909,0.0623,0.0399
3,0.269,0.196,0.142,0.0923,0.0631,0.0428
3.2,0.285,0.224,0.168,0.109,0.0744,0.048
3.4,0.296,0.227,0.169,0.112,0.0764,0.0512
3.6,0.325,0.251,0.187,0.118,0.0806,0.0527
3.8,0.322,0.277,0.214,0.144,0.0996,0.0655
4,0.343,0.261,0.194,0.128,0.0873,0.0607
4.2,0.373,0.327,0.253,0.163,0.112,0.0701
4.4,0.358,0.291,0.223,0.156,0.108,0.0778
4.6,0.398,0.361,0.285,0.183,0.127,0.0788
4.8,0.376,0.313,0.246,0.182,0.128,0.0954
5,0.421,0.383,0.305,0.203,0.141,0.0876
5.2,0.457,0.367,0.282,0.194,0.135,0.1
5.4,0.45,0.414,0.337,0.232,0.161,0.104
5.6,0.462,0.398,0.311,0.207,0.144,0.101
5.8,0.514,0.476,0.385,0.268,0.187,0.122
6,0.463,0.39,0.306,0.211,0.147,0.109
6.2,0.49,0.499,0.414,0.288,0.201,0.128
6.4,0.497,0.462,0.374,0.247,0.174,0.121
6.6,0.505,0.474,0.409,0.325,0.239,0.176
6.8,0.571,0.545,0.447,0.319,0.227,0.149
7,0.552,0.51,0.42,0.298,0.21,0.144
7.2,0.563,0.552,0.453,0.301,0.213,0.146
7.4,0.578,0.538,0.46,0.366,0.262,0.188
7.6,0.659,0.604,0.487,0.302,0.21,0.136
7.8,0.593,0.583,0.484,0.361,0.253,0.183
8,0.662,0.637,0.511,0.337,0.236,0.149
8.2,0.705,0.729,0.629,0.454,0.319,0.206
8.4,0.602,0.539,0.439,0.315,0.226,0.181
8.6,0.663,0.714,0.638,0.493,0.357,0.218
8.8,0.685,0.632,0.547,0.398,0.299,0.236
9,0.711,0.716,0.616,0.456,0.327,0.223
9.2,0.725,0.75,0.637,0.443,0.315,0.213
9.4,0.685,0.65,0.565,0.44,0.318,0.24
9.6,0.764,0.861,0.774,0.533,0.377,0.219
9.8,0.72,0.717,0.645,0.52,0.377,0.286
10,0.728,0.766,0.702,0.58,0.439,0.317
10.2,0.797,0.799,0.717,0.538,0.399,0.279
10.4,0.782,0.858,0.744,0.495,0.35,0.238
10.6,0.795,0.728,0.653,0.541,0.39,0.29
10.8,0.842,0.954,0.832,0.563,0.398,0.244
11,0.723,0.687,0.613,0.491,0.363,0.283
11.2,0.812,0.861,0.772,0.588,0.437,0.285
11.4,0.712,0.716,0.674,0.57,0.454,0.364
11.6,0.786,0.808,0.707,0.517,0.373,0.229
