m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.000,12.889,10.221,9.031,-0.988,-1.676,0.110,11.900,8.545,9.140,205.699,247.006,287.213,0.000426275,0.000422475,0.000392771
0.005,14.951,11.212,9.782,-0.800,-1.935,-0.338,14.151,9.277,9.444,239.104,283.986,325.314,0.000537348,0.000446474,0.000665999
0.010,15.774,11.693,10.239,-1.070,-2.010,-0.359,14.704,9.683,9.880,253.679,299.774,341.928,0.000507408,0.000496786,0.001086672
0.015,16.508,12.228,10.823,-1.360,-1.923,-0.219,15.148,10.305,10.604,269.358,316.537,358.796,0.000502259,0.000626715,0.001997854
0.020,17.218,12.724,11.545,-1.628,-1.691,0.636,15.590,11.032,12.181,285.319,333.309,376.305,0.000517008,0.000928926,0.003765297
0.025,17.915,13.220,12.382,-1.906,-1.309,2.217,16.009,11.910,14.599,300.521,348.959,396.660,0.000561486,0.001523664,0.007291645
0.030,18.585,13.790,13.202,-2.276,-0.254,8.773,16.309,13.536,21.975,314.258,364.099,434.011,0.000645487,0.002537406,0.016905816
0.035,19.182,14.460,14.826,-2.654,2.196,22.917,16.529,16.655,37.743,326.728,381.451,485.361,0.000811289,0.004257191,0.031437278
0.040,19.687,15.220,17.442,-2.873,7.323,34.787,16.813,22.543,52.229,338.728,407.752,515.703,0.001096142,0.007997,0.035928261
0.045,20.175,16.265,19.484,-3.000,20.639,34.382,17.175,36.905,53.866,350.838,461.962,510.327,0.001618931,0.019335428,0.034046732
0.050,20.734,18.360,20.676,-2.860,35.262,30.793,17.874,53.622,51.469,363.621,515.266,498.032,0.00256095,0.032675721,0.031633265
0.055,21.399,20.353,21.106,-1.984,34.869,27.143,19.415,55.223,48.249,378.250,514.878,486.523,0.004295415,0.033630013,0.029527757
0.060,22.148,22.492,21.122,0.810,31.873,24.066,22.958,54.365,45.187,398.133,503.907,477.958,0.00774733,0.031629261,0.02787848
0.065,22.974,24.314,21.072,8.081,28.619,21.546,31.055,52.933,42.619,433.952,493.722,471.170,0.016885649,0.03012431,0.026562599
0.070,24.629,25.566,20.937,22.208,25.784,19.476,46.836,51.351,40.413,485.434,485.569,465.584,0.03103376,0.02884168,0.025480194
0.075,26.844,26.675,20.864,32.958,23.848,17.751,59.802,50.523,38.615,519.942,479.363,461.289,0.039069671,0.027823174,0.024595605
0.080,28.046,27.682,20.825,31.350,22.597,16.269,59.396,50.279,37.094,515.332,475.442,457.538,0.039052356,0.027075555,0.023882851
0.085,28.961,28.561,20.878,28.254,21.824,14.882,57.215,50.385,35.760,505.262,472.671,454.233,0.037644677,0.026533339,0.023282887
0.090,30.048,29.394,20.915,25.446,21.284,13.434,55.495,50.678,34.349,496.052,470.146,451.120,0.035942275,0.026144879,0.022769447
0.095,31.620,30.156,20.907,23.228,20.810,11.906,54.848,50.966,32.814,488.662,468.300,448.350,0.034406032,0.025882214,0.022342404
0.100,33.449,30.783,21.022,21.560,20.367,10.634,55.008,51.150,31.656,483.570,466.787,445.970,0.033200938,0.025708783,0.021971844
0.105,34.962,31.351,21.172,20.118,19.777,9.308,55.081,51.129,30.480,479.036,465.340,443.730,0.032305792,0.025612321,0.021650016
0.110,35.915,31.826,21.311,18.440,18.652,8.178,54.355,50.478,29.489,474.427,463.272,441.903,0.031546481,0.025535738,0.021369375
0.115,36.596,32.234,21.404,16.655,17.388,7.123,53.251,49.621,28.527,469.870,460.863,440.179,0.030886296,0.025463469,0.021122254
0.120,37.241,32.487,21.530,14.787,16.212,6.081,52.028,48.699,27.611,465.414,458.883,438.530,0.030299427,0.025359266,0.020898214
0.125,37.857,32.635,21.581,13.141,15.080,5.225,50.998,47.715,26.806,461.531,456.965,437.190,0.029778408,0.025218083,0.020711277
0.130,38.289,32.600,21.673,11.713,14.028,5.062,50.002,46.628,26.735,458.325,454.910,436.520,0.029267814,0.025018107,0.020558491
0.135,38.638,32.505,21.766,10.619,13.112,4.973,49.256,45.617,26.739,455.570,453.014,436.040,0.028802199,0.024773531,0.020436501
0.140,38.991,32.370,21.850,9.811,12.249,5.173,48.802,44.619,27.024,453.349,451.286,435.837,0.028338967,0.024464117,0.020332653
0.146,39.327,32.240,21.958,9.264,11.199,5.535,48.591,43.439,27.493,451.808,449.130,435.883,0.02791317,0.024124779,0.020245675
0.151,39.682,32.153,22.102,8.880,10.102,5.829,48.562,42.255,27.931,450.412,446.888,435.869,0.027503977,0.023763003,0.020154638
0.156,40.057,32.147,22.279,8.614,9.113,6.058,48.671,41.261,28.337,449.287,444.854,435.798,0.027123129,0.023422135,0.020083373
0.161,40.707,31.659,21.838,8.407,8.221,6.223,49.113,39.880,28.061,448.429,443.181,435.664,0.026762001,0.023147112,0.019981185
0.166,40.834,31.596,21.866,8.230,7.890,6.321,49.064,39.486,28.187,447.515,442.193,435.485,0.026422963,0.022888405,0.019877953
0.171,40.860,31.594,21.928,8.062,7.911,6.352,48.921,39.505,28.279,446.792,441.901,435.141,0.026116867,0.022689942,0.019763133
0.176,40.805,31.641,22.003,7.925,7.982,6.526,48.730,39.623,28.529,446.018,441.614,435.044,0.025826121,0.022513473,0.019650122
0.181,40.651,31.708,22.090,7.883,8.080,6.788,48.535,39.788,28.878,445.574,441.480,434.970,0.025555996,0.022332685,0.019537551
0.186,40.345,31.783,22.168,7.861,8.135,7.014,48.206,39.917,29.183,445.062,441.278,434.944,0.025311045,0.02215091,0.019422945
0.191,39.873,31.779,22.214,7.837,8.054,7.163,47.710,39.833,29.377,444.723,440.771,434.844,0.025092063,0.021958919,0.019309625
0.196,39.284,31.723,22.236,7.950,7.998,7.165,47.234,39.721,29.401,444.667,440.435,434.552,0.024903845,0.021777445,0.019214295
0.201,38.684,31.623,22.233,8.108,7.933,6.874,46.791,39.555,29.107,444.569,440.093,434.040,0.024724063,0.021605372,0.019126581
0.206,38.093,31.553,22.207,8.248,7.741,5.864,46.342,39.295,28.071,444.574,439.488,432.777,0.02454447,0.021440931,0.019064922
0.211,37.428,31.513,22.164,8.485,7.369,4.979,45.913,38.882,27.143,444.728,438.753,431.680,0.024347026,0.021291267,0.01901825
0.216,36.831,31.455,22.110,8.793,6.932,4.561,45.624,38.387,26.671,444.856,437.986,431.142,0.024144091,0.021175481,0.018990856
0.221,36.372,31.363,22.039,9.069,6.553,4.400,45.441,37.916,26.439,445.049,437.345,430.887,0.023923192,0.021089179,0.018960914
0.226,35.911,31.307,21.950,9.334,6.480,4.334,45.244,37.787,26.284,445.207,437.144,430.697,0.023687178,0.021009436,0.018934121
0.231,35.455,31.324,21.858,9.570,6.414,4.312,45.025,37.738,26.169,445.162,436.843,430.589,0.023451202,0.020913292,0.018892758
0.236,35.120,31.377,21.804,9.902,6.403,4.363,45.022,37.780,26.167,445.430,436.683,430.570,0.023211401,0.020810794,0.018855246
0.241,34.982,31.484,21.780,10.310,6.477,4.437,45.292,37.961,26.217,445.836,436.669,430.581,0.022973208,0.02072029,0.018811977
0.246,34.944,31.573,21.782,10.724,6.810,4.504,45.669,38.383,26.286,446.096,437.055,430.580,0.022731319,0.020643232,0.018772246
0.251,35.064,31.661,21.794,11.140,7.359,4.586,46.204,39.020,26.381,446.531,437.772,430.607,0.022505853,0.020573525,0.018736484
0.256,35.184,31.710,21.823,11.557,7.901,4.684,46.741,39.611,26.507,446.996,438.434,430.680,0.022297699,0.020476094,0.018709164
0.261,35.144,31.737,21.845,11.932,8.473,4.846,47.077,40.210,26.691,447.242,438.999,430.862,0.022115903,0.020363774,0.018699855
0.266,35.024,31.743,21.826,12.118,9.078,4.996,47.142,40.821,26.822,447.379,439.715,431.044,0.02195848,0.020251017,0.018693283
0.271,34.797,31.710,21.784,12.090,9.678,5.136,46.887,41.388,26.920,447.159,440.441,431.231,0.021806633,0.020144509,0.018700575
0.276,34.464,31.638,21.711,12.180,10.146,5.182,46.644,41.784,26.893,447.158,440.990,431.366,0.021663319,0.020042572,0.018739596
0.281,33.997,31.481,21.601,12.524,10.558,5.212,46.521,42.039,26.813,447.574,441.480,431.508,0.021509621,0.019952623,0.018792046
0.286,33.348,31.385,21.450,12.904,11.038,5.226,46.252,42.424,26.675,447.855,441.946,431.646,0.021364853,0.019875627,0.018849682
0.291,32.034,31.334,21.268,13.077,11.499,5.255,45.112,42.833,26.523,447.978,442.520,431.799,0.021223698,0.019798284,0.018910354
0.296,30.743,31.274,21.087,12.809,11.428,5.389,43.552,42.702,26.477,447.345,442.319,432.091,0.021080585,0.019724797,0.018973608
0.301,29.130,31.176,20.894,12.740,11.171,5.911,41.871,42.348,26.805,447.057,441.871,432.846,0.020936204,0.019665733,0.019029489
0.306,27.664,30.998,20.729,12.979,10.862,6.768,40.644,41.860,27.497,447.307,441.331,434.007,0.020802643,0.019602681,0.019074855
0.311,26.337,30.718,20.592,12.778,10.358,7.250,39.116,41.075,27.842,446.616,440.443,434.677,0.020684062,0.019510102,0.019108653
0.316,25.475,30.354,20.482,12.355,10.185,7.168,37.830,40.539,27.649,445.777,439.885,434.641,0.020576591,0.019405462,0.019135376
0.321,25.078,29.871,20.427,12.517,10.113,6.589,37.595,39.985,27.016,445.940,439.585,433.981,0.020466601,0.019291114,0.019165894
0.326,24.751,29.202,20.446,13.474,10.085,5.780,38.224,39.288,26.226,447.475,439.345,433.049,0.020351129,0.019173633,0.019202817
0.331,24.210,28.452,20.534,14.475,10.289,5.714,38.685,38.740,26.248,449.036,439.419,433.129,0.020224482,0.019040743,0.019245351
0.336,23.887,27.751,20.658,14.471,10.734,5.982,38.358,38.485,26.640,448.640,439.694,433.590,0.020097157,0.018900378,0.019299848
0.341,23.370,27.130,20.768,14.479,11.281,6.419,37.849,38.411,27.187,448.481,440.254,434.251,0.019958934,0.018761959,0.019351227
0.346,23.075,26.630,20.873,15.080,11.981,6.463,38.156,38.610,27.336,449.329,441.065,434.403,0.019824645,0.018637473,0.019398989
0.351,22.995,26.205,20.950,14.413,12.472,6.195,37.408,38.677,27.145,447.982,441.565,434.130,0.019689176,0.018514462,0.019433405
0.356,23.099,25.868,21.005,12.192,12.199,6.104,35.291,38.068,27.110,444.005,440.811,434.111,0.019575199,0.018410256,0.019478761
0.361,23.428,25.640,21.076,10.374,10.903,6.177,33.802,36.543,27.252,440.586,438.739,434.292,0.019468993,0.018322472,0.019523704
0.366,23.843,25.553,21.127,9.568,9.923,6.459,33.411,35.476,27.586,439.129,437.222,434.749,0.019393327,0.018272508,0.019571939
0.371,24.171,25.579,21.165,9.081,9.926,6.360,33.251,35.505,27.525,438.237,437.181,434.665,0.019333342,0.018241266,0.019602094
0.376,24.264,25.691,21.207,8.636,10.343,5.489,32.900,36.034,26.696,437.443,437.810,433.587,0.019299889,0.018232903,0.019634785
0.381,24.150,25.929,21.310,6.888,10.924,4.914,31.038,36.853,26.224,434.432,438.734,432.897,0.019285167,0.018248372,0.01966149
0.386,24.189,26.282,21.488,6.191,12.057,5.004,30.380,38.339,26.492,433.288,440.539,433.080,0.01927653,0.018288091,0.019697348
0.391,24.443,26.790,21.710,6.611,13.241,5.059,31.055,40.031,26.769,433.958,442.419,433.207,0.019219045,0.018327503,0.019728044
0.396,24.610,27.461,21.952,8.092,14.474,5.145,32.702,41.935,27.096,436.509,444.387,433.424,0.019179627,0.018378716,0.019781845
0.401,23.741,29.505,22.402,10.102,14.781,5.300,33.843,44.286,27.702,440.000,444.915,433.730,0.01916079,0.018400086,0.01984
0.406,23.948,29.598,22.513,12.346,15.104,5.483,36.294,44.702,27.996,443.898,445.483,434.128,0.019172369,0.01843127,0.019887911
0.411,24.023,29.726,22.704,12.774,15.829,5.783,36.796,45.555,28.487,444.701,446.874,434.615,0.019203113,0.018465172,0.019934274
0.416,24.052,29.937,22.955,11.320,17.508,6.191,35.372,47.445,29.146,442.209,449.546,435.232,0.019237351,0.018510472,0.019973949
0.421,24.045,30.115,23.241,8.519,20.190,6.568,32.563,50.304,29.809,437.459,453.718,435.804,0.019276239,0.018543337,0.020010673
0.426,23.998,30.218,23.538,7.075,22.844,6.906,31.074,53.061,30.444,435.062,457.823,436.318,0.019312117,0.018563075,0.020044709
0.432,23.986,30.172,23.862,6.491,25.270,7.195,30.476,55.442,31.057,434.254,461.568,436.765,0.019352028,0.018576548,0.020079695
0.437,24.143,30.074,24.246,6.602,27.603,7.340,30.745,57.676,31.587,434.539,465.173,437.014,0.019393656,0.018591078,0.020110143
0.442,24.451,29.858,24.673,6.549,30.183,7.390,31.000,60.041,32.062,434.525,469.146,437.119,0.019437464,0.018603351,0.020131089
0.447,24.827,29.454,25.120,6.233,31.543,7.321,31.061,60.997,32.441,434.033,471.208,437.064,0.019469317,0.018614251,0.020150524
0.452,25.261,28.740,25.577,6.141,31.401,7.226,31.402,60.141,32.803,433.959,470.991,436.975,0.019506652,0.018625578,0.020168019
0.457,25.873,28.001,26.028,6.456,26.123,7.203,32.329,54.124,33.231,434.637,462.874,436.972,0.019564647,0.018642291,0.020180512
0.462,26.545,27.704,26.451,7.348,15.972,7.026,33.893,43.675,33.478,436.332,447.498,436.762,0.019620964,0.01866718,0.020191303
0.467,27.216,27.831,26.764,8.439,11.480,6.768,35.655,39.312,33.532,438.351,440.797,436.440,0.019661317,0.018706316,0.020202167
0.472,27.847,28.103,26.917,9.839,11.337,6.422,37.685,39.440,33.339,440.889,440.687,436.011,0.019687505,0.018751742,0.020217942
0.477,28.430,28.330,26.912,11.413,12.338,6.358,39.842,40.668,33.270,443.721,442.362,435.967,0.019705927,0.018809158,0.020239299
0.482,29.003,28.464,26.709,13.074,15.289,6.447,42.077,43.753,33.156,446.679,447.031,436.144,0.019718606,0.018883327,0.020267641
0.487,29.564,28.420,26.362,14.031,18.809,7.318,43.594,47.228,33.681,448.354,452.612,437.389,0.019727873,0.018979495,0.020308118
0.492,30.149,27.836,25.873,13.813,21.465,8.575,43.962,49.301,34.448,448.000,457.101,439.144,0.019734543,0.019069862,0.020353468
0.497,30.812,26.669,25.307,13.711,20.857,9.805,44.524,47.526,35.112,447.823,456.286,440.862,0.019739473,0.019142956,0.020400159
0.502,31.563,25.430,24.792,13.284,16.370,11.089,44.848,41.800,35.881,447.064,449.428,442.775,0.019745439,0.01920242,0.02044419
0.507,32.408,24.679,24.470,12.275,11.574,12.648,44.683,36.253,37.118,445.315,442.177,444.921,0.019765295,0.019259874,0.020482739
0.512,33.303,24.295,24.261,10.620,11.041,13.107,43.924,35.336,37.368,442.458,441.456,445.572,0.019795956,0.019306798,0.020515265
0.517,34.178,24.135,24.186,9.056,10.675,12.637,43.234,34.810,36.822,439.809,440.955,444.978,0.019834101,0.01934417,0.020550523
