m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.00,6.69,6.03,5.09,-0.10,-0.44,-0.36,6.59,5.59,4.74,109.26,134.88,154.36,2.38E-08,6.34E-07,5.82E-06
0.02,11.47,9.93,7.22,0.06,-0.86,0.15,11.52,9.07,7.37,186.33,232.16,262.57,9.71E-05,0.000519272,0.000363646
0.04,10.58,10.51,7.57,0.08,-0.25,0.12,10.67,10.25,7.69,171.65,213.51,240.45,2.58E-05,0.000535061,0.000362894
0.06,10.13,11.18,7.93,0.34,0.21,0.12,10.47,11.39,8.05,156.36,193.43,217.67,5.61E-06,0.000177383,0.000420321
0.08,9.73,12.13,8.11,0.54,1.11,0.26,10.26,13.24,8.37,144.58,178.13,200.53,1.59E-06,4.69E-05,0.000287069
0.10,9.44,12.65,7.97,0.90,2.33,0.31,10.33,14.98,8.28,136.16,167.28,188.01,6.11E-07,1.59E-05,0.000126731
0.12,9.33,11.92,7.59,2.26,1.26,0.20,11.59,13.18,7.79,130.48,158.17,178.75,2.89E-07,6.94E-06,5.95E-05
0.14,8.07,10.78,6.97,2.53,-0.28,0.03,10.61,10.50,6.99,125.64,151.16,171.88,1.60E-07,3.72E-06,3.25E-05
0.16,6.92,9.76,6.29,0.37,-0.30,-0.21,7.30,9.46,6.08,120.54,146.76,166.68,9.98E-08,2.33E-06,2.02E-05
0.18,6.24,8.77,5.75,-0.16,-0.16,-0.44,6.07,8.62,5.31,117.28,143.57,162.87,6.95E-08,1.64E-06,1.42E-05
0.20,5.76,7.63,5.23,-0.42,-0.25,-0.49,5.33,7.37,4.74,114.99,141.16,160.18,5.32E-08,1.27E-06,1.09E-05
0.22,5.38,6.76,4.75,-0.46,-0.30,-0.58,4.92,6.46,4.17,113.34,139.49,158.35,4.32E-08,1.06E-06,9.14E-06
0.24,5.01,6.06,4.41,-0.43,-0.15,-0.72,4.58,5.91,3.69,112.10,138.44,157.06,3.69E-08,9.34E-07,8.08E-06
0.26,4.62,5.46,4.18,-0.34,-0.08,-0.79,4.28,5.38,3.38,111.37,137.91,156.42,3.33E-08,8.78E-07,7.60E-06
0.29,4.24,4.94,4.03,-0.16,-0.10,-0.81,4.08,4.84,3.22,111.00,137.76,156.30,3.13E-08,8.66E-07,7.48E-06
0.31,3.91,4.51,3.95,-0.01,-0.11,-0.81,3.90,4.39,3.14,110.89,137.98,156.61,3.05E-08,8.87E-07,7.68E-06
0.33,3.54,3.52,3.93,0.02,-0.11,-0.78,3.56,3.41,3.15,110.93,138.25,157.32,3.07E-08,9.15E-07,8.18E-06
0.35,3.31,3.26,3.85,0.05,-0.08,-0.67,3.37,3.17,3.19,111.02,138.74,158.40,3.11E-08,9.65E-07,8.99E-06
0.37,3.11,3.06,3.79,0.08,-0.06,-0.50,3.19,3.00,3.28,111.26,139.23,159.66,3.21E-08,1.02E-06,1.00E-05
0.39,2.94,2.92,3.73,-0.03,-0.06,-0.35,2.91,2.86,3.38,111.60,139.75,161.27,3.39E-08,1.08E-06,1.15E-05
0.41,2.80,2.82,3.70,-0.24,-0.13,-0.19,2.57,2.69,3.52,111.78,140.16,163.01,3.54E-08,1.14E-06,1.34E-05
0.43,2.71,2.76,3.69,-0.44,-0.14,-0.28,2.27,2.62,3.41,112.00,140.78,164.97,3.70E-08,1.23E-06,1.60E-05
0.45,2.64,2.74,3.68,-0.49,-0.04,-0.62,2.15,2.70,3.06,112.47,141.75,167.04,3.96E-08,1.37E-06,1.97E-05
0.47,2.53,2.77,3.68,-0.49,0.28,-0.72,2.04,3.05,2.97,113.10,143.09,169.26,4.31E-08,1.56E-06,2.42E-05
0.49,2.37,2.82,3.69,-0.49,0.27,-0.72,1.88,3.09,2.97,113.65,144.11,171.50,4.63E-08,1.74E-06,2.95E-05
0.51,2.26,2.93,3.69,-0.50,-0.11,-0.78,1.76,2.82,2.91,113.91,144.87,173.71,4.79E-08,1.94E-06,3.61E-05
0.53,2.19,3.07,3.65,-0.50,-0.26,-0.85,1.69,2.81,2.79,114.02,145.79,175.90,4.86E-08,2.16E-06,4.40E-05
0.55,2.16,3.23,3.56,-0.50,-0.20,-0.85,1.66,3.03,2.71,114.09,146.79,178.20,4.90E-08,2.39E-06,5.38E-05
0.57,2.14,3.35,3.49,-0.49,0.06,-0.80,1.66,3.41,2.69,114.32,147.97,180.61,5.02E-08,2.67E-06,6.60E-05
0.59,2.16,3.38,3.46,-0.46,0.37,-0.66,1.70,3.74,2.80,114.78,149.31,183.25,5.27E-08,3.02E-06,8.18E-05
0.61,2.21,3.29,3.45,-0.42,0.45,-0.51,1.79,3.74,2.94,115.20,150.52,185.87,5.48E-08,3.40E-06,0.000100944
0.63,2.29,3.13,3.50,-0.39,0.49,-0.30,1.90,3.62,3.20,115.52,151.65,188.25,5.60E-08,3.81E-06,0.000121274
0.65,2.41,2.95,3.65,-0.36,0.64,0.08,2.05,3.58,3.73,115.77,152.79,190.82,5.65E-08,4.23E-06,0.000145726
0.67,2.58,2.77,3.88,-0.38,0.86,0.62,2.20,3.63,4.50,116.06,154.05,193.43,5.71E-08,4.73E-06,0.000173141
