m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
NormalDistanceFromTheWall,TempMeanX5cmY30cmt105s,TempMeanX5cmY30cmt145s,TempMeanX5cmY30cmt185s,TempRMSX5cmY30cmt105s,TempRMSX5cmY30cmt145s,TempRMSX5cmY30cmt185s,TempMeanX22cmY30cmt105s,TempMeanX22cmY30cmt145s,TempMeanX22cmY30cmt185s,TempRMSX22cmY30cmt105s,TempRMSX22cmY30cmt145s,TempRMSX22cmY30cmt185s,TempMeanX5cmY90cmt105s,TempMeanX5cmY90cmt145s,TempMeanX5cmY90cmt185s,TempRMSX5cmY90cmt105s,TempRMSX5cmY90cmt145s,TempRMSX5cmY90cmt185s,TempMeanX22cmY90cmt105s,TempMeanX22cmY90cmt145s,TempMeanX22cmY90cmt185s,TempRMSX22cmY90cmt105s,TempRMSX22cmY90cmt145s,TempRMSX22cmY90cmt185s
0.02,1099.55,998.89,1029.78,264.98,236.82,217.07,45.12,111.95,43.73,130.27,128.02,125.55,265.91,474.42,978.85,297.18,312.73,310.66,92.1,33.51,117.73,146.75,171.58,180.97
0.06,1182.9,1100.29,1102.6,295.28,272.19,254.15,33.08,99.18,43.35,121.06,119.45,115.04,396.69,811.81,944.62,282.46,321.28,337.79,83.01,26.35,76.39,126.02,143.42,155.38
0.1,1154.42,970.12,1028.33,372.63,362.98,357.87,38.35,76.92,62.46,103.38,100.01,99.09,519.6,859.2,784.78,249.86,292.05,314.65,42.48,24.15,58.2,107.92,118.69,128.18
0.14,800.74,515.45,308.84,311.88,320.92,316.47,34.42,34.09,51.89,63.72,57.58,58.71,560.86,835.33,635.9,212.79,245.8,267.79,39.02,23.45,46.88,83.72,91.02,98.34
0.18,266.23,209.52,170.86,208.22,213.48,208.63,24.08,23.29,32.58,30.21,26.08,25.93,321.45,628.1,324.65,180.41,206.88,223.92,26.68,22.71,28.98,59.69,65.94,70.86
0.22,61.71,64.81,96.02,131.23,134.1,127.39,21.62,22.12,22.68,5.88,5.03,4.79,125.55,428.4,139.67,153.82,172.42,182.11,22.14,22.4,22.58,47.06,46.69,45.9
0.26,30.42,28.92,50.07,74.65,77.73,71.57,21.26,21.67,22.13,0.35,0.39,0.43,74.38,218.52,73.23,126.33,136.44,141.4,21.57,22.04,22.16,39.4,34.06,30.9
0.3,25.62,23.86,28.22,33.11,34.5,31.13,20.99,21.45,21.91,0.24,0.31,0.36,52.06,103.26,47.81,97.68,105.59,107.46,21.32,21.84,21.99,28.65,24.4,21.66
