m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
NormalDistanceFromTheWall,WVelMeanX5cmY30cmt105s,WVelMeanX5cmY30cmt145s,WVelMeanX5cmY30cmt185s,WVelRMSX5cmY30cmt105s,WVelRMSX5cmY30cmt145s,WVelRMSX5cmY30cmt185s,WVelMeanX22cmY30cmt105s,WVelMeanX22cmY30cmt145s,WVelMeanX22cmY30cmt185s,WVelRMSX22cmY30cmt105s,WVelRMSX22cmY30cmt145s,WVelRMSX22cmY30cmt185s,WVelMeanX5cmY90cmt105s,WVelMeanX5cmY90cmt145s,WVelMeanX5cmY90cmt185s,WVelRMSX5cmY90cmt105s,WVelRMSX5cmY90cmt145s,WVelRMSX5cmY90cmt185s,WVelMeanX22cmY90cmt105s,WVelMeanX22cmY90cmt145s,WVelMeanX22cmY90cmt185s,WVelRMSX22cmY90cmt105s,WVelRMSX22cmY90cmt145s,WVelRMSX22cmY90cmt185s
0.005,2.56,2.34,2.94,1,0.97,0.94,0.27,0.68,0.68,0.35,0.38,0.39,4.08,3.45,3.87,1.52,1.49,1.46,1.2,2.44,3.34,0.89,0.97,1.03
0.015,3.78,3.26,3.77,1.07,1.03,0.99,0.2,0.46,0.89,0.34,0.36,0.36,4.41,4.6,4.99,1.68,1.65,1.62,1.34,2.81,3.18,0.93,1.01,1.09
0.025,3.95,3.45,3.94,1.12,1.08,1.05,0.16,0.33,0.91,0.33,0.35,0.35,3.95,5.34,5.25,1.7,1.66,1.64,1.36,2.92,2.63,0.92,1.01,1.08
0.035,3.99,3.53,3.78,1.16,1.14,1.12,0.13,0.32,0.87,0.31,0.33,0.32,3.84,5.84,5.32,1.7,1.66,1.64,1.12,2.88,2.51,0.91,0.99,1.06
0.045,4.03,3.1,3.37,1.22,1.2,1.18,0.13,0.33,0.81,0.29,0.3,0.29,3.76,5.67,5.6,1.69,1.66,1.64,1.05,2.74,2.18,0.88,0.96,1.02
0.055,4.2,2.92,3.64,1.25,1.25,1.24,0.11,0.32,0.71,0.27,0.27,0.26,3.45,5.29,5.91,1.68,1.66,1.65,1.02,2.67,1.99,0.86,0.92,0.98
0.065,3.69,2.53,3.34,1.25,1.25,1.24,0.07,0.33,0.63,0.23,0.23,0.23,3.01,5.17,6.18,1.67,1.66,1.65,0.99,2.81,1.98,0.84,0.89,0.94
0.075,3.25,2.17,3.07,1.23,1.23,1.22,0.08,0.35,0.54,0.2,0.2,0.21,2.66,4.53,6.17,1.63,1.64,1.64,0.91,2.59,1.73,0.81,0.86,0.89
0.085,3.24,1.56,3.41,1.18,1.18,1.17,0.08,0.32,0.28,0.18,0.18,0.19,2.42,3.97,5.87,1.59,1.6,1.62,0.87,2.42,1.73,0.77,0.82,0.85
