m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
NormalDistanceFromTheWall,TempMeanX5cmY30cmt105s,TempMeanX5cmY30cmt145s,TempMeanX5cmY30cmt185s,TempRMSX5cmY30cmt105s,TempRMSX5cmY30cmt145s,TempRMSX5cmY30cmt185s,TempMeanX22cmY30cmt105s,TempMeanX22cmY30cmt145s,TempMeanX22cmY30cmt185s,TempRMSX22cmY30cmt105s,TempRMSX22cmY30cmt145s,TempRMSX22cmY30cmt185s,TempMeanX5cmY90cmt105s,TempMeanX5cmY90cmt145s,TempMeanX5cmY90cmt185s,TempRMSX5cmY90cmt105s,TempRMSX5cmY90cmt145s,TempRMSX5cmY90cmt185s,TempMeanX22cmY90cmt105s,TempMeanX22cmY90cmt145s,TempMeanX22cmY90cmt185s,TempRMSX22cmY90cmt105s,TempRMSX22cmY90cmt145s,TempRMSX22cmY90cmt185s
0.005,756.32,848.24,998.91,266.6,243.93,228.99,41.29,86.37,210.48,130.64,140.68,148.89,934.76,966.88,1110.83,370.89,373.85,360.91,150.54,883.24,433.09,208.72,253.42,300.36
0.015,927.61,1126.21,1137.92,317,294,279.51,28.28,52.2,231.41,148.61,156.02,161.61,885.58,890.02,1159.11,397.98,395.76,385.53,183.55,935.33,356.65,240.7,280.87,323.21
0.025,1001.35,1180.39,1139.4,365.95,345.06,332.08,23.33,27.45,266.02,155.62,161.46,161.38,754.3,873.25,1064.78,411.44,408.99,400.77,182.05,959.8,238.45,249.56,284.33,321.49
0.035,1068.68,1119.27,868.29,412.34,397.01,386.38,22.46,23.53,294.84,146.16,149.9,148.82,664.31,966.86,990.53,415.91,417.17,412.16,161.75,949.11,196.6,247.19,280.12,311.89
0.045,1102.5,1005.75,742.58,448.24,437.61,429.33,22.31,23.13,296.42,132.53,132.85,132.86,635.52,1023.27,953.83,414.38,420.02,418.53,122.39,857.39,151.45,242.42,274.21,301.35
0.055,1131.01,933.02,839.74,473.51,465.06,458.74,22.23,23.27,291.26,125.54,122.31,121.97,576.41,1012.41,1026.19,410.04,420.44,423.12,95.01,729.41,116.25,235.94,263.69,286.41
0.065,1020.14,745.6,843.31,489.47,480.98,476,22.21,23.45,247.33,118.7,112.82,111.32,452.05,951.67,1067.53,405.07,419.74,425.43,71.96,665.61,104.8,228.26,250.99,269.52
0.075,951.93,674.46,775.51,494.74,485.77,482.18,22.23,23.33,180.19,106.11,99.82,97.99,371.18,841.63,1055.62,396.73,415.85,424.31,47.74,605.06,112.35,218.49,238.61,254.62
0.085,966.83,492.78,834.76,486.04,479.37,477.56,22.28,23.17,104.28,90.25,83.84,82.31,323.65,751.12,1007.89,388.79,410.37,422.49,35.59,560.94,139.91,209.81,227.82,241.61
0.095,913.48,373.98,819.15,467.81,462.81,462.41,22.33,23.08,45.06,74.83,68.78,70.08,210.63,596.7,998.02,379.2,403.24,419.06,36.85,517.51,161.87,203.24,219.75,230.57
0.105,707.71,291.19,540.22,440.83,439.52,440.7,22.36,23.01,24.49,63.57,57.17,59.48,138.16,533.4,1012.67,367.8,394.11,413.36,40.12,512.71,150.14,194.71,211.68,220.22
0.115,545.52,188.13,324.15,411.43,411.73,415.69,22.36,22.9,23.49,51.51,45.21,44.54,141.02,514.35,978.05,355.35,381.81,405.32,41.23,507.85,145.67,188.42,203.66,209.78
0.125,429.48,79.61,229.52,385.39,384.53,389.57,22.29,22.78,23.64,36.2,31.86,31.26,143.56,525,900.2,342.92,368.83,396.87,42.18,500.52,170.29,182.51,193.9,199.16
0.135,333.34,42.54,143.6,358.19,359.4,364.96,22.15,22.68,23.61,31.8,27.92,27.03,163.02,515.06,791.88,331.04,357.49,388.15,41.18,446.35,191.05,177.45,185.97,189.55
0.145,281.65,35.02,74.83,333.21,334.08,340.24,22.01,22.85,23.37,24.97,21.61,20.19,175.2,563,645.73,319.42,346.19,378.02,34.65,320.15,232.47,170.04,176,178.84
0.155,237.79,34.28,48.67,309.83,311.57,315.67,21.92,23.14,23.23,12.03,10.27,9.69,166.79,546.55,536.73,307.7,335.4,367.44,26.22,190.3,185.8,161.38,165.62,167.63
0.165,215.95,32.35,46.05,285.65,288.98,291.29,21.88,23.2,23.15,3.83,3.32,3.33,190.29,527.82,453.55,295.54,322.76,354.39,24.28,109.78,81.4,155.76,158.89,158.98
0.175,244.35,29.07,60.28,258.99,263.46,265.73,21.88,23.16,23,1.96,1.77,1.91,203.18,496.53,416.83,283.33,309.94,341.24,22.92,66.32,33.36,149.06,151.51,150.09
0.185,272.62,26.4,60.13,232.78,235.99,239.34,21.88,22.91,22.77,0.61,0.78,1.24,199.67,462.96,371.57,272.56,297.81,326.55,22.69,37.97,26.6,140.88,142.81,140.22
0.195,317.29,24.93,58.28,208.48,211.84,215.62,21.84,22.7,22.56,0.54,0.72,1.14,193.39,466.52,313.97,260.04,284.92,312.04,22.57,26.61,24.67,131.8,132.5,129.05
0.205,337.19,23.53,54.61,184.98,188.21,190.92,21.76,22.54,22.45,0.53,0.69,1.03,169.59,443.52,255.01,247.05,270.76,296.39,22.53,23.69,24.24,122.22,121.22,117.03
0.215,341.5,22.73,42.44,161.95,162.87,163.7,21.68,22.52,22.38,0.51,0.64,0.91,152.9,389.61,195.38,235.08,257.13,280.73,22.71,23.07,24,110,108.96,103.91
0.225,296.33,22.53,26.48,140.99,139.26,138.63,21.61,22.52,22.37,0.5,0.59,0.79,132.22,338.02,161.52,221.56,244.44,265.48,23.23,22.91,23.87,97.15,95.95,91.06
0.235,237.02,22.3,22.75,121.23,116.92,114.79,21.57,22.39,22.49,0.48,0.54,0.73,107.88,273.1,143.6,207.35,231.15,249.87,23.68,22.83,23.76,83.02,80.68,77.11
0.245,201.54,22.23,22.51,103.13,95.29,93.69,21.59,22.2,22.61,0.46,0.51,0.69,103.89,184.37,122.01,197.68,218.56,236.23,23.93,22.72,23.66,72.41,68.94,66.9
0.255,172.9,22.15,22.42,84.89,75.81,74.89,21.65,22.08,22.68,0.44,0.5,0.65,114.08,142.13,90.67,188.73,207.65,223.33,24.03,22.6,23.57,61.56,57.89,57.04
0.265,137.95,22.11,22.35,66.98,59.73,59.35,21.73,22.02,22.63,0.42,0.48,0.58,132.79,130.98,61.54,179.32,197.65,210.83,24.09,22.51,23.42,51.3,47.79,48.39
0.275,91.37,22.06,22.26,54.82,48.42,47.99,21.83,21.97,22.41,0.39,0.46,0.55,137.12,114.43,48.88,167.43,185.18,197.21,24.14,22.47,23.21,38.06,35.71,38.73
0.285,41.58,22.02,22.2,46.18,39.74,38.52,21.92,21.92,22.06,0.36,0.44,0.53,129.61,95.34,44.19,157.39,174.5,186.13,24.08,22.45,22.96,24.41,23.31,29.58
0.295,23.6,22.01,22.12,35.98,30.66,29.1,22.04,21.87,21.85,0.34,0.42,0.52,128.29,110.78,40.5,147.91,164.36,175.81,23.9,22.37,22.69,14.14,13.72,23.64
