m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
NormalDistanceFromTheWall,WVelMeanX5cmY30cmt105s,WVelMeanX5cmY30cmt145s,WVelMeanX5cmY30cmt185s,WVelRMSX5cmY30cmt105s,WVelRMSX5cmY30cmt145s,WVelRMSX5cmY30cmt185s,WVelMeanX22cmY30cmt105s,WVelMeanX22cmY30cmt145s,WVelMeanX22cmY30cmt185s,WVelRMSX22cmY30cmt105s,WVelRMSX22cmY30cmt145s,WVelRMSX22cmY30cmt185s,WVelMeanX5cmY90cmt105s,WVelMeanX5cmY90cmt145s,WVelMeanX5cmY90cmt185s,WVelRMSX5cmY90cmt105s,WVelRMSX5cmY90cmt145s,WVelRMSX5cmY90cmt185s,WVelMeanX22cmY90cmt105s,WVelMeanX22cmY90cmt145s,WVelMeanX22cmY90cmt185s,WVelRMSX22cmY90cmt105s,WVelRMSX22cmY90cmt145s,WVelRMSX22cmY90cmt185s
0.0025,1.22,1.19,1.41,0.76,0.72,0.68,0.99,1.08,1.59,0.45,0.5,0.54,2.45,2.39,3.14,1.11,1.07,1.04,1.83,1.46,0.98,0.89,0.93,0.93
0.0075,2.38,2.49,2.73,0.95,0.9,0.87,1.36,1.45,1.64,0.5,0.59,0.66,3.72,4.01,4.67,1.42,1.36,1.33,2.31,2.43,1.98,1.04,1.16,1.24
0.0125,2.96,3.24,3.22,0.97,0.91,0.88,1.47,1.42,1.36,0.5,0.58,0.64,4.25,4.51,5.24,1.49,1.41,1.38,2.41,2.97,2.42,1.09,1.23,1.34
0.0175,3.06,3.54,3.4,0.98,0.92,0.9,1.45,1.31,1.07,0.5,0.56,0.6,4.75,4.86,5.77,1.53,1.44,1.4,2.33,3.24,2.74,1.11,1.26,1.37
0.0225,2.98,3.58,3.46,1.01,0.96,0.93,1.3,1.06,0.87,0.48,0.53,0.56,5.2,5.1,6.04,1.56,1.46,1.41,2.39,3.25,2.99,1.12,1.27,1.38
0.0275,2.86,3.5,3.44,1.04,0.98,0.96,1.29,0.82,0.73,0.46,0.49,0.51,5.54,5.44,6.21,1.57,1.48,1.43,2.41,3.24,3,1.11,1.26,1.36
0.0325,2.69,3.3,3.26,1.06,1.01,0.98,1.21,0.6,0.73,0.43,0.46,0.47,5.62,5.71,6.31,1.59,1.5,1.45,2.37,3.17,2.8,1.1,1.24,1.34
0.0375,2.54,3.11,3.09,1.08,1.03,1.01,1.04,0.49,0.83,0.41,0.43,0.43,5.58,5.81,6.2,1.61,1.53,1.47,2.18,3,2.64,1.09,1.21,1.3
0.0425,2.45,3.06,3,1.11,1.06,1.03,0.94,0.4,0.94,0.38,0.39,0.4,5.58,5.9,6.13,1.62,1.54,1.49,1.92,2.81,2.57,1.07,1.18,1.26
0.0475,2.39,2.98,2.85,1.13,1.08,1.06,0.81,0.33,1.17,0.36,0.36,0.37,5.68,6.03,5.98,1.63,1.56,1.51,1.72,2.56,2.56,1.05,1.15,1.23
0.0525,2.27,2.77,2.7,1.15,1.11,1.09,0.63,0.33,1.21,0.33,0.33,0.34,5.7,6.12,5.87,1.64,1.57,1.52,1.54,2.49,2.59,1.02,1.12,1.19
0.0575,2.1,2.52,2.57,1.16,1.12,1.1,0.62,0.34,1.26,0.31,0.31,0.31,5.74,6.14,5.86,1.64,1.58,1.53,1.4,2.39,2.51,0.99,1.09,1.15
0.0625,1.98,2.5,2.44,1.16,1.13,1.11,0.59,0.34,1.35,0.29,0.28,0.29,5.6,6.09,5.78,1.63,1.58,1.54,1.27,2.17,2.43,0.97,1.06,1.11
0.0675,2.1,2.44,2.25,1.15,1.13,1.11,0.48,0.35,1.13,0.27,0.26,0.27,5.45,6.09,5.69,1.62,1.58,1.55,1.31,2.02,2.4,0.94,1.03,1.07
0.0725,2.12,2.17,2.16,1.13,1.11,1.1,0.44,0.36,1.02,0.25,0.24,0.25,5.4,5.98,5.57,1.61,1.57,1.55,1.27,2.01,2.35,0.91,1,1.03
0.0775,2.12,1.98,2.28,1.11,1.09,1.09,0.42,0.38,0.76,0.23,0.23,0.23,5.3,5.9,5.52,1.59,1.57,1.55,1.11,2.05,2.32,0.89,0.97,1
0.0825,2.09,1.97,2.29,1.08,1.07,1.07,0.35,0.39,0.61,0.21,0.21,0.21,5.26,5.96,5.34,1.58,1.57,1.55,1.05,2.05,2.3,0.86,0.93,0.96
0.0875,1.87,1.9,2.22,1.06,1.05,1.04,0.27,0.37,0.52,0.2,0.19,0.19,5.22,5.96,5.29,1.57,1.56,1.55,1.01,1.91,2.19,0.82,0.9,0.92
0.0925,1.67,1.7,2.07,1.02,1.01,1.02,0.18,0.35,0.51,0.18,0.18,0.18,5.04,5.77,5.13,1.55,1.54,1.54,0.98,1.77,2.11,0.79,0.86,0.89
0.0975,1.6,1.71,1.94,0.98,0.98,0.98,0.17,0.36,0.49,0.18,0.17,0.17,4.9,5.63,4.9,1.54,1.53,1.54,0.98,1.57,2.11,0.76,0.83,0.85
0.1025,1.6,1.76,1.8,0.95,0.94,0.95,0.15,0.39,0.5,0.17,0.17,0.17,4.79,5.51,4.66,1.52,1.53,1.54,0.95,1.31,2.01,0.73,0.79,0.82
0.1075,1.59,1.7,1.68,0.91,0.91,0.92,0.18,0.43,0.51,0.16,0.16,0.16,4.6,5.34,4.35,1.51,1.51,1.53,0.99,1.09,1.92,0.71,0.76,0.78
0.1125,1.68,1.56,1.5,0.88,0.88,0.89,0.18,0.44,0.49,0.16,0.16,0.15,4.58,5.29,4.11,1.49,1.5,1.52,0.96,0.83,1.89,0.67,0.73,0.75
0.1175,1.7,1.46,1.39,0.84,0.85,0.86,0.16,0.42,0.49,0.15,0.15,0.15,4.49,5.22,3.85,1.47,1.5,1.52,0.93,0.53,1.86,0.64,0.7,0.72
0.1225,1.55,1.48,1.18,0.81,0.82,0.83,0.14,0.37,0.53,0.14,0.14,0.14,4.2,5.12,3.62,1.45,1.48,1.51,0.86,0.32,1.84,0.62,0.68,0.69
0.1275,1.46,1.41,1.13,0.78,0.79,0.81,0.13,0.31,0.54,0.13,0.13,0.14,3.95,4.91,3.39,1.44,1.47,1.5,0.79,0.31,1.84,0.6,0.65,0.67
0.1325,1.35,1.39,0.97,0.75,0.76,0.78,0.13,0.24,0.53,0.13,0.13,0.13,3.87,4.69,3.33,1.42,1.46,1.48,0.71,0.29,1.82,0.58,0.63,0.64
0.1375,1.29,1.37,0.85,0.72,0.73,0.75,0.13,0.23,0.51,0.12,0.12,0.12,3.85,4.5,3.28,1.4,1.44,1.47,0.69,0.29,1.73,0.56,0.61,0.62
0.1425,1.09,1.23,0.95,0.69,0.7,0.73,0.13,0.23,0.46,0.11,0.12,0.12,3.89,4.23,3.29,1.37,1.42,1.45,0.67,0.32,1.71,0.53,0.58,0.59
0.1475,0.93,1.27,0.87,0.66,0.67,0.71,0.14,0.22,0.38,0.11,0.11,0.12,3.94,4.1,3.3,1.35,1.41,1.44,0.63,0.28,1.66,0.51,0.56,0.57
