m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.00,2.41,3.02,2.98,-0.04,-0.19,-0.21,2.37,2.83,2.77,68.45,82.70,95.18,6.99E-11,6.76E-10,4.40E-09
0.04,5.86,7.15,5.85,-0.41,-0.55,-0.53,5.45,6.61,5.32,133.63,158.24,176.85,5.17E-07,8.22E-06,5.30E-05
0.08,6.20,7.57,5.99,-0.37,-0.73,-0.81,5.83,6.84,5.18,132.55,157.04,175.27,4.60E-07,7.40E-06,4.76E-05
0.12,5.83,7.88,5.87,-0.47,-0.77,-0.69,5.35,7.11,5.18,129.95,154.05,172.08,3.44E-07,5.45E-06,3.57E-05
0.16,5.62,8.11,5.81,-0.50,-0.78,-0.31,5.12,7.33,5.49,127.27,150.71,168.56,2.48E-07,3.82E-06,2.52E-05
0.20,5.46,8.28,5.88,-0.57,-0.76,0.18,4.89,7.52,6.06,124.45,147.33,165.00,1.76E-07,2.65E-06,1.74E-05
0.24,5.23,8.20,5.78,-0.58,-0.70,0.46,4.65,7.49,6.24,121.85,144.23,161.53,1.27E-07,1.87E-06,1.22E-05
0.29,5.07,7.89,5.67,-0.56,-0.52,0.32,4.51,7.37,5.98,119.10,141.26,157.95,8.91E-08,1.32E-06,8.55E-06
0.33,4.90,7.42,5.20,-0.54,-0.23,-0.09,4.37,7.20,5.11,116.39,138.67,154.79,6.27E-08,9.62E-07,6.31E-06
0.37,4.60,6.95,4.46,-0.52,-0.02,-0.53,4.08,6.94,3.92,113.53,135.97,152.19,4.32E-08,6.95E-07,4.85E-06
0.41,4.22,6.75,3.93,-0.49,0.17,-0.74,3.73,6.92,3.19,110.64,133.71,150.56,2.93E-08,5.22E-07,4.03E-06
0.45,3.85,6.41,3.66,-0.46,0.47,-0.72,3.39,6.88,2.94,107.50,131.47,149.20,1.92E-08,3.91E-07,3.39E-06
0.49,3.58,5.97,3.51,-0.41,0.74,-0.62,3.17,6.71,2.89,104.35,129.54,148.38,1.25E-08,3.01E-07,3.01E-06
0.53,3.40,5.81,3.52,-0.34,0.99,-0.39,3.06,6.79,3.13,101.20,127.87,147.83,8.12E-09,2.39E-07,2.74E-06
0.57,3.28,5.90,3.76,-0.24,1.23,-0.12,3.04,7.13,3.64,98.47,126.77,147.64,5.51E-09,2.05E-07,2.59E-06
0.61,3.19,6.30,4.19,-0.22,1.60,0.04,2.97,7.90,4.23,95.81,126.26,147.55,3.79E-09,1.87E-07,2.51E-06
0.65,3.03,6.72,4.74,-0.22,2.30,0.22,2.81,9.02,4.97,93.34,126.36,147.96,2.66E-09,1.79E-07,2.55E-06
0.69,2.84,6.67,4.77,-0.23,1.93,0.42,2.62,8.61,5.19,90.85,125.80,148.53,1.86E-09,1.71E-07,2.65E-06
0.73,2.73,6.75,4.54,-0.22,0.56,0.60,2.51,7.31,5.14,88.72,125.24,149.53,1.33E-09,1.70E-07,2.84E-06
0.77,2.55,6.15,4.01,-0.21,-0.27,0.64,2.33,5.88,4.65,86.61,125.32,150.74,9.69E-10,1.78E-07,3.21E-06
0.81,2.40,5.43,3.46,-0.20,-0.33,0.68,2.20,5.09,4.14,84.75,126.23,152.23,7.27E-10,1.95E-07,3.73E-06
0.86,2.30,5.31,3.05,-0.17,-0.21,0.76,2.13,5.10,3.81,82.98,127.59,153.57,5.51E-10,2.21E-07,4.28E-06
0.90,2.20,6.04,2.82,-0.11,0.27,0.72,2.10,6.31,3.54,81.40,129.39,154.90,4.29E-10,2.58E-07,4.96E-06
0.94,2.05,7.92,2.74,-0.04,1.17,0.63,2.01,9.09,3.37,79.91,131.23,156.36,3.38E-10,2.94E-07,5.82E-06
0.98,1.91,11.63,2.81,0.06,2.46,0.72,1.96,14.10,3.53,78.69,132.92,158.28,2.77E-10,3.23E-07,7.06E-06
1.02,1.81,13.80,3.15,0.17,4.11,0.89,1.98,17.90,4.04,77.58,134.44,160.30,2.29E-10,3.41E-07,8.56E-06
1.06,1.74,12.30,3.72,0.29,3.95,1.10,2.03,16.25,4.83,76.67,134.63,162.51,1.95E-10,3.49E-07,1.05E-05
1.10,1.71,10.36,4.12,0.40,4.44,1.30,2.11,14.79,5.42,75.88,134.76,164.70,1.68E-10,3.41E-07,1.29E-05
1.14,1.69,8.26,4.49,0.48,4.82,1.69,2.17,13.09,6.17,75.02,134.68,167.07,1.43E-10,3.28E-07,1.59E-05
1.18,1.61,5.74,4.74,0.43,4.39,2.67,2.04,10.13,7.40,73.94,134.15,169.62,1.19E-10,3.15E-07,1.91E-05
1.22,1.50,3.69,4.84,0.21,2.08,2.62,1.71,5.77,7.46,72.83,132.65,171.60,9.91E-11,3.05E-07,2.32E-05
1.26,1.40,2.66,4.89,0.11,-0.26,1.65,1.51,2.40,6.53,71.84,131.09,172.77,8.24E-11,2.94E-07,2.74E-05
1.30,1.35,2.19,4.96,0.12,-0.67,0.01,1.47,1.52,4.97,70.95,130.55,173.51,6.89E-11,2.79E-07,3.21E-05
1.34,1.35,1.99,5.06,0.20,-0.61,-0.80,1.55,1.38,4.27,69.94,129.99,174.61,5.64E-11,2.55E-07,3.69E-05
1.38,1.42,1.97,5.20,0.27,-0.38,-0.78,1.70,1.60,4.42,68.68,129.46,176.16,4.49E-11,2.31E-07,4.20E-05
1.43,1.61,2.09,5.29,0.34,-0.12,-0.51,1.95,1.97,4.78,67.49,129.16,177.73,3.63E-11,2.14E-07,4.72E-05
