m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
NormalDistanceFromTheWall,TempMeanX5cmY30cmt105s,TempMeanX5cmY30cmt145s,TempMeanX5cmY30cmt185s,TempRMSX5cmY30cmt105s,TempRMSX5cmY30cmt145s,TempRMSX5cmY30cmt185s,TempMeanX22cmY30cmt105s,TempMeanX22cmY30cmt145s,TempMeanX22cmY30cmt185s,TempRMSX22cmY30cmt105s,TempRMSX22cmY30cmt145s,TempRMSX22cmY30cmt185s,TempMeanX5cmY90cmt105s,TempMeanX5cmY90cmt145s,TempMeanX5cmY90cmt185s,TempRMSX5cmY90cmt105s,TempRMSX5cmY90cmt145s,TempRMSX5cmY90cmt185s,TempMeanX22cmY90cmt105s,TempMeanX22cmY90cmt145s,TempMeanX22cmY90cmt185s,TempRMSX22cmY90cmt105s,TempRMSX22cmY90cmt145s,TempRMSX22cmY90cmt185s
0.0025,656.33,615.59,756.06,224.69,205.72,194.87,561.26,588.3,1009.49,220.93,291.74,364.5,742.35,677.34,708.58,311,282.5,264.93,634.66,867.38,764.44,283.6,399.55,413.34
0.0075,910.44,846.9,946.94,279.17,262.16,253.71,682.66,530.94,631.33,267.24,335.99,407.18,831.95,842.34,854.28,361.12,334.62,319.57,688.19,1003.81,830.89,329.16,440.48,472.04
0.0125,1117.8,1015.93,1037.18,305.83,286.17,277.36,701.94,463.49,339.36,268.01,323.5,391.84,906.29,897.37,923.04,386.08,359.81,345.88,668.7,1062.26,933.82,341.99,446.36,490.93
0.0175,1174.68,1030.36,1094.55,328.53,309.36,300.82,630.77,388.24,201.89,256.59,293.5,349.66,981.14,928.1,996.35,399.38,373.87,361,634.8,1077.68,960.23,342.99,440.5,491.31
0.0225,1105.36,1019.41,1132.85,348.17,332.04,324.76,559.86,287.59,106.84,240.06,262.34,303.74,1043.54,952.36,1063.98,408.96,386.21,374.33,573.22,1034.54,980.31,336.76,428.37,480.62
0.0275,1044.68,995.16,1128.02,366.17,351.06,343.41,531.95,195.43,64.09,227.39,238.64,266.62,1051.43,977.37,1117.79,415.21,395.15,384.16,466.5,904.91,1022.92,326.7,413.29,465.33
0.0325,983.11,896.74,1065.81,384.54,367.88,359.87,472.79,129.89,57.46,214.18,219.94,239.72,1036.73,1005.1,1161.01,420.4,402.94,393.21,410.51,778.92,971.34,316.57,397.04,447.72
0.0375,898.59,845.83,992.17,402.22,384.87,376.82,427.58,99.35,73.7,202.67,204.61,218.06,1009.74,1027.16,1180.02,424.4,410.12,401.19,365.45,671.8,859.51,307.8,381.95,430.41
0.0425,805.43,865.62,952.34,419.15,402.09,394.87,362.67,75.39,107.22,192.86,191.21,200.54,983.17,1051.42,1157.3,426.6,414.8,407.47,316.45,565.25,834.59,297.83,365.56,409.98
0.0475,753.25,869.51,810.27,436.6,419.82,413.63,262.28,43.45,155.04,181.91,177.44,184.25,967.4,1071.8,1122.92,428.31,419.56,413.92,294.41,474.25,847.67,286.05,348.37,389.67
0.0525,696.96,740.45,719.26,453.7,437,432.08,163.01,30.07,171.78,171.39,164.72,169.39,948.05,1085.91,1113.94,430.5,423.98,419.95,282.76,421.51,838.01,275.44,332.87,370.79
0.0575,637.45,622.81,650.74,469.33,453.63,449.32,153.65,29.6,156.76,161.91,152.98,155.72,914.71,1085.87,1101.63,431.79,427.73,425.27,263.69,357.37,774.78,266.41,319.26,352.99
0.0625,671.66,613.74,600.13,481.85,467.58,463.23,151.61,30.25,183.11,152.28,141.66,143.61,889.96,1085.86,1067.73,431.9,430.39,429.19,253.95,300.26,702.59,257.44,306.07,335.89
0.0675,713.13,700.75,569.93,487.92,476.02,473.8,164.48,30.73,169.55,139.97,129.04,130.93,868.88,1098.73,1041.09,430.45,431.63,432.06,238.77,257.64,669.33,246.45,292.13,319.73
0.0725,725.78,637.7,580.62,490.69,481.45,480.94,155.07,30.9,155.77,127.62,116.55,118.27,865.61,1077.59,1029.86,427.09,431.6,433.58,261.34,259.32,668.57,236.58,278.65,304.41
0.0775,646.08,527.65,630.47,490.4,483.7,484.34,140.63,31.05,121.88,116.64,106.03,106.98,865.65,1039.63,1017.89,424.13,431.44,434.93,280.65,257.92,668.15,226.7,265.36,289.14
0.0825,629.17,519.07,635.87,489.31,484.05,485.67,123.79,31.3,80.83,106.48,96.56,96.44,866.77,1025.49,1006.73,421.78,431.38,436.51,265.84,258.15,649.29,218.59,254.08,275.33
0.0875,478.57,561.09,609.6,486.97,482.7,484.72,99.36,31.57,51.47,94.66,85.85,85.35,876.19,1010.28,1026.42,419.42,430.21,437.67,240.47,270.75,604.09,210.76,243.4,261.63
0.0925,406.48,561.87,571.2,480.23,477.56,480.11,66.03,31.97,39.89,83.37,75.53,75.58,880.26,978.42,1015.69,417.05,429.54,438.77,220.79,285.35,562.44,202.64,232.91,248.15
0.0975,393.31,552.51,492.38,472.22,470.68,473.85,34.77,32.89,36.79,74.95,67.45,68.69,852.03,938.05,978.95,413.65,428.58,439.35,219.22,263.81,537.84,196.85,224.52,237.18
0.1025,390.46,532.14,427.59,463.82,462.37,466.11,23.87,33.72,36.63,66.22,59.36,61.17,844.72,914.74,969.32,410.77,427.6,440.02,235.45,229.62,525.66,191.55,215.54,227.02
0.1075,383.7,472.21,401.37,453.02,451.67,455.27,23.19,33.97,36.59,57.79,51.79,53.48,830.61,865.23,931.32,407.21,426.73,440.28,251.23,187.95,513.9,184.47,205.79,216.86
0.1125,365.91,437.95,372.15,441.03,440.03,443.63,23.35,33.9,36.57,48.6,43.35,44.62,807.96,819.3,916.55,404.5,426.51,440.64,243.33,139.22,491.62,176.76,196.05,206.29
0.1175,356.33,466.43,351.91,428.09,426.94,431.6,23.63,33.43,36.77,41.22,36.04,36.36,788.48,830.33,878.18,401.75,426.51,440.76,212.89,86.74,476.01,170.2,187.65,195.9
0.1225,328.37,456.42,358.45,417.2,416.38,421.17,23.88,33.04,37.35,35.87,30.82,31.21,777.1,878.65,831.95,396.23,424.66,439.49,176.09,47.12,466.28,165.13,181.36,187.86
0.1275,295.01,362.68,365.18,406.47,406.68,411.38,24.06,32.66,37.48,32.43,27.7,28.21,771.37,868.68,762.31,389.42,420.86,436.71,157.11,33.8,452.54,160.7,175.26,181.16
0.1325,256.28,331.25,303.03,393.23,395.59,400.62,23.97,30.95,37.14,31.15,26.56,26.71,762.03,865.41,728.59,386.27,418.88,435.45,138.23,29.53,441.19,155.79,168.55,173.96
