m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
NormalDistanceFromTheWall,WVelMeanX5cmY30cmt105s,WVelMeanX5cmY30cmt145s,WVelMeanX5cmY30cmt185s,WVelRMSX5cmY30cmt105s,WVelRMSX5cmY30cmt145s,WVelRMSX5cmY30cmt185s,WVelMeanX22cmY30cmt105s,WVelMeanX22cmY30cmt145s,WVelMeanX22cmY30cmt185s,WVelRMSX22cmY30cmt105s,WVelRMSX22cmY30cmt145s,WVelRMSX22cmY30cmt185s,WVelMeanX5cmY90cmt105s,WVelMeanX5cmY90cmt145s,WVelMeanX5cmY90cmt185s,WVelRMSX5cmY90cmt105s,WVelRMSX5cmY90cmt145s,WVelRMSX5cmY90cmt185s,WVelMeanX22cmY90cmt105s,WVelMeanX22cmY90cmt145s,WVelMeanX22cmY90cmt185s,WVelRMSX22cmY90cmt105s,WVelRMSX22cmY90cmt145s,WVelRMSX22cmY90cmt185s
0.02,3.37,3.46,4.25,1.02,0.96,0.92,-0.03,0.88,0.18,0.5,0.48,0.47,3.87,3.39,5.33,1.83,1.79,1.75,1.45,0.77,1.56,1.05,1.03,1.02
0.06,3.95,3.91,4.67,0.99,0.94,0.91,-0.03,0.54,0.14,0.44,0.43,0.41,4.36,4.82,5.63,1.65,1.65,1.66,0.78,0.41,0.86,0.89,0.88,0.89
0.1,3.91,3.47,4.51,1.12,1.09,1.09,0.17,0.21,0.6,0.39,0.37,0.37,5.09,5.16,4.19,1.53,1.59,1.62,0.75,0.36,0.76,0.74,0.74,0.75
0.14,2.76,1.02,2.15,1.11,1.1,1.08,0.12,-0.16,0.7,0.25,0.24,0.24,4.69,4.92,3.08,1.36,1.4,1.43,0.17,0.54,0.41,0.55,0.56,0.58
0.18,0.57,0.79,1.2,0.67,0.68,0.67,0.17,0.02,-0.03,0.15,0.15,0.15,2.98,4.24,1.99,1.17,1.22,1.24,0.1,0.12,0.44,0.37,0.38,0.41
0.22,-0.12,0.19,0.77,0.46,0.47,0.46,0.04,-0.05,0.04,0.12,0.12,0.12,1.8,3.73,1.65,1.02,1.05,1.05,0.18,0.25,0.18,0.28,0.27,0.26
0.26,0.06,0.24,0,0.28,0.28,0.27,0.01,-0.06,0.07,0.1,0.1,0.1,1.56,2.6,0.55,0.83,0.85,0.84,0.05,0.09,0.22,0.21,0.2,0.2
0.3,0.08,-0.1,0.13,0.18,0.18,0.18,0.05,0.03,0.03,0.08,0.08,0.08,0.27,1.39,0.29,0.67,0.69,0.68,0.03,0.08,0.08,0.17,0.16,0.16
