m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0,4.97,10.74,4.97,-0.52,-0.36,-0.66,4.45,10.38,4.31,116.76,142.66,153.79,7.14E-08,1.51E-06,6.18E-06
0.01,7.18,12.77,6.09,-0.86,-0.31,-0.86,6.32,12.47,5.22,156.31,191.97,202.92,6.84E-06,0.000172676,0.00028632
0.02,6.95,10.13,6.41,-0.82,-0.7,-0.26,6.13,9.43,6.14,153.74,188.39,200.36,5.21E-06,0.000133927,0.00026284
0.03,6.78,8.47,6.49,-0.77,-0.85,0.34,6.01,7.62,6.83,148.08,180.82,193.48,2.84E-06,7.21E-05,0.000187285
0.04,6.61,7.55,5.97,-0.71,-0.79,-0.4,5.9,6.77,5.57,142.11,173.03,185.28,1.46E-06,3.57E-05,0.000111719
0.05,6.45,6.97,5.59,-0.66,-0.72,-0.64,5.79,6.25,4.95,136.59,165.8,178.04,7.79E-07,1.79E-05,6.29E-05
0.06,6.34,6.54,5.38,-0.62,-0.68,-0.86,5.72,5.85,4.53,131.9,159.55,171.81,4.49E-07,9.60E-06,3.65E-05
0.07,6.25,6.24,5.25,-0.6,-0.69,-0.87,5.65,5.55,4.38,128.04,154.3,166.71,2.81E-07,5.63E-06,2.25E-05
0.08,6.2,6.04,5.15,-0.58,-0.69,-0.83,5.62,5.35,4.32,124.76,150.08,162.61,1.88E-07,3.62E-06,1.50E-05
0.09,6.15,5.9,5.03,-0.56,-0.65,-0.75,5.59,5.25,4.28,122.09,146.62,159.3,1.33E-07,2.49E-06,1.06E-05
0.1,6.12,5.82,4.91,-0.54,-0.59,-0.66,5.58,5.23,4.25,119.75,143.8,156.61,9.89E-08,1.82E-06,7.98E-06
0.11,6.09,5.78,4.83,-0.52,-0.53,-0.57,5.58,5.25,4.27,117.68,141.41,154.37,7.60E-08,1.39E-06,6.26E-06
0.12,6.07,5.77,4.78,-0.5,-0.51,-0.47,5.58,5.26,4.31,115.92,139.5,152.54,6.07E-08,1.11E-06,5.12E-06
0.13,6.06,5.79,4.75,-0.49,-0.51,-0.34,5.58,5.28,4.4,114.42,137.96,151.08,5.01E-08,9.27E-07,4.35E-06
0.14,6.06,5.81,4.75,-0.47,-0.5,-0.06,5.59,5.31,4.69,113.18,136.75,150.06,4.27E-08,8.02E-07,3.83E-06
0.15,6.06,5.84,4.77,-0.44,-0.47,0.19,5.62,5.37,4.96,112.18,135.93,149.36,3.74E-08,7.21E-07,3.49E-06
0.16,6.07,5.88,4.82,-0.43,-0.4,-0.09,5.64,5.48,4.73,111.38,135.46,148.72,3.37E-08,6.72E-07,3.30E-06
0.17,6.07,5.93,4.89,-0.43,-0.27,-0.49,5.64,5.66,4.4,110.74,135.21,148.33,3.10E-08,6.41E-07,3.21E-06
0.18,6.09,6.01,4.96,-0.42,-0.12,-0.56,5.66,5.89,4.4,110.26,135.15,148.44,2.91E-08,6.25E-07,3.22E-06
0.19,6.1,6.14,5.02,-0.41,0.07,-0.59,5.7,6.21,4.43,109.94,135.23,148.69,2.78E-08,6.19E-07,3.27E-06
0.2,6.12,6.32,5.05,-0.37,0.3,-0.62,5.75,6.62,4.43,109.75,135.44,149.18,2.70E-08,6.21E-07,3.41E-06
0.21,6.15,6.58,5.04,-0.31,0.58,-0.62,5.85,7.16,4.42,109.71,135.81,149.86,2.67E-08,6.33E-07,3.62E-06
0.22,6.18,6.93,4.99,-0.17,0.91,-0.57,6.01,7.84,4.42,109.8,136.38,150.68,2.67E-08,6.58E-07,3.90E-06
0.23,6.2,7.44,4.93,-0.1,1.41,-0.48,6.1,8.86,4.45,109.87,137.17,151.53,2.68E-08,6.92E-07,4.23E-06
0.24,6.22,8.23,4.85,-0.1,2.12,-0.45,6.12,10.34,4.39,110.01,138.25,152.5,2.72E-08,7.41E-07,4.66E-06
0.25,6.23,9.43,4.74,-0.14,2.84,-0.47,6.09,12.27,4.27,110.25,139.48,153.56,2.81E-08,8.05E-07,5.19E-06
0.26,6.23,11.55,4.62,-0.19,3.49,-0.52,6.04,15.04,4.1,110.7,140.79,154.79,2.98E-08,8.88E-07,5.87E-06
0.27,6.21,15.01,4.48,-0.19,6.65,-0.59,6.02,21.66,3.89,111.34,143.6,156.08,3.21E-08,9.89E-07,6.69E-06
