s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
11.8,0.775,0.797,0.724,0.603,0.444,0.319
12,0.873,0.882,0.713,0.475,0.346,0.244
12.2,0.743,0.765,0.688,0.575,0.429,0.309
12.4,0.831,0.821,0.67,0.448,0.328,0.234
12.6,0.83,0.873,0.787,0.643,0.48,0.343
12.8,0.798,0.779,0.663,0.488,0.365,0.267
13,0.843,0.85,0.71,0.502,0.366,0.262
13.2,0.723,0.708,0.64,0.553,0.44,0.332
13.4,0.898,0.859,0.682,0.45,0.319,0.218
13.6,0.774,0.834,0.768,0.651,0.482,0.344
13.8,0.745,0.671,0.561,0.403,0.32,0.249
14,0.995,1,0.835,0.554,0.388,0.255
14.2,0.832,0.825,0.71,0.556,0.402,0.292
14.4,0.886,0.866,0.686,0.467,0.335,0.234
14.6,0.846,0.878,0.777,0.611,0.438,0.305
14.8,0.787,0.798,0.686,0.519,0.39,0.284
15,0.86,0.87,0.723,0.498,0.36,0.251
15.2,0.806,0.833,0.764,0.634,0.474,0.343
15.4,0.878,0.883,0.732,0.505,0.369,0.259
15.6,0.754,0.778,0.697,0.571,0.422,0.302
15.8,0.934,0.88,0.701,0.47,0.349,0.25
16,0.933,1.01,0.883,0.619,0.435,0.293
16.2,0.739,0.711,0.626,0.526,0.397,0.296
16.4,0.949,0.978,0.81,0.541,0.385,0.262
16.6,0.792,0.795,0.718,0.61,0.46,0.34
16.8,0.958,0.921,0.723,0.483,0.348,0.246
17,0.812,0.889,0.8,0.619,0.449,0.312
17.2,0.777,0.74,0.619,0.447,0.333,0.249
17.4,0.886,0.952,0.831,0.607,0.443,0.306
17.6,0.742,0.737,0.654,0.531,0.404,0.304
17.8,0.945,0.945,0.761,0.52,0.374,0.259
18,0.924,0.977,0.881,0.66,0.47,0.326
18.2,0.871,0.837,0.692,0.492,0.354,0.25
18.4,0.891,0.906,0.758,0.547,0.394,0.278
18.6,0.748,0.739,0.651,0.523,0.392,0.283
18.8,1.01,0.979,0.783,0.526,0.38,0.265
19,0.902,0.995,0.906,0.738,0.531,0.367
19.2,0.807,0.753,0.644,0.481,0.375,0.286
19.4,1,1.03,0.835,0.55,0.387,0.261
19.6,0.866,0.886,0.8,0.66,0.483,0.348
19.8,0.846,0.862,0.729,0.51,0.373,0.263
20,0.81,0.82,0.724,0.585,0.443,0.326
20.2,0.933,0.987,0.857,0.618,0.447,0.307
20.4,0.774,0.797,0.722,0.594,0.467,0.357
20.6,0.824,0.812,0.692,0.511,0.378,0.269
20.8,0.895,0.936,0.824,0.633,0.474,0.338
21,0.859,0.869,0.764,0.602,0.459,0.342
21.2,0.854,0.859,0.729,0.51,0.373,0.263
21.4,0.822,0.842,0.75,0.619,0.473,0.344
21.6,0.866,0.835,0.714,0.532,0.397,0.288
21.8,1.05,1.07,0.874,0.608,0.44,0.307
22,0.883,0.888,0.777,0.611,0.447,0.32
22.2,0.841,0.81,0.659,0.472,0.345,0.247
22.4,0.887,0.939,0.848,0.666,0.486,0.334
22.6,0.86,0.863,0.756,0.574,0.451,0.345
22.8,0.98,0.952,0.795,0.576,0.415,0.289
23,0.973,0.976,0.825,0.608,0.441,0.313
23.2,0.911,0.859,0.689,0.499,0.362,0.26
23.4,0.806,0.874,0.812,0.685,0.498,0.342
23.6,0.769,0.77,0.692,0.526,0.44,0.349
23.8,0.987,1.02,0.875,0.622,0.455,0.314
24,0.907,0.931,0.84,0.706,0.535,0.396
24.2,0.928,0.902,0.739,0.51,0.373,0.267
24.4,0.908,0.923,0.793,0.609,0.444,0.316
24.6,1.01,0.996,0.809,0.566,0.418,0.3
24.8,0.867,0.897,0.773,0.576,0.412,0.293
25,0.95,0.973,0.815,0.567,0.409,0.28
25.2,0.863,0.906,0.838,0.721,0.546,0.405
25.4,0.91,0.864,0.699,0.479,0.36,0.264
25.6,0.928,1.03,0.946,0.71,0.505,0.34
25.8,0.961,0.962,0.809,0.602,0.431,0.308
26,0.972,1.03,0.915,0.679,0.483,0.331
26.2,0.904,0.885,0.741,0.543,0.398,0.291
26.4,0.956,1.02,0.887,0.656,0.469,0.323
26.6,0.89,0.874,0.734,0.544,0.41,0.304
26.8,0.948,1.04,0.94,0.739,0.538,0.368
27,0.854,0.887,0.775,0.58,0.455,0.351
27.2,0.897,0.919,0.821,0.651,0.478,0.339
27.4,0.919,0.875,0.729,0.536,0.395,0.283
27.6,1.06,1.05,0.85,0.576,0.414,0.284
27.8,0.905,0.979,0.884,0.705,0.508,0.356
28,0.972,0.926,0.767,0.559,0.428,0.315
28.2,0.934,1.02,0.892,0.663,0.476,0.326
28.4,0.877,0.865,0.742,0.571,0.436,0.327
28.6,0.992,1.03,0.886,0.656,0.475,0.33
28.8,0.842,0.877,0.805,0.659,0.507,0.378
29,0.882,0.839,0.691,0.49,0.362,0.26
29.2,1.08,1.14,0.971,0.711,0.51,0.347
29.4,0.859,0.86,0.778,0.64,0.493,0.369
29.6,0.988,1.02,0.831,0.568,0.407,0.281
29.8,0.869,0.882,0.8,0.666,0.519,0.392
30,1.04,1.1,0.904,0.615,0.441,0.304
30.2,0.876,0.873,0.789,0.642,0.469,0.337
30.4,1.03,1.07,0.894,0.598,0.428,0.293
30.6,0.869,0.897,0.841,0.713,0.523,0.375
30.8,1.04,1.07,0.863,0.574,0.418,0.292
31,0.907,0.989,0.945,0.807,0.581,0.406
31.2,1.03,1,0.839,0.58,0.432,0.306
31.4,1.03,1.07,0.903,0.661,0.474,0.331
31.6,0.855,0.856,0.748,0.595,0.447,0.329
31.8,1.03,1.02,0.85,0.585,0.422,0.292
32,0.956,0.994,0.887,0.71,0.532,0.386
32.2,0.962,0.997,0.884,0.686,0.498,0.348
32.4,0.994,0.966,0.781,0.541,0.396,0.283
32.6,0.953,1.01,0.926,0.712,0.515,0.356
32.8,0.967,0.975,0.811,0.573,0.42,0.301
33,0.881,0.919,0.821,0.66,0.489,0.348
33.2,0.939,0.956,0.837,0.631,0.488,0.364
33.4,1.04,1.07,0.92,0.686,0.49,0.338
33.6,0.995,0.934,0.782,0.582,0.434,0.316
33.8,1.01,1.09,0.961,0.656,0.467,0.313
34,0.962,0.936,0.817,0.682,0.502,0.368
34.2,1.03,1.09,0.951,0.668,0.478,0.325
34.4,0.957,0.937,0.798,0.615,0.447,0.32
34.6,1,1.04,0.898,0.674,0.495,0.35
34.8,0.957,1,0.899,0.685,0.507,0.363
35,0.968,0.969,0.821,0.616,0.454,0.327
35.2,0.886,0.931,0.827,0.655,0.483,0.338
35.4,0.949,0.923,0.799,0.599,0.461,0.348
35.6,1.02,1.03,0.853,0.606,0.438,0.304
35.8,1.02,1.08,0.972,0.776,0.574,0.404
36,0.91,0.889,0.751,0.553,0.427,0.326
36.2,0.889,0.958,0.88,0.757,0.579,0.418
36.4,0.946,0.964,0.835,0.576,0.45,0.35
36.6,0.933,0.994,0.905,0.75,0.569,0.413
36.8,0.986,0.976,0.819,0.579,0.425,0.304
37,1.11,1.1,0.909,0.639,0.453,0.313
37.2,1.04,1.07,0.937,0.736,0.542,0.386
37.4,0.954,0.958,0.809,0.584,0.433,0.313
37.6,0.957,0.981,0.874,0.703,0.517,0.369
37.8,1.02,0.98,0.799,0.54,0.392,0.277
38,1.11,1.17,1.01,0.751,0.547,0.381
38.2,0.978,0.973,0.861,0.705,0.531,0.383
38.4,1.07,1.06,0.849,0.577,0.417,0.295
38.6,0.959,1.01,0.934,0.764,0.562,0.399
38.8,1.07,1.06,0.852,0.572,0.417,0.296
39,0.929,1.01,0.94,0.781,0.571,0.4
39.2,1.09,1.1,0.9,0.606,0.448,0.319
39.4,0.981,1.06,0.963,0.78,0.561,0.391
39.6,1.03,0.978,0.813,0.581,0.439,0.322
39.8,1.06,1.15,0.984,0.699,0.498,0.34
40,0.921,0.935,0.816,0.662,0.509,0.376
40.2,0.992,1.06,0.95,0.75,0.544,0.378
40.4,1.04,1.09,0.937,0.662,0.506,0.366
40.6,0.981,1.05,0.949,0.767,0.571,0.409
40.8,0.899,0.918,0.826,0.665,0.53,0.41
41,1.05,1.07,0.908,0.661,0.482,0.337
41.2,0.918,0.974,0.89,0.738,0.573,0.428
41.4,0.954,0.957,0.826,0.611,0.454,0.328
41.6,1.11,1.15,1.02,0.734,0.538,0.375
41.8,1.01,1.03,0.876,0.656,0.476,0.338
42,0.975,1,0.914,0.771,0.586,0.426
42.2,1.19,1.21,0.959,0.619,0.449,0.317
42.4,0.986,1.03,0.954,0.748,0.527,0.365
42.6,1.03,1.03,0.828,0.562,0.401,0.278
42.8,0.967,1.05,1.01,0.867,0.634,0.439
43,1.06,1.06,0.899,0.615,0.465,0.344
43.2,1.02,1.09,0.977,0.8,0.593,0.419
43.4,0.923,0.929,0.82,0.631,0.496,0.381
43.6,1.05,1.12,0.967,0.682,0.496,0.344
43.8,0.93,0.994,0.915,0.772,0.604,0.457
44,0.977,1.02,0.894,0.681,0.499,0.351
44.2,0.998,1.01,0.895,0.684,0.512,0.372
44.4,1.1,1.16,0.988,0.687,0.5,0.347
44.6,1.01,1.03,0.918,0.752,0.565,0.414
44.8,1.1,1.13,0.925,0.63,0.452,0.312
45,0.971,1.03,0.97,0.854,0.645,0.459
45.2,1.02,0.992,0.828,0.567,0.432,0.32
45.4,1.08,1.17,1.05,0.808,0.596,0.417
45.6,1.03,1,0.85,0.641,0.485,0.36
45.8,1.05,1.12,0.98,0.729,0.538,0.379
46,1,1.03,0.913,0.716,0.537,0.391
46.2,1.05,1.05,0.89,0.651,0.484,0.347
46.4,1.04,1.12,1.01,0.809,0.599,0.424
46.6,1,1.01,0.88,0.646,0.484,0.354
46.8,1.04,1.09,0.958,0.741,0.558,0.402
47,1.06,1.09,0.967,0.752,0.561,0.406
47.2,1.12,1.16,1.01,0.734,0.539,0.378
47.4,1.05,1.07,0.933,0.733,0.545,0.391
47.6,1.04,1.09,0.975,0.761,0.559,0.396
47.8,1.08,1.11,0.959,0.697,0.524,0.378
48,0.986,1.01,0.917,0.758,0.564,0.407
48.2,1.11,1.14,0.964,0.669,0.49,0.343
48.4,1.01,1.02,0.94,0.779,0.579,0.415
48.6,1.15,1.2,0.986,0.672,0.485,0.338
48.8,1.06,1.11,1.02,0.85,0.636,0.456
49,1.08,1.14,1,0.733,0.536,0.377
49.2,1.06,1.09,0.974,0.782,0.607,0.448
49.4,1.07,1.08,0.936,0.725,0.532,0.375
49.6,1.15,1.21,1.06,0.753,0.552,0.387
49.8,1,1.03,0.952,0.835,0.649,0.48
50,1.16,1.18,0.953,0.631,0.461,0.33
50.2,1.04,1.12,1.04,0.875,0.653,0.465
50.4,1.03,1.06,0.896,0.636,0.477,0.346
50.6,1.1,1.18,1.09,0.883,0.664,0.477
50.8,1.07,1.11,0.941,0.672,0.508,0.37
51,1.06,1.11,1.03,0.883,0.663,0.475
51.2,1.18,1.24,1.05,0.719,0.526,0.369
51.4,1.05,1.07,0.955,0.77,0.571,0.411
51.6,1.12,1.2,1.04,0.741,0.537,0.373
51.8,1.02,1.08,1.01,0.853,0.663,0.497
52,1.11,1.17,0.999,0.716,0.528,0.375
52.2,1.04,1.11,1.04,0.896,0.685,0.5
52.4,1.12,1.2,1.03,0.705,0.524,0.377
52.6,1.04,1.09,0.999,0.838,0.636,0.463
52.8,1.09,1.16,1,0.726,0.532,0.373
53,1.03,1.1,1.01,0.864,0.68,0.514
53.2,1.07,1.13,1,0.76,0.572,0.412
53.4,1.13,1.19,1.05,0.83,0.641,0.477
53.6,1.06,1.16,1.05,0.842,0.623,0.438
53.8,1.07,1.04,0.9,0.694,0.54,0.412
54,1.29,1.41,1.16,0.754,0.533,0.359
54.2,1.1,1.15,1.08,0.856,0.609,0.428
54.4,1.21,1.23,1.01,0.72,0.528,0.37
54.6,1.13,1.24,1.14,0.887,0.645,0.449
54.8,1.16,1.17,1.03,0.799,0.611,0.449
55,1.21,1.29,1.12,0.816,0.59,0.407
55.2,1.13,1.13,1,0.792,0.585,0.42
55.4,1.25,1.31,1.11,0.786,0.572,0.397
55.6,0.986,1.07,1.02,0.935,0.718,0.524
55.8,1.2,1.23,1.02,0.675,0.521,0.393
56,1.06,1.21,1.21,1.02,0.742,0.508
56.2,1.2,1.2,1.03,0.743,0.575,0.425
56.4,1.34,1.5,1.29,0.865,0.61,0.415
56.6,1.12,1.16,1.06,0.9,0.641,0.451
56.8,1.22,1.33,1.17,0.857,0.623,0.426
57,1.05,1.12,1.03,0.847,0.658,0.496
57.2,1.16,1.24,1.1,0.819,0.605,0.427
57.4,1.12,1.16,1.03,0.83,0.634,0.466
57.6,1.14,1.23,1.1,0.864,0.637,0.45
57.8,1.07,1.15,1.05,0.839,0.662,0.498
58,1.06,1.14,1.06,0.902,0.685,0.495
58.2,1.18,1.24,1.07,0.763,0.6,0.451
58.4,1.12,1.21,1.12,0.928,0.695,0.498
58.6,1.14,1.21,1.04,0.748,0.567,0.415
58.8,1.17,1.2,1.06,0.847,0.63,0.457
59,1.2,1.23,1.06,0.766,0.569,0.402
59.2,1.16,1.25,1.15,0.936,0.707,0.512
59.4,1.16,1.14,0.966,0.716,0.528,0.383
59.6,1.36,1.5,1.35,0.946,0.673,0.452
59.8,1.15,1.15,0.993,0.774,0.561,0.405
60,1.23,1.35,1.2,0.915,0.672,0.467
60.2,1.08,1.14,1.03,0.811,0.613,0.449
60.4,1.2,1.28,1.17,0.95,0.729,0.531
60.6,1.23,1.33,1.19,0.904,0.689,0.507
60.8,1.11,1.17,1.05,0.832,0.634,0.467
61,1.19,1.21,1.09,0.873,0.671,0.493
61.2,1.35,1.5,1.27,0.841,0.6,0.411
61.4,1.1,1.2,1.17,1.06,0.793,0.567
61.6,1.26,1.35,1.18,0.869,0.645,0.454
61.8,1.08,1.14,1.06,0.874,0.694,0.53
62,1.22,1.3,1.15,0.864,0.639,0.447
62.2,1.18,1.27,1.17,0.964,0.744,0.552
62.4,1.22,1.22,1.05,0.759,0.571,0.417
62.6,1.29,1.41,1.26,0.946,0.687,0.477
62.8,1.14,1.2,1.11,0.934,0.733,0.537
63,1.22,1.29,1.13,0.838,0.627,0.453
63.2,1.13,1.19,1.09,0.933,0.711,0.513
63.4,1.3,1.41,1.26,0.937,0.711,0.513
63.6,1.16,1.25,1.18,1.01,0.794,0.596
63.8,1.15,1.22,1.09,0.825,0.625,0.457
64,1.16,1.26,1.18,1.01,0.777,0.562
64.2,1.15,1.22,1.11,0.863,0.688,0.533
64.4,1.21,1.29,1.18,0.954,0.737,0.539
64.6,1.17,1.28,1.2,1.02,0.802,0.6
64.8,1.28,1.38,1.21,0.868,0.663,0.488
65,1.19,1.3,1.23,1.06,0.802,0.578
65.2,1.34,1.35,1.15,0.811,0.612,0.452
65.4,1.32,1.49,1.36,1.03,0.739,0.505
65.6,1.19,1.21,1.09,0.901,0.697,0.521
65.8,1.4,1.54,1.29,0.861,0.621,0.429
66,1.23,1.32,1.29,1.12,0.816,0.576
66.2,1.47,1.57,1.32,0.919,0.676,0.474
66.4,1.24,1.33,1.22,0.973,0.705,0.501
66.6,1.35,1.42,1.21,0.862,0.639,0.452
66.8,1.31,1.44,1.34,1.1,0.809,0.569
67,1.23,1.31,1.18,0.943,0.731,0.534
67.2,1.32,1.36,1.23,0.916,0.686,0.494
67.4,1.33,1.43,1.26,0.976,0.724,0.512
67.6,1.17,1.27,1.22,1.07,0.844,0.633
67.8,1.32,1.39,1.21,0.89,0.696,0.523
68,1.38,1.54,1.41,1.11,0.842,0.609
68.2,1.18,1.28,1.19,0.984,0.775,0.588
68.4,1.21,1.3,1.21,1.01,0.785,0.58
68.6,1.38,1.43,1.3,0.99,0.758,0.562
68.8,1.41,1.56,1.39,1.05,0.778,0.549
69,1.27,1.32,1.22,1.01,0.779,0.569
69.2,1.37,1.49,1.31,0.913,0.674,0.479
69.4,1.26,1.36,1.26,1.07,0.816,0.589
69.6,1.36,1.52,1.43,1.08,0.796,0.552
69.8,1.33,1.38,1.27,1.07,0.806,0.591
70,1.42,1.54,1.36,1.02,0.75,0.523
70.2,1.18,1.29,1.25,1.11,0.907,0.709
70.4,1.29,1.35,1.17,0.869,0.66,0.48
70.6,1.32,1.46,1.39,1.19,0.939,0.694
70.8,1.25,1.31,1.19,0.932,0.754,0.597
71,1.24,1.4,1.35,1.19,0.926,0.674
71.2,1.34,1.34,1.2,0.907,0.744,0.585
71.4,1.62,1.82,1.59,1.1,0.788,0.532
71.6,1.22,1.34,1.33,1.25,0.967,0.717
71.8,1.43,1.53,1.31,0.922,0.691,0.495
72,1.22,1.35,1.32,1.18,0.916,0.668
72.2,1.49,1.54,1.36,1,0.776,0.581
72.4,1.35,1.54,1.45,1.14,0.831,0.57
72.6,1.37,1.43,1.32,1.12,0.866,0.643
72.8,1.55,1.77,1.59,1.13,0.815,0.557
73,1.23,1.33,1.29,1.16,0.905,0.668
73.2,1.48,1.52,1.29,0.925,0.688,0.495
73.4,1.38,1.57,1.46,1.17,0.86,0.604
73.6,1.31,1.35,1.24,1.04,0.858,0.661
73.8,1.49,1.65,1.49,1.1,0.797,0.544
74,1.27,1.41,1.38,1.3,1.06,0.817
74.2,1.41,1.55,1.44,1.11,0.826,0.589
74.4,1.38,1.48,1.39,1.13,0.895,0.67
74.6,1.49,1.6,1.37,1.02,0.747,0.527
74.8,1.4,1.5,1.44,1.21,0.914,0.657
75,1.43,1.61,1.43,1.03,0.765,0.541
75.2,1.23,1.33,1.28,1.14,0.915,0.711
75.4,1.36,1.51,1.38,1.06,0.809,0.579
75.6,1.33,1.44,1.4,1.24,1.03,0.821
75.8,1.36,1.46,1.31,1.02,0.795,0.592
76,1.37,1.51,1.46,1.31,1.01,0.733
76.2,1.38,1.5,1.38,1.03,0.8,0.588
76.4,1.29,1.4,1.38,1.28,1.08,0.844
76.6,1.5,1.59,1.4,1.09,0.864,0.651
76.8,1.41,1.57,1.51,1.23,0.925,0.663
77,1.43,1.53,1.38,1.05,0.812,0.599
77.2,1.46,1.53,1.37,1.14,0.897,0.683
77.4,1.47,1.63,1.53,1.24,0.916,0.648
77.6,1.41,1.52,1.38,1.13,0.918,0.698
77.8,1.36,1.49,1.41,1.19,0.908,0.656
78,1.46,1.55,1.4,1.11,0.883,0.669
78.2,1.47,1.62,1.53,1.32,1.03,0.753
78.4,1.29,1.4,1.33,1.11,0.932,0.746
78.6,1.47,1.57,1.45,1.18,0.943,0.723
78.8,1.38,1.5,1.43,1.25,1.03,0.799
79,1.54,1.66,1.53,1.2,0.972,0.766
79.2,1.55,1.7,1.56,1.21,0.918,0.667
79.4,1.42,1.54,1.49,1.3,1.02,0.754
79.6,1.35,1.48,1.37,1.09,0.829,0.598
79.8,1.6,1.67,1.5,1.22,1.05,0.88
80,1.7,1.94,1.8,1.3,0.943,0.653
80.2,1.43,1.56,1.5,1.35,1.02,0.734
80.4,1.48,1.61,1.47,1.21,0.928,0.663
80.6,1.4,1.55,1.48,1.23,0.977,0.741
80.8,1.39,1.52,1.45,1.26,1.05,0.823
81,1.48,1.61,1.53,1.28,1.05,0.808
81.2,1.41,1.55,1.44,1.18,0.973,0.759
81.4,1.5,1.66,1.65,1.5,1.12,0.787
81.6,1.53,1.69,1.6,1.29,1.03,0.766
81.8,1.46,1.58,1.5,1.3,1.08,0.858
82,1.52,1.68,1.57,1.29,0.992,0.719
82.2,1.35,1.47,1.45,1.31,1.14,0.945
82.4,1.53,1.63,1.45,1.15,0.914,0.686
82.6,1.63,1.87,1.82,1.5,1.16,0.848
82.8,1.64,1.76,1.6,1.31,1.08,0.844
83,1.51,1.71,1.63,1.33,0.999,0.715
83.2,1.61,1.76,1.64,1.34,1.1,0.835
83.4,1.68,1.87,1.77,1.41,1.11,0.819
83.6,1.51,1.62,1.53,1.35,1.07,0.789
83.8,1.69,1.84,1.73,1.41,1.09,0.8
84,1.63,1.79,1.68,1.31,1.05,0.787
84.2,1.41,1.55,1.54,1.53,1.26,0.939
84.4,1.79,1.96,1.76,1.3,1.09,0.912
84.6,1.55,1.81,1.89,1.86,1.38,0.946
84.8,1.47,1.66,1.61,1.29,1.12,0.847
85,1.41,1.62,1.67,1.66,1.3,0.933
85.2,1.65,1.82,1.77,1.44,1.31,1.09
85.4,1.49,1.72,1.72,1.63,1.26,0.914
85.6,1.56,1.71,1.63,1.36,1.22,0.976
85.8,1.66,1.92,1.85,1.48,1.1,0.771
86,1.56,1.73,1.71,1.63,1.28,0.937
86.2,1.52,1.73,1.66,1.38,1.05,0.745
86.4,1.45,1.63,1.63,1.49,1.31,1.08
86.6,1.49,1.66,1.59,1.37,1.1,0.824
86.8,1.46,1.59,1.55,1.37,1.19,0.99
87,1.61,1.74,1.61,1.31,1.04,0.775
87.2,1.64,1.76,1.7,1.52,1.32,1.09
87.4,1.73,1.94,1.78,1.41,1.09,0.807
87.6,1.47,1.65,1.63,1.41,1.15,0.884
87.8,1.62,1.76,1.65,1.42,1.16,0.889
88,1.59,1.78,1.76,1.59,1.24,0.905
88.2,1.62,1.84,1.77,1.4,1.16,0.923
88.4,1.44,1.61,1.61,1.55,1.29,1
88.6,1.58,1.78,1.7,1.36,1.1,0.857
88.8,1.63,1.8,1.74,1.56,1.32,1.04
89,1.62,1.82,1.75,1.41,1.05,0.751
89.2,1.53,1.72,1.74,1.66,1.47,1.19
89.4,1.72,1.87,1.72,1.29,1.05,0.833
89.6,1.62,1.87,1.86,1.75,1.42,1.03
89.8,1.55,1.68,1.6,1.35,1.18,0.994
90,1.77,2.01,1.92,1.63,1.27,0.917
90.2,1.55,1.69,1.62,1.41,1.19,0.944
90.4,1.58,1.78,1.69,1.41,1.13,0.843
90.6,1.58,1.69,1.65,1.52,1.34,1.12
90.8,1.77,1.97,1.83,1.42,1.11,0.822
91,1.71,1.87,1.87,1.74,1.45,1.14
91.2,1.7,1.86,1.73,1.4,1.13,0.85
91.4,1.64,1.81,1.77,1.58,1.29,1.01
91.6,1.63,1.81,1.82,1.75,1.45,1.1
91.8,1.7,1.91,1.79,1.44,1.25,0.995
92,1.62,1.83,1.9,1.82,1.53,1.17
92.2,1.61,1.77,1.7,1.45,1.27,1.05
92.4,1.54,1.73,1.67,1.44,1.15,0.877
92.6,1.63,1.77,1.74,1.61,1.46,1.27
92.8,1.75,1.94,1.83,1.48,1.19,0.917
93,1.68,1.78,1.72,1.58,1.41,1.21
93.2,1.71,1.93,1.87,1.47,1.11,0.798
93.4,1.74,1.94,1.98,1.95,1.65,1.29
93.6,1.84,2.1,1.95,1.46,1.15,0.869
93.8,1.75,1.94,1.94,1.9,1.5,1.09
94,1.68,1.9,1.82,1.48,1.18,0.879
94.2,1.6,1.77,1.81,1.75,1.59,1.35
94.4,1.92,2.1,1.91,1.49,1.19,0.923
94.6,1.63,1.87,1.84,1.67,1.32,1
94.8,1.63,1.83,1.79,1.61,1.4,1.11
95,1.66,1.8,1.68,1.42,1.2,0.994
95.2,1.67,1.89,1.83,1.59,1.28,0.968
95.4,1.62,1.76,1.73,1.6,1.46,1.3
95.6,1.69,1.87,1.78,1.48,1.24,0.987
95.8,1.6,1.77,1.79,1.75,1.54,1.26
96,1.7,1.91,1.87,1.58,1.35,1.11
96.2,1.76,1.99,2.02,1.95,1.71,1.38
96.4,1.64,1.85,1.85,1.65,1.31,0.982
96.6,1.75,1.9,1.83,1.59,1.43,1.24
96.8,1.79,2.07,2.04,1.72,1.41,1.1
97,1.61,1.78,1.78,1.69,1.5,1.25
97.2,1.59,1.75,1.68,1.44,1.18,0.943
97.4,1.82,2.05,2.05,1.84,1.63,1.37
97.6,1.78,1.99,1.97,1.82,1.52,1.22
97.8,1.74,1.99,1.97,1.72,1.44,1.11
98,1.73,1.91,1.83,1.63,1.45,1.23
98.2,1.71,1.95,1.91,1.74,1.38,1.03
98.4,1.7,1.9,1.95,1.83,1.75,1.55
98.6,1.84,2.05,1.97,1.7,1.43,1.11
98.8,1.7,1.95,1.98,1.83,1.55,1.22
99,1.91,2,1.91,1.64,1.45,1.22
99.2,1.73,1.97,1.89,1.57,1.26,0.961
99.4,1.82,2.02,2,1.9,1.68,1.42
99.6,1.6,1.8,1.75,1.53,1.29,1.04
