s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,RAD_x70_y70_z10,RAD_x70_y70_z35,RAD_x70_y70_z60,RAD_x70_y70_z85,RAD_x70_y70_z110,RAD_x70_y70_z135
0,0,0,0,0,0,0
0.21,0,0,0,0,0,0
0.4,0,0,0,0,0,0
0.6,0,0,0,0,0,0
0.8,0.06,0.02,0.01,0,0,0
1,0.1,0.05,0.03,0.02,0.01,0
1.2,0.13,0.07,0.05,0.03,0.02,0.01
1.4,0.16,0.08,0.06,0.03,0.02,0.01
1.6,0.18,0.1,0.07,0.04,0.03,0.02
1.8,0.2,0.11,0.08,0.05,0.04,0.02
2,0.22,0.13,0.09,0.06,0.04,0.02
2.2,0.24,0.14,0.1,0.06,0.05,0.03
2.4,0.25,0.16,0.11,0.07,0.05,0.03
2.6,0.27,0.18,0.14,0.09,0.06,0.03
2.8,0.28,0.19,0.14,0.09,0.06,0.04
3,0.31,0.22,0.17,0.11,0.07,0.04
3.2,0.3,0.21,0.15,0.1,0.07,0.04
3.4,0.34,0.26,0.2,0.13,0.09,0.06
3.6,0.33,0.24,0.18,0.11,0.08,0.05
3.8,0.36,0.28,0.22,0.15,0.1,0.06
4,0.38,0.3,0.23,0.15,0.1,0.06
4.2,0.38,0.29,0.22,0.15,0.1,0.07
4.4,0.42,0.34,0.27,0.18,0.12,0.08
4.6,0.41,0.35,0.27,0.19,0.13,0.08
4.8,0.45,0.38,0.3,0.19,0.13,0.09
5,0.43,0.35,0.27,0.19,0.13,0.09
5.2,0.48,0.43,0.35,0.23,0.15,0.09
5.4,0.44,0.36,0.28,0.2,0.14,0.09
5.6,0.5,0.49,0.41,0.28,0.2,0.12
5.8,0.46,0.38,0.3,0.21,0.15,0.1
6,0.6,0.53,0.43,0.29,0.2,0.13
6.2,0.52,0.46,0.36,0.24,0.17,0.11
6.4,0.54,0.5,0.43,0.32,0.23,0.15
6.6,0.55,0.47,0.38,0.25,0.17,0.12
6.8,0.57,0.56,0.49,0.37,0.27,0.18
7,0.69,0.62,0.49,0.32,0.22,0.14
7.2,0.58,0.55,0.47,0.36,0.25,0.18
7.4,0.59,0.54,0.44,0.31,0.22,0.15
7.6,0.65,0.66,0.59,0.43,0.31,0.2
7.8,0.64,0.57,0.47,0.34,0.23,0.16
8,0.64,0.63,0.55,0.42,0.31,0.21
8.2,0.72,0.7,0.57,0.38,0.27,0.18
8.4,0.63,0.64,0.6,0.52,0.38,0.27
8.6,0.68,0.71,0.61,0.41,0.3,0.19
8.8,0.7,0.64,0.58,0.46,0.34,0.24
9,0.83,0.9,0.8,0.57,0.4,0.25
9.2,0.64,0.61,0.54,0.43,0.32,0.23
9.4,0.75,0.78,0.75,0.61,0.45,0.3
9.6,0.75,0.71,0.6,0.41,0.3,0.21
9.8,0.85,0.94,0.93,0.71,0.51,0.33
10,0.73,0.69,0.59,0.42,0.3,0.21
10.2,0.78,0.79,0.75,0.65,0.5,0.36
10.4,0.87,0.91,0.78,0.53,0.38,0.25
10.6,0.85,0.89,0.87,0.71,0.52,0.36
10.8,0.81,0.78,0.66,0.47,0.34,0.24
11,0.97,1.06,0.99,0.73,0.51,0.33
11.2,0.78,0.82,0.82,0.74,0.59,0.43
11.4,0.71,0.69,0.59,0.43,0.35,0.26
11.6,0.83,0.94,0.94,0.78,0.57,0.36
11.8,0.76,0.79,0.77,0.67,0.53,0.41
12,0.92,1.03,1.04,0.84,0.61,0.4
12.2,0.89,0.93,0.86,0.65,0.47,0.32
12.4,0.78,0.76,0.7,0.59,0.48,0.37
12.6,0.92,0.99,0.9,0.66,0.47,0.29
