m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,kg/m2/s,kg/m2/s,kg/m2/s
y,Radiative Heat Flux_105s,Radiative Heat Flux_145s,Radiative Heat Flux_185s,Convective Heat Flux_105s,Convective Heat Flux_145s,Convective Heat Flux_185s,Total Heat Flux_105s,Total Heat Flux_145s,Total Heat Flux_185s,Wall Temperature_105s,Wall Temperature_145s,Wall Temperature_185s,PMMAG Mass Flux_105s,PMMAG Mass Flux_145s,PMMAG Mass Flux_185s
0.00,10.09,10.98,7.70,-0.14,-0.36,-0.31,9.96,10.62,7.38,155.33,192.39,221.7864227,5.32E-06,0.000175932,0.000410429
0.02,20.60,19.76,11.67,0.00,-0.34,-0.80,20.60,19.43,10.86,294.25,354.51,374.8843079,0.000523959,0.001687035,0.004129651
0.04,23.68,23.90,14.68,0.52,0.41,-0.17,24.20,24.31,14.52,347.41,388.51,394.8271484,0.001226235,0.006229182,0.008721079
0.06,27.16,29.49,17.79,0.67,1.87,0.32,27.83,31.36,18.11,386.38,405.92,407.0254517,0.005074074,0.010954945,0.012863981
0.08,32.24,38.22,21.50,2.41,4.37,1.82,34.65,42.59,23.32,408.64,421.04,418.89151,0.010765563,0.01575458,0.017093128
0.10,38.60,45.38,27.69,5.08,5.94,4.42,43.68,51.32,32.11,422.31,431.72,430.0985718,0.014866774,0.020122016,0.020856585
0.12,40.42,47.83,32.21,6.41,5.75,7.41,46.82,53.58,39.62,428.46,436.48,439.2711792,0.016899629,0.023395903,0.023671692
0.14,39.51,47.91,32.30,5.78,5.28,6.79,45.29,53.19,39.09,428.77,438.33,440.8989258,0.017750114,0.025267472,0.02521915
0.16,38.81,46.93,31.43,4.95,4.84,6.21,43.76,51.77,37.64,427.73,438.59,440.8589478,0.017985038,0.026046736,0.025700251
0.18,37.97,45.48,30.64,4.54,4.54,5.95,42.50,50.02,36.59,426.83,437.89,440.1847534,0.017879862,0.025911769,0.025458628
0.20,37.08,43.88,29.71,4.23,4.28,5.15,41.31,48.17,34.87,425.75,436.60,438.0693054,0.017589703,0.025278851,0.024776001
0.22,35.96,42.14,28.94,4.03,4.18,5.18,39.99,46.32,34.12,424.60,435.20,436.7381592,0.017136691,0.024355235,0.023902256
0.24,33.89,39.74,28.07,4.11,4.11,5.27,38.01,43.85,33.34,423.80,433.56,435.4423828,0.016597321,0.023289021,0.022962358
0.26,30.29,36.44,27.47,4.27,4.10,5.32,34.56,40.54,32.79,423.01,432.02,434.0265503,0.0160092,0.022211507,0.022044728
0.28,25.85,32.20,27.31,4.48,4.06,5.16,30.33,36.26,32.47,422.22,430.39,432.4159241,0.015383448,0.021186711,0.021183534
0.30,22.24,28.01,27.45,4.68,3.99,4.84,26.92,32.00,32.29,421.32,428.79,430.6037292,0.014738032,0.020214191,0.020404277
0.32,18.35,20.44,29.05,4.92,4.09,4.40,23.26,24.52,33.45,420.37,427.43,428.8111572,0.01404087,0.019289874,0.01973157
0.34,15.92,18.24,28.42,5.02,4.19,4.52,20.94,22.43,32.94,419.18,426.31,428.016449,0.013406441,0.018492427,0.01918838
0.36,13.74,17.14,27.47,4.84,4.43,4.79,18.58,21.57,32.26,417.55,425.55,427.5241699,0.012781812,0.01780303,0.018692197
0.38,12.23,16.58,26.41,4.60,4.74,4.91,16.83,21.32,31.32,415.85,425.00,426.9468079,0.012189913,0.017182948,0.018287051
0.40,11.39,16.46,25.39,4.54,4.91,5.08,15.93,21.37,30.47,414.49,424.31,426.5656738,0.011618892,0.016636802,0.017913228
0.42,11.00,16.69,24.54,4.22,5.04,5.30,15.22,21.74,29.84,412.64,423.62,426.3490295,0.011068639,0.01613885,0.017628936
0.44,11.27,17.43,23.82,4.64,5.23,5.38,15.91,22.66,29.19,412.02,423.09,425.9934082,0.010505301,0.015689259,0.01738853
0.46,10.78,18.79,23.39,4.99,5.43,5.20,15.76,24.21,28.59,411.24,422.66,425.4301147,0.009955969,0.015287053,0.017217524
0.48,10.61,20.83,23.05,4.69,5.55,4.99,15.30,26.38,28.05,409.27,422.25,424.9078064,0.009404662,0.014926974,0.017100658
0.50,10.68,23.39,22.68,4.98,5.53,4.88,15.66,28.92,27.56,408.21,421.61,424.6319275,0.008840242,0.014615895,0.017042153
0.52,10.68,25.65,22.23,5.35,5.45,5.00,16.02,31.10,27.23,407.02,420.92,424.8233643,0.008245538,0.014335605,0.017039586
0.54,11.10,27.27,21.82,5.27,5.46,4.89,16.37,32.73,26.71,405.02,420.55,424.7403564,0.007654095,0.014116894,0.01709019
0.56,12.36,27.88,21.65,5.47,5.27,4.82,17.84,33.15,26.48,403.21,419.88,424.7774658,0.007032346,0.013915124,0.017161766
0.58,13.98,27.69,21.66,5.28,4.88,5.09,19.26,32.57,26.75,400.59,418.89,425.4071045,0.006405315,0.013761543,0.017265029
0.60,15.33,26.72,21.92,5.54,4.45,5.56,20.86,31.17,27.48,398.31,417.92,426.3662109,0.005764965,0.013619457,0.017372293
0.62,14.43,25.61,22.59,6.29,4.09,5.84,20.73,29.70,28.43,396.57,417.18,427.044281,0.005141992,0.013523484,0.017496321
0.64,11.26,24.65,23.48,6.11,4.12,5.87,17.37,28.77,29.36,393.09,417.11,427.3587646,0.004546646,0.01343508,0.017628415
0.66,7.83,23.82,24.64,3.21,4.31,6.10,11.05,28.13,30.74,385.40,417.36,428.1123047,0.003986718,0.013364924,0.017778395
0.68,6.23,22.86,26.21,0.48,4.64,6.74,6.71,27.49,32.94,377.70,417.84,429.41745,0.003437114,0.013287831,0.017910644
0.70,5.82,21.62,28.32,-0.74,4.84,6.98,5.08,26.47,35.30,371.75,418.04,430.021759,0.002919634,0.01320967,0.018016156
0.72,3.97,18.60,32.50,-2.08,5.09,6.79,1.88,23.68,39.29,365.81,418.33,429.9785461,0.002506647,0.013118139,0.018154178
0.74,4.51,17.88,33.86,-2.31,5.05,6.68,2.20,22.93,40.54,361.14,418.13,429.9750061,0.002142878,0.013020055,0.018250294
0.76,5.57,17.22,34.91,-1.94,4.97,6.49,3.63,22.19,41.40,356.90,417.87,429.9231567,0.001819693,0.012918498,0.0183383
0.78,6.88,16.88,35.77,-1.46,4.68,5.88,5.42,21.56,41.65,352.78,417.27,429.008728,0.001563258,0.012838979,0.018403647
0.80,8.45,17.12,36.48,-1.20,4.30,5.74,7.25,21.42,42.21,348.09,416.47,428.8830872,0.001361226,0.012728548,0.018456198
0.82,10.17,17.64,36.45,-0.57,4.29,6.39,9.60,21.93,42.84,343.95,416.33,430.033783,0.001212782,0.012633372,0.018474933
0.84,11.97,18.29,35.44,1.34,4.53,7.11,13.31,22.82,42.54,341.11,416.55,431.3379822,0.001086173,0.012531866,0.018513234
0.86,13.87,19.05,34.28,5.05,4.80,7.16,18.92,23.85,41.44,340.43,416.99,431.5317993,0.000987238,0.012475218,0.018557131
0.88,14.97,20.26,33.45,5.70,5.46,7.30,20.67,25.72,40.76,335.82,418.11,431.9338379,0.000913188,0.0124171,0.018641084
0.90,16.09,21.24,33.57,4.38,6.22,7.48,20.47,27.46,41.05,329.38,419.48,432.4172058,0.000874927,0.012401685,0.018737458
0.92,17.80,22.20,34.16,2.12,6.58,7.54,19.92,28.79,41.71,321.72,420.10,432.683136,0.000846667,0.012358759,0.018828275
0.94,20.18,23.12,35.21,0.74,6.59,7.06,20.92,29.71,42.27,315.23,420.13,432.2000427,0.000816319,0.012320145,0.018961474
0.96,23.21,24.22,36.04,0.65,6.77,7.47,23.86,30.99,43.51,309.85,420.41,433.1343079,0.000787105,0.012260371,0.019088678
0.98,26.90,24.98,36.30,0.97,7.41,8.32,27.87,32.40,44.63,305.06,421.47,434.8682251,0.000782218,0.012191431,0.019247735
1.00,30.58,25.35,36.02,1.92,7.77,7.55,32.51,33.12,43.57,300.51,421.91,433.8282776,0.000798096,0.012064598,0.019451009
1.02,34.54,24.77,34.87,3.39,7.47,5.67,37.94,32.24,40.54,296.52,421.24,431.0691223,0.000808665,0.011957346,0.019702051
1.04,39.06,23.79,33.90,4.33,6.90,4.63,43.38,30.69,38.54,291.60,420.03,429.7262573,0.000800916,0.01180887,0.019988667
1.06,43.29,23.47,32.92,5.89,7.59,4.52,49.18,31.06,37.44,287.48,420.94,430.1327209,0.000805387,0.011669496,0.020333916
1.08,46.12,24.29,32.46,6.03,8.16,4.73,52.15,32.46,37.19,281.73,421.63,430.9630432,0.000839804,0.011484112,0.020637142
1.10,48.10,27.26,31.95,5.30,7.29,4.50,53.40,34.55,36.45,275.26,419.81,431.1976318,0.000875076,0.011305063,0.021023348
1.12,62.18,29.35,35.55,6.16,5.29,4.69,68.34,34.63,40.24,269.97,416.20,431.8361816,0.000904652,0.01138151,0.021578968
1.14,62.76,31.27,35.72,7.67,2.99,4.92,70.42,34.26,40.64,265.94,412.01,432.8367004,0.00093837,0.01125061,0.021927193
1.16,61.48,35.81,35.68,7.20,3.22,4.84,68.68,39.03,40.52,259.78,412.04,433.0292664,0.001003084,0.011042922,0.022180665
1.18,58.21,41.19,35.75,6.77,3.87,4.55,64.98,45.05,40.30,254.23,412.86,432.8047485,0.001073034,0.010865116,0.022398882
1.20,54.39,46.69,36.28,6.04,4.96,3.95,60.43,51.65,40.24,248.00,414.14,432.0013733,0.001156837,0.010580069,0.022593768
1.22,50.30,50.84,37.53,5.21,6.35,3.82,55.51,57.19,41.35,242.35,416.16,432.2617493,0.001249087,0.010369069,0.022910997
1.24,45.36,52.79,38.74,5.03,7.92,3.75,50.39,60.70,42.49,236.83,418.13,432.5628052,0.001285793,0.010060238,0.023223877
1.26,39.72,52.41,39.51,5.06,9.19,3.84,44.78,61.61,43.36,231.89,419.71,433.1976013,0.001216282,0.009798609,0.023512559
1.28,33.53,49.73,40.04,5.15,8.73,4.49,38.68,58.46,44.53,226.83,417.95,434.7250366,0.00104844,0.009446727,0.02375135
1.30,26.59,45.67,40.58,5.23,7.30,6.02,31.82,52.97,46.60,222.25,414.82,437.9743652,0.000854705,0.009186324,0.024084762
1.32,20.19,41.47,40.03,6.10,6.73,6.26,26.30,48.20,46.29,217.92,412.67,438.8378601,0.00064694,0.008766204,0.024329988
1.34,14.89,38.05,38.54,6.90,6.76,6.26,21.79,44.81,44.80,214.01,411.53,439.1031799,0.000482636,0.008365156,0.024539357
1.36,10.47,35.43,36.17,7.02,6.84,6.29,17.48,42.28,42.46,209.08,409.82,439.3627625,0.000336118,0.007801653,0.024682529
1.38,7.22,33.37,33.48,6.51,6.36,6.56,13.73,39.73,40.05,203.98,407.36,440.2641907,0.0002324,0.007298408,0.024912763
1.40,4.98,31.87,30.00,4.70,5.34,6.11,9.68,37.21,36.10,197.47,402.86,439.6218872,0.000150655,0.00654666,0.025089731
1.43,4.98,31.87,30.00,4.70,5.34,6.11,9.68,37.21,36.10,197.47,402.86,439.6218872,0.000150655,0.00654666,0.025089731
